run,node_type,access_type,throughput,cache_misses
1,dram,seq,96525,150641
1,dram,rnd,27300,97903826
1,dram,pgn,35739,98275599
1,dram,seq_prefetch,93196,30770
1,dram,rnd_prefetch,32320,219068
1,dram,pgn_prefetch,41823,84325
1,pmem,seq,40469,645
1,pmem,rnd,6056,2654
1,pmem,pgn,7938,1649
1,pmem,seq_prefetch,40420,867
1,pmem,rnd_prefetch,7741,1478
1,pmem,pgn_prefetch,9645,2419
2,dram,seq,98135,392838
2,dram,rnd,27434,97828260
2,dram,pgn,35688,98325390
2,dram,seq_prefetch,94517,66283
2,dram,rnd_prefetch,31979,198832
2,dram,pgn_prefetch,41788,83184
2,pmem,seq,38491,880
2,pmem,rnd,5659,1871
2,pmem,pgn,7363,1426
2,pmem,seq_prefetch,39761,479
2,pmem,rnd_prefetch,7206,1104
2,pmem,pgn_prefetch,9465,1239
3,dram,seq,97276,199168
3,dram,rnd,27255,97812486
3,dram,pgn,35727,98286553
3,dram,seq_prefetch,95510,30211
3,dram,rnd_prefetch,32164,223470
3,dram,pgn_prefetch,41701,74958
3,pmem,seq,40241,468
3,pmem,rnd,6024,1439
3,pmem,pgn,7937,1476
3,pmem,seq_prefetch,40535,1350
3,pmem,rnd_prefetch,7753,1348
3,pmem,pgn_prefetch,9650,379
