run,node_type,access_type,throughput,cache_misses
1,dram,seq,97465,400028
1,dram,rnd,26239,96106727
1,dram,pgn,73964,49403458
1,dram,seq_prefetch,1524,200014
1,dram,rnd_prefetch,1512,200014
1,dram,pgn_prefetch,3034,3500245
1,pmem,seq,49309,4600138
1,pmem,rnd,7222,95902877
1,pmem,pgn,19596,49201476
1,pmem,seq_prefetch,1526,
1,pmem,rnd_prefetch,1512,
1,pmem,pgn_prefetch,2981,5500165
2,dram,seq,98135,400028
2,dram,rnd,26123,96106727
2,dram,pgn,75187,49403458
2,dram,seq_prefetch,1524,100007
2,dram,rnd_prefetch,1512,200014
2,dram,pgn_prefetch,3030,4500315
2,pmem,seq,49358,6200186
2,pmem,rnd,7242,97402922
2,pmem,pgn,19603,48501455
2,pmem,seq_prefetch,1526,
2,pmem,rnd_prefetch,1511,
2,pmem,pgn_prefetch,2978,5700171
3,dram,seq,98039,400028
3,dram,rnd,26226,97706839
3,dram,pgn,75244,49403458
3,dram,seq_prefetch,1523,200014
3,dram,rnd_prefetch,1511,100007
3,dram,pgn_prefetch,3029,4800336
3,pmem,seq,49431,5500165
3,pmem,rnd,7217,95902877
3,pmem,pgn,19561,48501455
3,pmem,seq_prefetch,1525,
3,pmem,rnd_prefetch,1512,
3,pmem,pgn_prefetch,2976,5700171
