run,node_type,access_type,throughput,cache_misses
1,dram,seq,1522,400028
1,dram,rnd,1410,98406888
1,dram,pgn,2859,49803486
1,dram,seq_prefetch,1520,200014
1,dram,rnd_prefetch,1511,200014
1,dram,pgn_prefetch,3025,4400308
1,pmem,seq,1523,100003
1,pmem,rnd,987,98102943
1,pmem,pgn,1992,49601488
1,pmem,seq_prefetch,1520,
1,pmem,rnd_prefetch,1511,
1,pmem,pgn_prefetch,2975,5300159
2,dram,seq,1521,400028
2,dram,rnd,1409,98406888
2,dram,pgn,2857,49803486
2,dram,seq_prefetch,1520,200014
2,dram,rnd_prefetch,1511,200014
2,dram,pgn_prefetch,3025,4200294
2,pmem,seq,1522,200006
2,pmem,rnd,988,98202946
2,pmem,pgn,1992,49601488
2,pmem,seq_prefetch,1520,
2,pmem,rnd_prefetch,1511,
2,pmem,pgn_prefetch,2990,4000120
3,dram,seq,1521,300021
3,dram,rnd,1409,98406888
3,dram,pgn,2854,49803486
3,dram,seq_prefetch,1520,200014
3,dram,rnd_prefetch,1511,200014
3,dram,pgn_prefetch,3027,3900273
3,pmem,seq,1521,200006
3,pmem,rnd,987,98102943
3,pmem,pgn,1992,49601488
3,pmem,seq_prefetch,1520,
3,pmem,rnd_prefetch,1511,
3,pmem,pgn_prefetch,2973,5500165
