run,node_type,access_type,throughput,cache_misses
1,dram,seq,1513,104325953
1,dram,rnd,1401,103376750
1,dram,pgn,2841,60292315
1,dram,seq_prefetch,1512,104289640
1,dram,rnd_prefetch,1503,103158104
1,dram,pgn_prefetch,3011,60335242
1,pmem,seq,1513,104394907
1,pmem,rnd,981,103266646
1,pmem,pgn,1979,60340087
1,pmem,seq_prefetch,1511,104423734
1,pmem,rnd_prefetch,1503,103238229
1,pmem,pgn_prefetch,2977,60293350
2,dram,seq,1512,104320701
2,dram,rnd,1403,103102225
2,dram,pgn,2843,60320879
2,dram,seq_prefetch,1512,104350790
2,dram,rnd_prefetch,1503,103174142
2,dram,pgn_prefetch,3012,60326405
2,pmem,seq,1512,104418842
2,pmem,rnd,981,103224717
2,pmem,pgn,1979,60339816
2,pmem,seq_prefetch,1511,104423259
2,pmem,rnd_prefetch,1502,103192823
2,pmem,pgn_prefetch,2983,60308362
3,dram,seq,1514,104315517
3,dram,rnd,1402,103102626
3,dram,pgn,2843,60281536
3,dram,seq_prefetch,1511,104349355
3,dram,rnd_prefetch,1503,103219814
3,dram,pgn_prefetch,3010,60330929
3,pmem,seq,1512,104417930
3,pmem,rnd,980,103218095
3,pmem,pgn,1979,60325855
3,pmem,seq_prefetch,1511,104410365
3,pmem,rnd_prefetch,1502,103148881
3,pmem,pgn_prefetch,3007,60339327
