run,node_type,access_type,throughput,cache_misses
1,dram,seq,93984,98414603
1,dram,rnd,26007,97857214
1,dram,pgn,73421,60190498
1,dram,seq_prefetch,1514,99086887
1,dram,rnd_prefetch,1503,98348453
1,dram,pgn_prefetch,3021,60388476
1,pmem,seq,48875,98271434
1,pmem,rnd,7178,97804279
1,pmem,pgn,19409,60144423
1,pmem,seq_prefetch,1514,98601066
1,pmem,rnd_prefetch,1504,98150675
1,pmem,pgn_prefetch,2986,60279222
2,dram,seq,94607,98373330
2,dram,rnd,26055,97860465
2,dram,pgn,74128,60194050
2,dram,seq_prefetch,1514,98960335
2,dram,rnd_prefetch,1504,98329660
2,dram,pgn_prefetch,3015,60334061
2,pmem,seq,49164,98262259
2,pmem,rnd,7197,97819471
2,pmem,pgn,19474,60133503
2,pmem,seq_prefetch,1514,98585093
2,pmem,rnd_prefetch,1504,98153190
2,pmem,pgn_prefetch,2989,60281026
3,dram,seq,94250,98409009
3,dram,rnd,26406,97858812
3,dram,pgn,74128,60187362
3,dram,seq_prefetch,1514,99094910
3,dram,rnd_prefetch,1504,98330854
3,dram,pgn_prefetch,3014,60346131
3,pmem,seq,49043,98263208
3,pmem,rnd,7166,97830239
3,pmem,pgn,19428,60151522
3,pmem,seq_prefetch,1515,98601669
3,pmem,rnd_prefetch,1504,98111042
3,pmem,pgn_prefetch,2961,60226391
