run,node_type,access_type,waitloop_iter,throughput,cache_misses
1,dram,seq,0,79744,104633115
1,dram,rnd,0,24906,102902954
1,dram,pgn,0,69252,60193928
1,dram,seq_prefetch,0,81566,104620061
1,dram,rnd_prefetch,0,24715,103042063
1,dram,pgn_prefetch,0,67704,60262057
1,pmem,seq,0,44091,104558606
1,pmem,rnd,0,6598,102863096
1,pmem,pgn,0,19116,60157435
1,pmem,seq_prefetch,0,46904,104572036
1,pmem,rnd_prefetch,0,7064,103093062
1,pmem,pgn_prefetch,0,18982,60273316
1,dram,seq,50,15671,104556651
1,dram,rnd,50,8941,102937543
1,dram,pgn,50,19004,60211732
1,dram,seq_prefetch,50,15671,104558689
1,dram,rnd_prefetch,50,13520,103142228
1,dram,pgn_prefetch,50,30656,60315552
1,pmem,seq,50,15549,104513955
1,pmem,rnd,50,2290,103091426
1,pmem,pgn,50,4853,60275422
1,pmem,seq_prefetch,50,15564,104504549
1,pmem,rnd_prefetch,50,4462,103111626
1,pmem,pgn_prefetch,50,9333,60306741
1,dram,seq,100,6668,104512225
1,dram,rnd,100,5066,102965260
1,dram,pgn,100,10706,60224474
1,dram,seq_prefetch,100,6717,104495291
1,dram,rnd_prefetch,100,6479,103178200
1,dram,pgn_prefetch,100,13446,60335721
1,pmem,seq,100,6603,104531892
1,pmem,rnd,100,1997,103071650
1,pmem,pgn,100,4053,60283025
1,pmem,seq_prefetch,100,6652,104538957
1,pmem,rnd_prefetch,100,3765,103085766
1,pmem,pgn_prefetch,100,7821,60290430
1,dram,seq,150,4663,104485051
1,dram,rnd,150,3822,102988264
1,dram,pgn,150,7951,60230450
1,dram,seq_prefetch,150,4703,104458026
1,dram,rnd_prefetch,150,4615,102978523
1,dram,pgn_prefetch,150,9285,60237585
1,pmem,seq,150,4625,104556755
1,pmem,rnd,150,1765,103102833
1,pmem,pgn,150,3583,60264962
1,pmem,seq_prefetch,150,4651,104554144
1,pmem,rnd_prefetch,150,3350,103097676
1,pmem,pgn_prefetch,150,6922,60305740
1,dram,seq,200,3581,104452230
1,dram,rnd,200,3066,103003333
1,dram,pgn,200,6335,60226512
1,dram,seq_prefetch,200,3605,104403602
1,dram,rnd_prefetch,200,3576,103039680
1,dram,pgn_prefetch,200,7176,60242494
1,pmem,seq,200,3551,104504185
1,pmem,rnd,200,1586,103121258
1,pmem,pgn,200,3212,60292658
1,pmem,seq_prefetch,200,3584,104486295
1,pmem,rnd_prefetch,200,3015,103113162
1,pmem,pgn_prefetch,200,6210,60270628
1,dram,seq,250,2910,104416084
1,dram,rnd,250,2562,103028446
1,dram,pgn,250,5250,60265361
1,dram,seq_prefetch,250,2924,104382858
1,dram,rnd_prefetch,250,2914,103040089
1,dram,pgn_prefetch,250,5821,60281001
1,pmem,seq,250,2896,104495749
1,pmem,rnd,250,1438,103144623
1,pmem,pgn,250,2908,60274594
1,pmem,seq_prefetch,250,2922,104472214
1,pmem,rnd_prefetch,250,2731,103156776
1,pmem,pgn_prefetch,250,5607,60317228
1,dram,seq,300,2450,104473836
1,dram,rnd,300,2194,103059210
1,dram,pgn,300,4496,60271897
1,dram,seq_prefetch,300,2455,104421538
1,dram,rnd_prefetch,300,2454,103062047
1,dram,pgn_prefetch,300,4907,60252513
1,pmem,seq,300,2450,104472359
1,pmem,rnd,300,1312,103138043
