run,node_type,access_type,throughput,cache_misses
1,dram,seq,97465,
1,dram,rnd,27048,
1,dram,pgn,36751,
1,dram,seq_prefetch,97847,
1,dram,rnd_prefetch,32030,
1,dram,pgn_prefetch,41858,
1,pmem,seq,49455,
1,pmem,rnd,7281,
1,pmem,pgn,9733,
1,pmem,seq_prefetch,50050,
1,pmem,rnd_prefetch,9382,
1,pmem,pgn_prefetch,11940,
2,dram,seq,98039,
2,dram,rnd,27352,
2,dram,pgn,36049,
2,dram,seq_prefetch,97847,
2,dram,rnd_prefetch,32615,
2,dram,pgn_prefetch,42319,
2,pmem,seq,46663,
2,pmem,rnd,6734,
2,pmem,pgn,8938,
2,pmem,seq_prefetch,47326,
2,pmem,rnd_prefetch,8625,
2,pmem,pgn_prefetch,10897,
3,dram,seq,98039,
3,dram,rnd,27285,
3,dram,pgn,36036,
3,dram,seq_prefetch,97943,
3,dram,rnd_prefetch,31715,
3,dram,pgn_prefetch,42319,
3,pmem,seq,49504,
3,pmem,rnd,7320,
3,pmem,pgn,9737,
3,pmem,seq_prefetch,49800,
3,pmem,rnd_prefetch,9386,
3,pmem,pgn_prefetch,11944,
