run,node_type,access_type,throughput,cache_misses
1,dram,seq,95969,300021
1,dram,rnd,27464,96006720
1,dram,pgn,36456,96206734
1,dram,seq_prefetch,98039,200014
1,dram,rnd_prefetch,32092,300021
1,dram,pgn_prefetch,42444,1400098
1,pmem,seq,49407,2400072
1,pmem,rnd,7294,97202916
1,pmem,pgn,9746,95902877
1,pmem,seq_prefetch,49382,
1,pmem,rnd_prefetch,9384,
1,pmem,pgn_prefetch,11944,200006
2,dram,seq,95602,300021
2,dram,rnd,27270,97506825
2,dram,pgn,36297,96206734
2,dram,seq_prefetch,97087,100007
2,dram,rnd_prefetch,32071,400028
2,dram,pgn_prefetch,42122,1300091
2,pmem,seq,49529,2400072
2,pmem,rnd,7306,95702871
2,pmem,pgn,9761,95902877
2,pmem,seq_prefetch,49875,
2,pmem,rnd_prefetch,9413,
2,pmem,pgn_prefetch,11970,300009
3,dram,seq,98135,200014
3,dram,rnd,27344,96006720
3,dram,pgn,36297,96206734
3,dram,seq_prefetch,97656,100007
3,dram,rnd_prefetch,31857,300021
3,dram,pgn_prefetch,42105,1300091
3,pmem,seq,49480,2400072
3,pmem,rnd,7290,97202916
3,pmem,pgn,9745,95902877
3,pmem,seq_prefetch,49800,
3,pmem,rnd_prefetch,9390,
3,pmem,pgn_prefetch,11957,200006
