exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses
membench_base,1,dram,,,,0.007993243,,506,10074
membench_data_init,1,dram,,,,0.970858009,,2175568,51177279
membench_pregen_init,1,dram,,,,1.578967150,,3006790,70221701
membench_base,1,pmem,,,,0.000625197,,498,10038
membench_data_init,1,pmem,,,,2.009636267,,2170844,51221854
membench_pregen_init,1,pmem,,,,2.991172407,,2965279,70287302
membench,1,dram,seq,0,42200.859375,1.953578192,0.000016,13005725,80224593
membench,1,dram,pgn,0,9931.393555,2.716483270,0.000016,13559278,80906830
membench,1,dram,rnd,0,9585.760742,2.745080063,0.000016,12945783,80270971
membench,1,dram,seq_prefetch,0,38847.925781,1.957501416,0.000016,13046373,80227618
membench,1,dram,pgn_prefetch,0,20521.914062,2.188386642,0.000016,13440994,80891857
membench,1,dram,rnd_prefetch,0,17901.095703,2.260271062,0.000016,12800110,80269122
membench,1,pmem,seq,0,21872.744141,3.584837228,0.000016,12985152,80313481
membench,1,pmem,pgn,0,1976.011963,8.203143797,0.000016,13562583,81170460
membench,1,pmem,rnd,0,1966.303833,8.206363559,0.000016,12916283,80539063
membench,1,pmem,seq_prefetch,0,21257.554688,3.603390559,0.000016,13054914,80313208
membench,1,pmem,pgn_prefetch,0,3600.681641,5.908156419,0.000016,13433982,81078254
membench,1,pmem,rnd_prefetch,0,3529.717529,5.956977990,0.000016,12800897,80448603
membench,1,dram,seq,500,42817.566406,3.242806536,0.000146,13021900,80291880
membench,1,dram,pgn,500,9911.038086,4.012665780,0.000146,13562527,80898108
membench,1,dram,rnd,500,9568.224609,4.051993473,0.000147,12951506,80327921
membench,1,dram,seq_prefetch,500,39617.140625,3.261030691,0.000146,13083081,80232023
membench,1,dram,pgn_prefetch,500,38549.457031,3.266089027,0.000146,13459805,80890693
membench,1,dram,rnd_prefetch,500,28074.429688,3.366406143,0.000146,12809944,80325219
membench,1,pmem,seq,500,40744.480469,4.679724206,0.000146,12985560,80311481
membench,1,pmem,pgn,500,1924.746216,9.632887571,0.000146,13558182,81204705
membench,1,pmem,rnd,500,1859.657959,9.825315209,0.000147,12933302,80559176
membench,1,pmem,seq_prefetch,500,26109.865234,4.838096227,0.000146,13140193,80356585
membench,1,pmem,pgn_prefetch,500,4440.598145,6.701906601,0.000146,13424206,81079282
membench,1,pmem,rnd_prefetch,500,4334.757812,6.755532752,0.000147,12791817,80456660
membench,1,dram,seq,1000,43058.718750,4.524957263,0.000275,13008646,80335595
membench,1,dram,pgn,1000,9856.460938,5.305899019,0.000275,13603384,81003913
membench,1,dram,rnd,1000,9501.557617,5.347302478,0.000275,12956973,80370975
membench,1,dram,seq_prefetch,1000,39920.000000,4.545397085,0.000275,13204983,80336735
membench,1,dram,pgn_prefetch,1000,43698.656250,4.520445474,0.000275,13449356,80988644
membench,1,dram,rnd_prefetch,1000,30536.962891,4.622904007,0.000275,12842491,80365217
membench,1,pmem,seq,1000,42379.703125,5.971373090,0.000275,12988504,80395429
membench,1,pmem,pgn,1000,1961.659668,10.842368806,0.000275,13550830,81234685
membench,1,pmem,rnd,1000,1985.813599,10.745547470,0.000275,12928695,80586420
membench,1,pmem,seq_prefetch,1000,36711.796875,5.990611787,0.000275,13033754,80338528
membench,1,pmem,pgn_prefetch,1000,7109.023438,7.118539034,0.000275,13428435,81095312
membench,1,pmem,rnd_prefetch,1000,6840.585938,7.173052275,0.000275,12788058,80467372
membench,1,dram,seq,1500,43057.976562,5.813397771,0.000403,13021133,80386004
membench,1,dram,pgn,1500,9898.510742,6.587497131,0.000404,13594159,81063437
membench,1,dram,rnd,1500,9586.265625,6.632769742,0.000404,12971300,80424293
membench,1,dram,seq_prefetch,1500,39997.601562,5.826044802,0.000404,13052182,80390628
membench,1,dram,pgn_prefetch,1500,46567.074219,5.793201796,0.000403,13457040,81047338
membench,1,dram,rnd_prefetch,1500,31682.564453,5.897101255,0.000404,12814697,80421544
membench,1,pmem,seq,1500,42877.050781,7.234532454,0.000403,12987680,80443452
membench,1,pmem,pgn,1500,2029.936157,11.937230155,0.000404,13564680,81276338
membench,1,pmem,rnd,1500,2017.375977,11.955256503,0.000404,12923800,80641347
membench,1,pmem,seq_prefetch,1500,38690.855469,7.262721261,0.000404,13197736,80444719
membench,1,pmem,pgn_prefetch,1500,13009.653320,7.769353253,0.000404,13420728,81066124
membench,1,pmem,rnd_prefetch,1500,12050.109375,7.830137049,0.000404,12789522,80495721
membench,1,dram,seq,2000,43086.917969,7.100853077,0.000532,13061344,80449308
membench,1,dram,pgn,2000,9855.352539,7.879969365,0.000532,13599899,81061592
membench,1,dram,rnd,2000,9510.340820,7.918281237,0.000532,12995201,80431434
membench,1,dram,seq_prefetch,2000,40027.218750,7.119188262,0.000533,13071601,80385728
membench,1,dram,pgn_prefetch,2000,46554.718750,7.081010692,0.000532,13476011,81113078
membench,1,dram,rnd_prefetch,2000,31710.292969,7.182998953,0.000533,12825282,80474310
membench,1,pmem,seq,2000,42998.363281,8.519162049,0.000532,12982778,80434798
membench,1,pmem,pgn,2000,2048.639648,13.178570773,0.000533,13556320,81330990
membench,1,pmem,rnd,2000,2036.754883,13.206170788,0.000534,12918506,80687369
membench,1,pmem,seq_prefetch,2000,38682.625000,8.549719637,0.000532,13196938,80436822
membench,1,pmem,pgn_prefetch,2000,21114.107422,8.764545169,0.000532,13421709,81107364
membench,1,pmem,rnd_prefetch,2000,17595.195312,8.851646509,0.000532,12790236,80537740
membench,1,dram,seq,2500,42988.011719,8.387410506,0.000661,13033294,80455191
membench,1,dram,pgn,2500,9938.549805,9.161039872,0.000661,13621395,81123882
membench,1,dram,rnd,2500,9568.517578,9.194476598,0.000661,12984860,80542360
membench,1,dram,seq_prefetch,2500,39950.781250,8.403728795,0.000661,13133826,80508484
membench,1,dram,pgn_prefetch,2500,46667.476562,8.362706461,0.000661,13468568,81160668
membench,1,dram,rnd_prefetch,2500,31670.123047,8.469021939,0.000661,12858980,80527905
membench,1,pmem,seq,2500,42986.347656,9.806505508,0.000661,12994353,80548770
membench,1,pmem,pgn,2500,2060.482666,14.431251905,0.000661,13551717,81380523
membench,1,pmem,rnd,2500,2045.605225,14.458522005,0.000661,12927132,80689531
membench,1,pmem,seq_prefetch,2500,39807.492188,9.831030250,0.000661,13025116,80558652
membench,1,pmem,pgn_prefetch,2500,24755.416016,9.979653822,0.000661,13433376,81213448
membench,1,pmem,rnd_prefetch,2500,19974.472656,10.070150060,0.000661,12790972,80596138
membench,1,dram,seq,3000,43047.968750,9.673155303,0.000789,13063480,80561483
membench,1,dram,pgn,3000,9886.668945,10.448904620,0.000790,13621148,81240901
membench,1,dram,rnd,3000,9559.288086,10.487073918,0.000790,12981952,80610038
membench,1,dram,seq_prefetch,3000,39933.550781,9.693066224,0.000790,13231173,80504620
membench,1,dram,pgn_prefetch,3000,46688.175781,9.652382437,0.000790,13484729,81225080
membench,1,dram,rnd_prefetch,3000,31647.171875,9.757209252,0.000790,12840406,80601211
membench,1,pmem,seq,3000,42917.164062,11.094424261,0.000790,12978987,80540999
membench,1,pmem,pgn,3000,2071.966797,15.691221350,0.000790,13552263,81416588
membench,1,pmem,rnd,3000,2057.220947,15.716705702,0.000790,12930408,80795832
membench,1,pmem,seq_prefetch,3000,39852.546875,11.115291751,0.000790,13041880,80602589
membench,1,pmem,pgn_prefetch,3000,30491.429688,11.191253748,0.000789,13430427,81265515
membench,1,pmem,rnd_prefetch,3000,23510.050781,11.281545165,0.000790,12800574,80632436
membench,1,dram,seq,3500,43057.609375,10.958866256,0.000918,13084296,80619225
membench,1,dram,pgn,3500,9922.731445,11.737602569,0.000918,13621120,81225511
membench,1,dram,rnd,3500,9605.032227,11.767939993,0.000918,13009875,80661074
membench,1,dram,seq_prefetch,3500,39907.894531,10.976183744,0.000918,13144399,80608269
membench,1,dram,pgn_prefetch,3500,46604.621094,10.940450166,0.000918,13506523,81275674
membench,1,dram,rnd_prefetch,3500,31704.261719,11.039628888,0.000918,12857653,80646983
membench,1,pmem,seq,3500,42926.007812,12.378421916,0.000918,12987989,80647994
membench,1,pmem,pgn,3500,2085.318115,16.949087796,0.000918,13553753,81413306
membench,1,pmem,rnd,3500,2070.966309,16.973331050,0.000919,12916152,80860877
membench,1,pmem,seq_prefetch,3500,39826.359375,12.402636736,0.000918,13031715,80660024
membench,1,pmem,pgn_prefetch,3500,36694.554688,12.422659353,0.000918,13423472,81265080
membench,1,pmem,rnd_prefetch,3500,26893.214844,12.514650339,0.000918,12799700,80684321
membench,1,dram,seq,4000,42903.355469,12.247727935,0.001047,13068439,80620490
membench,1,dram,pgn,4000,9885.466797,13.024621563,0.001047,13642922,81286353
membench,1,dram,rnd,4000,9550.404297,13.059737951,0.001047,12991029,80710354
membench,1,dram,seq_prefetch,4000,39894.359375,12.265913708,0.001047,13270547,80684818
membench,1,dram,pgn_prefetch,4000,46872.656250,12.228286503,0.001047,13485502,81278620
membench,1,dram,rnd_prefetch,4000,31546.738281,12.333552048,0.001047,12876199,80704804
membench,1,pmem,seq,4000,43021.484375,13.664067575,0.001047,12996340,80642166
membench,1,pmem,pgn,4000,2094.652832,18.212770664,0.001047,13555410,81538417
membench,1,pmem,rnd,4000,2080.100830,18.237265108,0.001047,12926680,80828969
membench,1,pmem,seq_prefetch,4000,39882.109375,13.690132009,0.001047,13201139,80709533
membench,1,pmem,pgn_prefetch,4000,42812.800781,13.670901197,0.001047,13433074,81375134
membench,1,pmem,rnd_prefetch,4000,30041.125000,13.761973451,0.001047,12796375,80682652
membench,1,dram,seq,4500,42899.304688,13.547401901,0.001177,13082649,80676184
membench,1,dram,pgn,4500,9861.086914,14.327739750,0.001177,13628556,81339606
membench,1,dram,rnd,4500,9531.598633,14.365429683,0.001177,13011476,80764916
membench,1,dram,seq_prefetch,4500,39917.609375,13.561878140,0.001177,13126998,80733278
membench,1,dram,pgn_prefetch,4500,46566.859375,13.528983153,0.001177,13506450,81329502
membench,1,dram,rnd_prefetch,4500,31636.357422,13.630076052,0.001177,12868474,80759416
membench,1,pmem,seq,4500,42893.601562,14.966170751,0.001177,12991340,80756070
membench,1,pmem,pgn,4500,2104.520752,19.488784224,0.001177,13564851,81574113
membench,1,pmem,rnd,4500,2089.396240,19.510639970,0.001177,12923251,80955169
membench,1,pmem,seq_prefetch,4500,39851.273438,14.987552811,0.001177,13040924,80706355
membench,1,pmem,pgn_prefetch,4500,45984.835938,14.952887555,0.001177,13426502,81425577
membench,1,pmem,rnd_prefetch,4500,31284.021484,15.044850968,0.001177,12794231,80788553
membench,1,dram,seq,5000,42931.722656,14.846809713,0.001307,13109669,80782979
membench,1,dram,pgn,5000,9892.214844,15.627421632,0.001307,13652606,81445867
membench,1,dram,rnd,5000,9529.863281,15.663355679,0.001307,13032636,80836843
membench,1,dram,seq_prefetch,5000,39965.789062,14.863041808,0.001307,13240799,80782491
membench,1,dram,pgn_prefetch,5000,46534.570312,14.828303956,0.001307,13534144,81443822
membench,1,dram,rnd_prefetch,5000,31559.279297,14.932816380,0.001307,12878109,80748849
membench,1,pmem,seq,5000,42870.800781,16.266318552,0.001307,12990246,80751905
membench,1,pmem,pgn,5000,2111.325195,20.775304267,0.001307,13554405,81636957
membench,1,pmem,rnd,5000,2094.210693,20.800809052,0.001307,12922173,81002110
membench,1,pmem,seq_prefetch,5000,39801.628906,16.290037765,0.001307,13039049,80755191
membench,1,pmem,pgn_prefetch,5000,46261.816406,16.251516465,0.001307,13428233,81480972
membench,1,pmem,rnd_prefetch,5000,31404.666016,16.344617948,0.001307,12794707,80847192
membench,1,dram,seq,10000,41940.679688,27.807504277,0.002602,13183043,81282317
membench,1,dram,pgn,10000,9922.376953,28.575325728,0.002602,13733403,82024554
membench,1,dram,rnd,10000,9596.146484,28.610532188,0.002603,13079573,81370047
membench,1,dram,seq_prefetch,10000,39507.421875,27.819939533,0.002602,13388071,81367082
membench,1,dram,pgn_prefetch,10000,46115.679688,27.785669838,0.002602,13580103,81961224
membench,1,dram,rnd_prefetch,10000,31189.472656,27.890962723,0.002603,12973112,81379380
membench,1,pmem,seq,10000,42476.191406,29.218553300,0.002602,12998596,81334269
membench,1,pmem,pgn,10000,2112.610596,33.722524758,0.002602,13564413,82188386
membench,1,pmem,rnd,10000,2097.437256,33.752241803,0.002602,12930267,81541598
membench,1,pmem,seq_prefetch,10000,39298.136719,29.245093252,0.002602,13216840,81334679
membench,1,pmem,pgn_prefetch,10000,46116.953125,29.204829443,0.002602,13440239,81952029
membench,1,pmem,rnd_prefetch,10000,31488.226562,29.294734728,0.002602,12811484,81369780
membench,1,dram,seq,15000,42363.546875,40.672057903,0.003889,13280629,81933738
membench,1,dram,pgn,15000,9914.487305,41.445969831,0.003889,13769363,82564413
membench,1,dram,rnd,15000,9593.283203,41.476805474,0.003889,13146981,81921288
membench,1,dram,seq_prefetch,15000,39511.792969,40.684944748,0.003889,13457362,81888208
membench,1,dram,pgn_prefetch,15000,46171.460938,40.650401940,0.003889,13653440,82610392
membench,1,dram,rnd_prefetch,15000,31524.064453,40.752344912,0.003889,13017285,81861576
membench,1,pmem,seq,15000,42455.636719,42.085178574,0.003888,13010659,81801231
membench,1,pmem,pgn,15000,2115.235840,46.580048107,0.003888,13565023,82692691
membench,1,pmem,rnd,15000,2100.087646,46.602482627,0.003888,12931758,82047099
membench,1,pmem,seq_prefetch,15000,39352.882812,42.110102797,0.003889,13092604,81797677
membench,1,pmem,pgn_prefetch,15000,45588.617188,42.068863377,0.003888,13448384,82517909
membench,1,pmem,rnd_prefetch,15000,31546.935547,42.160315679,0.003888,12810559,81837648
membench,1,dram,seq,20000,38089.144531,53.565013727,0.005176,13386418,82451798
membench,1,dram,pgn,20000,9667.954102,54.337844074,0.005176,13843970,83085074
membench,1,dram,rnd,20000,9362.910156,54.369618918,0.005176,13225699,82396793
membench,1,dram,seq_prefetch,20000,35687.902344,53.580494104,0.005176,13625116,82465328
membench,1,dram,pgn_prefetch,20000,40656.851562,53.549460126,0.005176,13752454,83022394
membench,1,dram,rnd_prefetch,20000,28637.787109,53.652223110,0.005176,13094668,82422145
membench,1,pmem,seq,20000,37996.375000,54.972614580,0.005175,13017243,82344208
membench,1,pmem,pgn,20000,2104.047119,59.472429388,0.005175,13576961,83153373
membench,1,pmem,rnd,20000,2090.897705,59.488707461,0.005175,12930125,82491665
membench,1,pmem,seq_prefetch,20000,35742.750000,55.001120196,0.005175,13116682,82411444
membench,1,pmem,pgn_prefetch,20000,40689.109375,54.961423541,0.005175,13459893,83048798
membench,1,pmem,rnd_prefetch,20000,28794.378906,55.055218270,0.005175,12824298,82315501
membench_base,2,dram,,,,0.000566535,,406,9453
membench_data_init,2,dram,,,,0.961019913,,2171424,51159423
membench_pregen_init,2,dram,,,,1.569073395,,2968011,70204235
membench_base,2,pmem,,,,0.001358616,,551,9922
membench_data_init,2,pmem,,,,1.989613644,,2177160,51206862
membench_pregen_init,2,pmem,,,,2.984478506,,2961387,70272586
membench,2,dram,seq,0,42267.750000,1.940755729,0.000016,13007462,80225500
membench,2,dram,pgn,0,9931.926758,2.708181820,0.000016,13569709,80827615
membench,2,dram,rnd,0,9591.819336,2.741900547,0.000016,12975415,80264628
membench,2,dram,seq_prefetch,0,38813.699219,1.963206880,0.000016,13068714,80228753
membench,2,dram,pgn_prefetch,0,20524.482422,2.190676434,0.000016,13453695,80898923
membench,2,dram,rnd_prefetch,0,17885.888672,2.262435391,0.000016,12796594,80267695
membench,2,pmem,seq,0,21926.794922,3.577893142,0.000016,12981872,80293810
membench,2,pmem,pgn,0,1975.126953,8.188491547,0.000016,13570450,81124507
membench,2,pmem,rnd,0,1965.347656,8.200797239,0.000016,12925169,80495209
membench,2,pmem,seq_prefetch,0,23039.085938,3.560016645,0.000016,13026886,80296574
membench,2,pmem,pgn_prefetch,0,3602.458496,5.900562260,0.000016,13426037,80989006
membench,2,pmem,rnd_prefetch,0,3531.073486,5.946710679,0.000016,12810700,80416656
membench,2,dram,seq,500,42885.695312,3.241809903,0.000146,12998688,80289885
membench,2,dram,pgn,500,9903.470703,4.016420893,0.000146,13604533,80896203
membench,2,dram,rnd,500,9546.219727,4.058215515,0.000146,12948571,80321283
membench,2,dram,seq_prefetch,500,39770.917969,3.258331135,0.000146,13124186,80285434
membench,2,dram,pgn_prefetch,500,38277.660156,3.266439748,0.000146,13438359,80952437
membench,2,dram,rnd_prefetch,500,28121.087891,3.366404917,0.000147,12832763,80311296
membench,2,pmem,seq,500,40778.210938,4.671169607,0.000146,12974332,80346774
membench,2,pmem,pgn,500,1970.708984,9.508907559,0.000146,13558916,81176256
membench,2,pmem,rnd,500,1958.659668,9.533552519,0.000147,12924849,80483899
membench,2,pmem,seq_prefetch,500,30722.343750,4.760096848,0.000146,13192415,80347941
membench,2,pmem,pgn_prefetch,500,4731.868652,6.543045458,0.000146,13423317,81078919
membench,2,pmem,rnd_prefetch,500,4626.213379,6.591203218,0.000147,12794408,80445724
membench,2,dram,seq,1000,43036.296875,4.527040362,0.000275,13013964,80275823
membench,2,dram,pgn,1000,9850.644531,5.309459598,0.000275,13584001,80945101
membench,2,dram,rnd,1000,9505.558594,5.346963076,0.000275,12966008,80375579
membench,2,dram,seq_prefetch,1000,39989.921875,4.542391613,0.000275,13045146,80340948
membench,2,dram,pgn_prefetch,1000,43690.062500,4.522067971,0.000275,13448569,80987506
