exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses,L1-dcache-loads,mem_load_retired.l1_miss,dTLB-load-misses,dTLB-store-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d.replacement,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,context-switches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.000748266,,488,9400,136518,3608,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,1,dram,,,,0.000753040,,462,11809,172677,4090,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,1,dram,,,,0.000773903,,399,11903,175406,4093,0,,,,,,,,,,,,,,,,,,,,,
membench_base,1,pmem,,,,0.000622400,,610,9727,137245,3719,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,1,pmem,,,,0.000640396,,389,11977,171717,4157,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,1,pmem,,,,0.000624584,,408,12668,179208,4423,0,,,,,,,,,,,,,,,,,,,,,
membench_base,2,dram,,,,0.000637429,,529,9506,138733,3600,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,2,dram,,,,0.000632393,,396,11821,169968,3997,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,2,dram,,,,0.000627264,,372,12231,177382,4135,0,,,,,,,,,,,,,,,,,,,,,
membench_base,2,pmem,,,,0.000650701,,603,9602,137604,3740,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,2,pmem,,,,0.000638842,,418,11941,171488,4138,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,2,pmem,,,,0.000627371,,395,12781,179806,4328,0,,,,,,,,,,,,,,,,,,,,,
membench_base,3,dram,,,,0.000789403,,589,9417,135083,3484,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,3,dram,,,,0.000635500,,395,12115,172061,4041,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,3,dram,,,,0.000629917,,444,12225,177349,4129,0,,,,,,,,,,,,,,,,,,,,,
membench_base,3,pmem,,,,0.000633803,,568,9775,136622,3750,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,3,pmem,,,,0.000621637,,394,11909,169392,4219,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,3,pmem,,,,0.000622337,,358,12341,175072,4266,0,,,,,,,,,,,,,,,,,,,,,
membench_base,4,dram,,,,0.000640288,,489,9582,136598,3691,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,4,dram,,,,0.000631648,,403,11924,169627,4147,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,4,dram,,,,0.000641706,,419,12426,180427,4202,0,,,,,,,,,,,,,,,,,,,,,
membench_base,4,pmem,,,,0.000656670,,555,9748,136039,3730,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,4,pmem,,,,0.000633543,,443,12022,172159,4195,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,4,pmem,,,,0.000640406,,410,12693,179825,4336,0,,,,,,,,,,,,,,,,,,,,,
membench_base,5,dram,,,,0.000626811,,584,9428,135655,3583,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,5,dram,,,,0.000633501,,452,11783,170877,4068,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,5,dram,,,,0.000629759,,385,12150,177387,4169,0,,,,,,,,,,,,,,,,,,,,,
membench_base,5,pmem,,,,0.000618216,,549,9652,136059,3731,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,5,pmem,,,,0.000642523,,412,12133,172758,4223,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,5,pmem,,,,0.000622812,,399,12650,178593,4320,0,,,,,,,,,,,,,,,,,,,,,
