run,node_kind,access_pattern,spinloop_iterations,throughput,cache_misses
1,dram,seq,0,37467,160823243
1,dram,rnd,0,9611,161188622
1,dram,pgn,0,9687,167490882
1,dram,seq_prefetch,0,35149,160832190
1,dram,rnd_prefetch,0,17822,161194962
1,dram,pgn_prefetch,0,18070,167483920
1,pmem,seq,0,36818,160779609
1,pmem,rnd,0,2377,162603351
1,pmem,pgn,0,2310,168871571
1,pmem,seq_prefetch,0,34662,160834317
1,pmem,rnd_prefetch,0,4818,161775767
1,pmem,pgn_prefetch,0,4754,168144255
1,dram,seq,50,37439,161114167
1,dram,rnd,50,9400,161464154
1,dram,pgn,50,9704,167722399
1,dram,seq_prefetch,50,35676,161091807
1,dram,rnd_prefetch,50,25125,161383798
1,dram,pgn_prefetch,50,27862,167590250
1,pmem,seq,50,36576,161090043
1,pmem,rnd,50,2451,162699752
1,pmem,pgn,50,2470,168974959
1,pmem,seq_prefetch,50,34977,161101733
1,pmem,rnd_prefetch,50,5690,161990414
1,pmem,pgn_prefetch,50,5586,168289788
1,dram,seq,100,35727,161400407
1,dram,rnd,100,9629,161640196
1,dram,pgn,100,9703,168002622
1,dram,seq_prefetch,100,33852,161404432
1,dram,rnd_prefetch,100,26745,161663843
1,dram,pgn_prefetch,100,29129,168001615
1,pmem,seq,100,34164,161410941
1,pmem,rnd,100,2453,163083515
1,pmem,pgn,100,2469,169437224
1,pmem,seq_prefetch,100,33444,161448781
1,pmem,rnd_prefetch,100,7135,162061378
1,pmem,pgn_prefetch,100,6932,168426940
1,dram,seq,150,35599,161700738
1,dram,rnd,150,9621,161978235
1,dram,pgn,150,9732,168298061
1,dram,seq_prefetch,150,33932,161656420
1,dram,rnd_prefetch,150,28026,161657404
1,dram,pgn_prefetch,150,31075,167915617
1,pmem,seq,150,33211,161701849
1,pmem,rnd,150,2455,163238955
1,pmem,pgn,150,2474,169669925
1,pmem,seq_prefetch,150,33658,161693244
1,pmem,rnd_prefetch,150,9219,162253728
1,pmem,pgn_prefetch,150,8864,168506709
1,dram,seq,200,37383,161900360
1,dram,rnd,200,9323,162175837
1,dram,pgn,200,9658,168567718
1,dram,seq_prefetch,200,34048,161918270
1,dram,rnd_prefetch,200,29086,161981827
1,dram,pgn_prefetch,200,31887,168226062
1,pmem,seq,200,37078,161948881
1,pmem,rnd,200,2450,163642110
1,pmem,pgn,200,2468,169855667
1,pmem,seq_prefetch,200,34106,161942074
1,pmem,rnd_prefetch,200,12893,162446052
1,pmem,pgn_prefetch,200,12172,168713699
1,dram,seq,250,37355,162151323
1,dram,rnd,250,9489,162583266
1,dram,pgn,250,9620,168800061
1,dram,seq_prefetch,250,33955,162184432
1,dram,rnd_prefetch,250,29806,162236475
1,dram,pgn_prefetch,250,32819,168524065
1,pmem,seq,250,37188,162222750
1,pmem,rnd,250,2450,163842654
1,pmem,pgn,250,2471,170118527
1,pmem,seq_prefetch,250,34002,162232459
1,pmem,rnd_prefetch,250,20933,162547375
1,pmem,pgn_prefetch,250,18978,168905878
1,dram,seq,300,35599,162478788
1,dram,rnd,300,9492,162783723
1,dram,pgn,300,9586,169136345
1,dram,seq_prefetch,300,34013,162476515
1,dram,rnd_prefetch,300,30057,162516324
1,dram,pgn_prefetch,300,33178,168783146
1,pmem,seq,300,37188,162435761
1,pmem,rnd,300,2453,164124156
1,pmem,pgn,300,2471,170429051
1,pmem,seq_prefetch,300,34002,162505897
1,pmem,rnd_prefetch,300,27616,162706424
1,pmem,pgn_prefetch,300,25614,169156612
1,dram,seq,350,37369,162690552
1,dram,rnd,350,9333,163129360
1,dram,pgn,350,9514,169425683
1,dram,seq_prefetch,350,34071,162745715
1,dram,rnd_prefetch,350,29922,162801863
1,dram,pgn_prefetch,350,33534,169023937
1,pmem,seq,350,37216,162718059
1,pmem,rnd,350,2451,164214086
1,pmem,pgn,350,2473,170743648
1,pmem,seq_prefetch,350,34059,162774173
1,pmem,rnd_prefetch,350,28694,162970196
1,pmem,pgn_prefetch,350,27019,169352067
1,dram,seq,400,37481,163026318
1,dram,rnd,400,9372,163303087
1,dram,pgn,400,9622,169726352
1,dram,seq_prefetch,400,33955,163010807
1,dram,rnd_prefetch,400,30057,163047182
1,dram,pgn_prefetch,400,33036,169283045
1,pmem,seq,400,37243,163006350
1,pmem,rnd,400,2454,164586409
1,pmem,pgn,400,2470,170937436
1,pmem,seq_prefetch,400,33932,162982661
1,pmem,rnd_prefetch,400,29481,163023616
1,pmem,pgn_prefetch,400,27270,169353467
1,dram,seq,450,37257,163308081
1,dram,rnd,450,9607,163644201
1,dram,pgn,450,9676,169980544
1,dram,seq_prefetch,450,34106,163317449
1,dram,rnd_prefetch,450,30021,163265876
1,dram,pgn_prefetch,450,33344,169853258
1,pmem,seq,450,36589,163311581
1,pmem,rnd,450,2454,164916867
1,pmem,pgn,450,2472,171351888
1,pmem,seq_prefetch,450,34106,163312285
1,pmem,rnd_prefetch,450,29931,163249184
1,pmem,pgn_prefetch,450,28019,169700002
1,dram,seq,500,37078,163695742
1,dram,rnd,500,9512,163875628
1,dram,pgn,500,9661,170345580
1,dram,seq_prefetch,500,33955,163552719
1,dram,rnd_prefetch,500,29868,163611471
1,dram,pgn_prefetch,500,33101,169951357
1,pmem,seq,500,36403,163538213
1,pmem,rnd,500,2457,165391654
1,pmem,pgn,500,2468,171679499
1,pmem,seq_prefetch,500,34013,163652115
1,pmem,rnd_prefetch,500,29976,163665477
1,pmem,pgn_prefetch,500,27754,170031019
2,dram,seq,0,37537,160749772
2,dram,rnd,0,9519,161154515
2,dram,pgn,0,9798,167372342
2,dram,seq_prefetch,0,35161,160813879
2,dram,rnd_prefetch,0,17639,161117698
2,dram,pgn_prefetch,0,18079,167400064
2,pmem,seq,0,36859,160818898
2,pmem,rnd,0,2460,162423876
2,pmem,pgn,0,2462,168784942
2,pmem,seq_prefetch,0,34650,160833292
2,pmem,rnd_prefetch,0,4820,161849369
2,pmem,pgn_prefetch,0,4748,168157399
2,dram,seq,50,37523,161052542
2,dram,rnd,50,9480,161431435
2,dram,pgn,50,9706,167709763
2,dram,seq_prefetch,50,35727,161076818
2,dram,rnd_prefetch,50,25176,161387821
2,dram,pgn_prefetch,50,27793,167639989
2,pmem,seq,50,37023,161112818
2,pmem,rnd,50,2455,162703848
2,pmem,pgn,50,2476,168998887
2,pmem,seq_prefetch,50,35087,161106120
2,pmem,rnd_prefetch,50,5682,161966064
2,pmem,pgn_prefetch,50,5601,168288549
2,dram,seq,100,35919,161391079
2,dram,rnd,100,9544,161700803
2,dram,pgn,100,9701,167943665
2,dram,seq_prefetch,100,33852,161398363
2,dram,rnd_prefetch,100,26745,161651389
2,dram,pgn_prefetch,100,29291,167960326
2,pmem,seq,100,34118,161345266
2,pmem,rnd,100,2455,163000744
2,pmem,pgn,100,2469,169285048
2,pmem,seq_prefetch,100,33433,161449020
2,pmem,rnd_prefetch,100,7133,162116504
2,pmem,pgn_prefetch,100,6935,168445712
2,dram,seq,150,35498,161690231
2,dram,rnd,150,9534,162000344
2,dram,pgn,150,9709,168221504
2,dram,seq_prefetch,150,33921,161676513
2,dram,rnd_prefetch,150,28121,161702598
2,dram,pgn_prefetch,150,31123,167930759
2,pmem,seq,150,33167,161642930
2,pmem,rnd,150,2456,163222176
2,pmem,pgn,150,2470,169594003
2,pmem,seq_prefetch,150,33647,161640889
2,pmem,rnd_prefetch,150,9183,162273081
2,pmem,pgn_prefetch,150,8868,168509753
2,dram,seq,200,37397,161938032
2,dram,rnd,200,9457,162233641
2,dram,pgn,200,9644,168528971
2,dram,seq_prefetch,200,34059,161922800
2,dram,rnd_prefetch,200,29120,161977562
2,dram,pgn_prefetch,200,31918,168253937
2,pmem,seq,200,37023,161913788
2,pmem,rnd,200,2452,163561459
2,pmem,pgn,200,2461,169812865
2,pmem,seq_prefetch,200,34153,161970237
2,pmem,rnd_prefetch,200,12929,162435811
2,pmem,pgn_prefetch,200,12150,168755334
2,dram,seq,250,37425,162146385
2,dram,rnd,250,9489,162507036
2,dram,pgn,250,9687,168807146
2,dram,seq_prefetch,250,33978,162196227
2,dram,rnd_prefetch,250,29806,162173588
2,dram,pgn_prefetch,250,33090,168535520
2,pmem,seq,250,37147,162246482
2,pmem,rnd,250,2458,163806669
2,pmem,pgn,250,2466,170144645
2,pmem,seq_prefetch,250,34071,162186526
2,pmem,rnd_prefetch,250,20824,162560632
2,pmem,pgn_prefetch,250,19073,168882631
2,dram,seq,300,37439,162488238
2,dram,rnd,300,9493,162809886
2,dram,pgn,300,9587,169116440
2,dram,seq_prefetch,300,33978,162464167
2,dram,rnd_prefetch,300,30021,162548544
