run,node_kind,access_pattern,spinloop_iterations,throughput,cache_misses
1,dram,seq,0,97181,1383997
1,dram,rnd,0,24764,98367286
1,dram,pgn,0,35161,98522928
1,dram,seq_prefetch,0,84033,282059
1,dram,rnd_prefetch,0,24832,1751122
1,dram,pgn_prefetch,0,34470,1926848
1,pmem,seq,0,47438,235762
1,pmem,rnd,0,7128,292786
1,pmem,pgn,0,9643,282081
1,pmem,seq_prefetch,0,47573,241486
1,pmem,rnd_prefetch,0,7115,297830
1,pmem,pgn_prefetch,0,9350,281550
1,dram,seq,50,16246,363313
1,dram,rnd,50,8880,98383116
1,dram,pgn,50,9541,98539459
1,dram,seq_prefetch,50,0,235923
1,dram,rnd_prefetch,50,10960,225107
1,dram,pgn_prefetch,50,0,310442
1,pmem,seq,50,16079,243127
1,pmem,rnd,50,2413,325572
1,pmem,pgn,50,0,322025
1,pmem,seq_prefetch,50,16149,237281
1,pmem,rnd_prefetch,50,4511,296585
1,pmem,pgn_prefetch,50,4713,300439
1,dram,seq,100,0,1628508
1,dram,rnd,100,5132,98424989
1,dram,pgn,100,0,98573472
1,dram,seq_prefetch,100,0,241070
1,dram,rnd_prefetch,100,6547,237287
1,dram,pgn_prefetch,100,6789,387464
1,pmem,seq,100,6676,263393
1,pmem,rnd,100,2009,351652
1,pmem,pgn,100,0,355772
1,pmem,seq_prefetch,100,6743,264697
1,pmem,rnd_prefetch,100,0,294203
1,pmem,pgn_prefetch,100,0,293406
1,dram,seq,150,4665,2184975
1,dram,rnd,150,0,98458008
1,dram,pgn,150,4016,98622161
1,dram,seq_prefetch,150,4750,240301
1,dram,rnd_prefetch,150,4656,236949
1,dram,pgn_prefetch,150,0,5891792
1,pmem,seq,150,4631,303881
1,pmem,rnd,150,0,376970
1,pmem,pgn,150,0,361530
1,pmem,seq_prefetch,150,4739,298744
1,pmem,rnd_prefetch,150,3383,309041
1,pmem,pgn_prefetch,150,3496,302972
1,dram,seq,200,0,622675
1,dram,rnd,200,3081,98455145
1,dram,pgn,200,3196,98622431
1,dram,seq_prefetch,200,0,244013
1,dram,rnd_prefetch,200,3600,236601
1,dram,pgn_prefetch,200,0,6097469
1,pmem,seq,200,3611,286085
1,pmem,rnd,200,0,380282
1,pmem,pgn,200,0,386200
1,pmem,seq_prefetch,200,3627,289043
1,pmem,rnd_prefetch,200,3042,317019
1,pmem,pgn_prefetch,200,0,318034
1,dram,seq,250,2930,478001
1,dram,rnd,250,2576,98452895
1,dram,pgn,250,2653,98628384
1,dram,seq_prefetch,250,0,237498
1,dram,rnd_prefetch,250,2933,233591
1,dram,pgn_prefetch,250,0,6118403
1,pmem,seq,250,0,307267
1,pmem,rnd,250,1445,437379
1,pmem,pgn,250,1470,407106
1,pmem,seq_prefetch,250,2953,300489
1,pmem,rnd_prefetch,250,0,317199
1,pmem,pgn_prefetch,250,2829,321402
1,dram,seq,300,2472,485180
1,dram,rnd,300,2212,98461999
1,dram,pgn,300,0,98650180
1,dram,seq_prefetch,300,2472,253125
1,dram,rnd_prefetch,300,2472,243657
1,dram,pgn_prefetch,300,2491,6175601
1,pmem,seq,300,2473,326352
1,pmem,rnd,300,0,427550
1,pmem,pgn,300,0,422264
1,pmem,seq_prefetch,300,0,306959
1,pmem,rnd_prefetch,300,2446,322946
1,pmem,pgn_prefetch,300,0,323453
1,dram,seq,350,0,489815
1,dram,rnd,350,0,98509113
1,dram,pgn,350,0,98631074
1,dram,seq_prefetch,350,2142,236292
1,dram,rnd_prefetch,350,2133,244855
1,dram,pgn_prefetch,350,0,6228392
1,pmem,seq,350,0,322705
1,pmem,rnd,350,0,436035
1,pmem,pgn,350,0,460258
1,pmem,seq_prefetch,350,2142,325994
1,pmem,rnd_prefetch,350,2125,337419
1,pmem,pgn_prefetch,350,0,345384
1,dram,seq,400,0,505175
1,dram,rnd,400,1717,98505999
1,dram,pgn,400,1754,98745184
1,dram,seq_prefetch,400,0,241896
1,dram,rnd_prefetch,400,0,244797
1,dram,pgn_prefetch,400,0,6240142
1,pmem,seq,400,1876,327732
1,pmem,rnd,400,0,469910
1,pmem,pgn,400,0,477281
1,pmem,seq_prefetch,400,0,344447
1,pmem,rnd_prefetch,400,0,369847
1,pmem,pgn_prefetch,400,0,355324
1,dram,seq,450,1670,671041
1,dram,rnd,450,0,98492188
1,dram,pgn,450,0,98648048
1,dram,seq_prefetch,450,0,242386
1,dram,rnd_prefetch,450,1673,243479
1,dram,pgn_prefetch,450,0,4678022
1,pmem,seq,450,1667,356222
1,pmem,rnd,450,0,481273
1,pmem,pgn,450,1067,486683
1,pmem,seq_prefetch,450,1678,342084
1,pmem,rnd_prefetch,450,0,375755
1,pmem,pgn_prefetch,450,1667,380113
1,dram,seq,500,0,446296
1,dram,rnd,500,1410,98519576
1,dram,pgn,500,1428,98648230
1,dram,seq_prefetch,500,1512,238324
1,dram,rnd_prefetch,500,1511,250544
1,dram,pgn_prefetch,500,0,3688336
