run,node_kind,access_pattern,spinloop_iterations,throughput,cache_misses
1,dram,seq,0,88028,106986222
1,dram,rnd,0,25031,105307425
1,dram,pgn,0,34662,111406079
1,dram,seq_prefetch,0,86505,106996374
1,dram,rnd_prefetch,0,24612,105332481
1,dram,pgn_prefetch,0,34423,111688997
1,pmem,seq,0,47801,107062739
1,pmem,rnd,0,7132,105443572
1,pmem,pgn,0,9640,111516483
1,pmem,seq_prefetch,0,47348,107099971
1,pmem,rnd_prefetch,0,7120,105558106
1,pmem,pgn_prefetch,0,9234,111944505
1,dram,seq,50,16241,106920322
1,dram,rnd,50,8890,105272437
1,dram,pgn,50,9661,111442086
1,dram,seq_prefetch,50,16178,106943586
1,dram,rnd_prefetch,50,13717,105511617
1,dram,pgn_prefetch,50,15569,111640791
1,pmem,seq,50,16105,107063208
1,pmem,rnd,50,2405,105497247
1,pmem,pgn,50,2455,111654518
1,pmem,seq_prefetch,50,16082,107104328
1,pmem,rnd_prefetch,50,4505,105622945
1,pmem,pgn_prefetch,50,0,111738680
1,dram,seq,100,6723,106938058
1,dram,rnd,100,5110,105299867
1,dram,pgn,100,0,111456709
1,dram,seq_prefetch,100,6813,106966018
1,dram,rnd_prefetch,100,6541,105480091
1,dram,pgn_prefetch,100,0,111653928
1,pmem,seq,100,6674,107141889
1,pmem,rnd,100,0,105531617
1,pmem,pgn,100,2051,111680292
1,pmem,seq_prefetch,100,6760,107175129
1,pmem,rnd_prefetch,100,3810,105627029
1,pmem,pgn_prefetch,100,3958,111788366
1,dram,seq,150,0,106947841
1,dram,rnd,150,3822,105303035
1,dram,pgn,150,0,111596132
1,dram,seq_prefetch,150,4750,106978889
1,dram,rnd_prefetch,150,4655,105258908
1,dram,pgn_prefetch,150,0,111452090
1,pmem,seq,150,0,107217166
1,pmem,rnd,150,1782,105555435
1,pmem,pgn,150,1814,111709849
1,pmem,seq_prefetch,150,4726,107206356
1,pmem,rnd_prefetch,150,3376,105620498
1,pmem,pgn_prefetch,150,3506,111820626
1,dram,seq,200,0,106972296
1,dram,rnd,200,3082,105318885
1,dram,pgn,200,0,111460384
1,dram,seq_prefetch,200,0,106983805
1,dram,rnd_prefetch,200,0,105284676
1,dram,pgn_prefetch,200,0,111496857
1,pmem,seq,200,0,107231970
1,pmem,rnd,200,1596,105611992
1,pmem,pgn,200,0,111722121
1,pmem,seq_prefetch,200,3619,107179212
1,pmem,rnd_prefetch,200,3043,105622898
1,pmem,pgn_prefetch,200,3137,111832753
1,dram,seq,250,2936,106959386
1,dram,rnd,250,2576,105351013
1,dram,pgn,250,2647,111484280
1,dram,seq_prefetch,250,0,106948201
1,dram,rnd_prefetch,250,0,105335844
1,dram,pgn_prefetch,250,0,111517803
1,pmem,seq,250,0,107233551
1,pmem,rnd,250,0,105645319
1,pmem,pgn,250,0,111754232
1,pmem,seq_prefetch,250,0,107284020
1,pmem,rnd_prefetch,250,2754,105647894
1,pmem,pgn_prefetch,250,2828,111815809
1,dram,seq,300,2474,106960249
1,dram,rnd,300,2208,105325693
1,dram,pgn,300,0,111495566
1,dram,seq_prefetch,300,0,106950017
1,dram,rnd_prefetch,300,2472,105350578
1,dram,pgn_prefetch,300,2494,111483057
1,pmem,seq,300,0,107251674
1,pmem,rnd,300,0,105655345
1,pmem,pgn,300,1345,111835870
1,pmem,seq_prefetch,300,0,107255934
1,pmem,rnd_prefetch,300,0,105723249
1,pmem,pgn_prefetch,300,2478,111836204
1,dram,seq,350,2128,106962984
1,dram,rnd,350,1933,105332170
1,dram,pgn,350,1979,111500465
1,dram,seq_prefetch,350,0,106899035
1,dram,rnd_prefetch,350,0,105321186
1,dram,pgn_prefetch,350,2147,111543517
1,pmem,seq,350,2127,107343704
1,pmem,rnd,350,0,105686098
1,pmem,pgn,350,0,111854243
1,pmem,seq_prefetch,350,2143,107356914
1,pmem,rnd_prefetch,350,0,105724932
1,pmem,pgn_prefetch,350,2147,111853945
1,dram,seq,400,0,106968155
1,dram,rnd,400,0,105363377
1,dram,pgn,400,0,111527064
1,dram,seq_prefetch,400,0,107000623
1,dram,rnd_prefetch,400,1876,105325546
1,dram,pgn_prefetch,400,1888,111532485
1,pmem,seq,400,0,107370826
1,pmem,rnd,400,1133,105706752
1,pmem,pgn,400,0,111870191
1,pmem,seq_prefetch,400,0,107301388
1,pmem,rnd_prefetch,400,0,105541442
1,pmem,pgn_prefetch,400,1868,111733894
1,dram,seq,450,0,106972073
1,dram,rnd,450,1547,105401094
1,dram,pgn,450,1572,111584783
1,dram,seq_prefetch,450,1678,106973378
1,dram,rnd_prefetch,450,0,105385875
1,dram,pgn_prefetch,450,0,111552591
1,pmem,seq,450,0,107425322
1,pmem,rnd,450,0,105756595
1,pmem,pgn,450,1066,111930139
1,pmem,seq_prefetch,450,0,107349502
1,pmem,rnd_prefetch,450,1672,105618323
1,pmem,pgn_prefetch,450,1671,111795709
1,dram,seq,500,0,106972566
1,dram,rnd,500,0,105405735
1,dram,pgn,500,0,111556579
1,dram,seq_prefetch,500,0,106961527
1,dram,rnd_prefetch,500,0,105468226
1,dram,pgn_prefetch,500,0,111598276
1,pmem,seq,500,1510,107406531
1,pmem,rnd,500,84388,105742668
1,pmem,pgn,500,998,111969688
1,pmem,seq_prefetch,500,0,107463902
1,pmem,rnd_prefetch,500,1512,105587102
1,pmem,pgn_prefetch,500,1505,111779193
2,dram,seq,0,89047,106952924
2,dram,rnd,0,0,105224195
2,dram,pgn,0,35448,111391150
2,dram,seq_prefetch,0,87489,106947119
2,dram,rnd_prefetch,0,24691,105277730
2,dram,pgn_prefetch,0,34566,111643269
2,pmem,seq,0,47641,107046329
2,pmem,rnd,0,7110,105377639
2,pmem,pgn,0,9627,111500652
2,pmem,seq_prefetch,0,47551,107048793
2,pmem,rnd_prefetch,0,0,105518729
2,pmem,pgn_prefetch,0,9579,111958000
2,dram,seq,50,16223,106881758
2,dram,rnd,50,8897,105252182
2,dram,pgn,50,9535,111416283
2,dram,seq_prefetch,50,16175,106916915
2,dram,rnd_prefetch,50,13679,105461396
2,dram,pgn_prefetch,50,15494,111627432
2,pmem,seq,50,16254,107071151
2,pmem,rnd,50,0,105492830
2,pmem,pgn,50,2455,111652577
2,pmem,seq_prefetch,50,16082,107166571
2,pmem,rnd_prefetch,50,4500,105629011
2,pmem,pgn_prefetch,50,4714,111772399
2,dram,seq,100,6723,106927860
2,dram,rnd,100,5082,105299672
2,dram,pgn,100,5433,111493987
2,dram,seq_prefetch,100,6818,106932473
2,dram,rnd_prefetch,100,6551,105514302
2,dram,pgn_prefetch,100,6789,111647462
2,pmem,seq,100,0,107133790
2,pmem,rnd,100,0,105501487
2,pmem,pgn,100,0,111726718
2,pmem,seq_prefetch,100,6741,107144624
2,pmem,rnd_prefetch,100,3811,105584530
2,pmem,pgn_prefetch,100,0,111825429
2,dram,seq,150,4662,106962863
2,dram,rnd,150,3861,105279060
2,dram,pgn,150,4018,111487728
2,dram,seq_prefetch,150,4746,106945566
2,dram,rnd_prefetch,150,4652,105309237
2,dram,pgn_prefetch,150,0,111471911
2,pmem,seq,150,4617,107166261
2,pmem,rnd,150,1780,105556663
2,pmem,pgn,150,1813,111727414
2,pmem,seq_prefetch,150,4743,107220525
2,pmem,rnd_prefetch,150,3382,105636234
2,pmem,pgn_prefetch,150,0,111838467
2,dram,seq,200,3620,106930186
2,dram,rnd,200,3086,105357097
2,dram,pgn,200,0,111471800
2,dram,seq_prefetch,200,3637,106914093
2,dram,rnd_prefetch,200,3602,105325759
2,dram,pgn_prefetch,200,3651,111470049
2,pmem,seq,200,0,107211845
2,pmem,rnd,200,1594,105633273
2,pmem,pgn,200,1624,111750163
2,pmem,seq_prefetch,200,3628,107150370
2,pmem,rnd_prefetch,200,3041,105661162
2,pmem,pgn_prefetch,200,3132,111833491
2,dram,seq,250,2931,106936873
2,dram,rnd,250,2566,105332129
2,dram,pgn,250,0,111494595
2,dram,seq_prefetch,250,2961,106956144
2,dram,rnd_prefetch,250,2938,105326342
2,dram,pgn_prefetch,250,2961,111511008
2,pmem,seq,250,0,107267193
2,pmem,rnd,250,0,105619030
2,pmem,pgn,250,1470,111831214
2,pmem,seq_prefetch,250,2962,107277719
2,pmem,rnd_prefetch,250,2756,105678818
2,pmem,pgn_prefetch,250,2832,111829339
2,dram,seq,300,2473,106939834
2,dram,rnd,300,2205,105324752
2,dram,pgn,300,0,111501660
2,dram,seq_prefetch,300,2474,106982594
2,dram,rnd_prefetch,300,2472,105285833
2,dram,pgn_prefetch,300,0,111475083
2,pmem,seq,300,2462,107305820
2,pmem,rnd,300,0,105637348
2,pmem,pgn,300,1347,111809993
2,pmem,seq_prefetch,300,0,107274931
2,pmem,rnd_prefetch,300,2446,105666155
2,pmem,pgn_prefetch,300,2479,111833356
2,dram,seq,350,0,107001575
2,dram,rnd,350,1929,105312090
2,dram,pgn,350,1972,111494456
2,dram,seq_prefetch,350,0,106986668
2,dram,rnd_prefetch,350,0,105307647
2,dram,pgn_prefetch,350,0,111568839
2,pmem,seq,350,0,107291167
2,pmem,rnd,350,1221,105662556
2,pmem,pgn,350,1236,111866385
2,pmem,seq_prefetch,350,0,107299788
2,pmem,rnd_prefetch,350,0,105723894
2,pmem,pgn_prefetch,350,2146,111895677
2,dram,seq,400,0,106957731
2,dram,rnd,400,0,105365536
2,dram,pgn,400,1755,111560120
2,dram,seq_prefetch,400,0,106894204
2,dram,rnd_prefetch,400,1876,105379465
2,dram,pgn_prefetch,400,0,111631029
2,pmem,seq,400,0,107372598
2,pmem,rnd,400,0,105697355
2,pmem,pgn,400,0,111930738
2,pmem,seq_prefetch,400,0,107353311
2,pmem,rnd_prefetch,400,1874,105569597
2,pmem,pgn_prefetch,400,1867,111728600
2,dram,seq,450,1668,106993181
2,dram,rnd,450,0,105351325
2,dram,pgn,450,0,111525006
2,dram,seq_prefetch,450,0,106982073
2,dram,rnd_prefetch,450,0,105356611
2,dram,pgn_prefetch,450,1684,111608983
2,pmem,seq,450,0,107397423
2,pmem,rnd,450,0,105757779
2,pmem,pgn,450,0,111870201
2,pmem,seq_prefetch,450,0,107430629
2,pmem,rnd_prefetch,450,1673,105590904
2,pmem,pgn_prefetch,450,0,111794168
2,dram,seq,500,0,106935970
2,dram,rnd,500,0,105432361
2,dram,pgn,500,0,111598068
2,dram,seq_prefetch,500,1511,106977046
2,dram,rnd_prefetch,500,0,105747989
2,dram,pgn_prefetch,500,1520,111685098
2,pmem,seq,500,0,107451338
2,pmem,rnd,500,71994,105783868
2,pmem,pgn,500,763358,111957633
2,pmem,seq_prefetch,500,1511,107453058
2,pmem,rnd_prefetch,500,0,105674250
2,pmem,pgn_prefetch,500,1505,111748499
