run,node_kind,access_pattern,spinloop_iterations,throughput,cache_misses
1,dram,seq,0,37425,241419
1,dram,rnd,0,9450,98438540
1,dram,pgn,0,9606,104511784
1,dram,seq_prefetch,0,35149,263213
1,dram,rnd_prefetch,0,17850,259573
1,dram,pgn_prefetch,0,18018,6241207
1,pmem,seq,0,36764,236908
1,pmem,rnd,0,2399,321023
1,pmem,pgn,0,2309,345648
1,pmem,seq_prefetch,0,34025,231106
1,pmem,rnd_prefetch,0,4815,286333
1,pmem,pgn_prefetch,0,4740,293272
1,dram,seq,50,37537,539421
1,dram,rnd,50,9389,98412290
1,dram,pgn,50,9610,104487921
1,dram,seq_prefetch,50,35373,227269
1,dram,rnd_prefetch,50,25056,235913
1,dram,pgn_prefetch,50,27901,6245122
1,pmem,seq,50,36818,248990
1,pmem,rnd,50,2453,354831
1,pmem,pgn,50,2465,355038
1,pmem,seq_prefetch,50,34891,253451
1,pmem,rnd_prefetch,50,5675,289333
1,pmem,pgn_prefetch,50,5593,300825
1,dram,seq,100,35932,1825929
1,dram,rnd,100,9530,98432620
1,dram,pgn,100,9791,104497945
1,dram,seq_prefetch,100,33840,251697
1,dram,rnd_prefetch,100,26867,241453
1,dram,pgn_prefetch,100,29154,6230948
1,pmem,seq,100,34223,286376
1,pmem,rnd,100,2453,374885
1,pmem,pgn,100,2473,364575
1,pmem,seq_prefetch,100,33400,276779
1,pmem,rnd_prefetch,100,7111,297946
1,pmem,pgn_prefetch,100,6896,305223
1,dram,seq,150,35625,2289495
1,dram,rnd,150,9433,98476747
1,dram,pgn,150,9562,104543004
1,dram,seq_prefetch,150,34013,232417
1,dram,rnd_prefetch,150,27964,249020
1,dram,pgn_prefetch,150,31036,6228001
1,pmem,seq,150,33156,288555
1,pmem,rnd,150,2455,378758
1,pmem,pgn,150,2466,391910
1,pmem,seq_prefetch,150,33726,298324
1,pmem,rnd_prefetch,150,9187,301563
1,pmem,pgn_prefetch,150,8813,314541
1,dram,seq,200,37425,475932
1,dram,rnd,200,9380,98464278
1,dram,pgn,200,9584,104538837
1,dram,seq_prefetch,200,34059,242605
1,dram,rnd_prefetch,200,29103,232270
1,dram,pgn_prefetch,200,31635,6235966
1,pmem,seq,200,37133,302279
1,pmem,rnd,200,2458,411476
1,pmem,pgn,200,2469,395935
1,pmem,seq_prefetch,200,34071,291328
1,pmem,rnd_prefetch,200,12784,322310
1,pmem,pgn_prefetch,200,12143,325209
1,dram,seq,250,35714,1995415
1,dram,rnd,250,9489,98483556
1,dram,pgn,250,9575,104606899
1,dram,seq_prefetch,250,34071,240849
1,dram,rnd_prefetch,250,29832,237480
1,dram,pgn_prefetch,250,32765,6246783
1,pmem,seq,250,37133,298482
1,pmem,rnd,250,2449,415894
1,pmem,pgn,250,2465,423019
1,pmem,seq_prefetch,250,34083,305986
1,pmem,rnd_prefetch,250,20946,331044
1,pmem,pgn_prefetch,250,18796,320110
1,dram,seq,300,37355,430191
1,dram,rnd,300,9345,98473819
1,dram,pgn,300,9631,104669130
1,dram,seq_prefetch,300,33921,344092
1,dram,rnd_prefetch,300,30030,248404
1,dram,pgn_prefetch,300,33112,6229458
1,pmem,seq,300,37160,319109
1,pmem,rnd,300,2453,422481
1,pmem,pgn,300,2464,435374
1,pmem,seq_prefetch,300,33990,319676
1,pmem,rnd_prefetch,300,27578,342029
1,pmem,pgn_prefetch,300,25608,348365
1,dram,seq,350,37439,450973
1,dram,rnd,350,9494,98498288
1,dram,pgn,350,9565,104567697
1,dram,seq_prefetch,350,34025,238271
1,dram,rnd_prefetch,350,30084,243280
1,dram,pgn_prefetch,350,33156,6240372
1,pmem,seq,350,37147,336479
1,pmem,rnd,350,2453,475162
1,pmem,pgn,350,2465,478204
1,pmem,seq_prefetch,350,33944,330464
1,pmem,rnd_prefetch,350,28752,351569
1,pmem,pgn_prefetch,350,26816,352039
1,dram,seq,400,37495,456842
1,dram,rnd,400,9352,98616387
1,dram,pgn,400,9734,104618350
1,dram,seq_prefetch,400,33955,256235
1,dram,rnd_prefetch,400,30057,272933
1,dram,pgn_prefetch,400,33036,6257134
1,pmem,seq,400,37188,353454
1,pmem,rnd,400,2446,487129
1,pmem,pgn,400,2466,487604
1,pmem,seq_prefetch,400,33990,365551
1,pmem,rnd_prefetch,400,29559,360241
1,pmem,pgn_prefetch,400,27277,356449
1,dram,seq,450,37285,583417
1,dram,rnd,450,9533,98602357
1,dram,pgn,450,9751,104664787
1,dram,seq_prefetch,450,34141,252492
1,dram,rnd_prefetch,450,29949,249313
1,dram,pgn_prefetch,450,33178,6258451
