run,node_kind,access_pattern,spinloop_iterations,throughput,cache_misses
1,dram,seq,0,37467,106840901
1,dram,rnd,0,9528,105396823
1,dram,pgn,0,9606,111558723
1,dram,seq_prefetch,0,35124,106972363
1,dram,rnd_prefetch,0,17565,105531402
1,dram,pgn_prefetch,0,17809,111729292
1,pmem,seq,0,36791,106904614
1,pmem,rnd,0,2401,105431003
1,pmem,pgn,0,2307,111730346
1,pmem,seq_prefetch,0,34048,107064862
1,pmem,rnd_prefetch,0,4822,105588430
1,pmem,pgn_prefetch,0,4763,111781622
1,dram,seq,50,37579,106964995
1,dram,rnd,50,9339,105291113
1,dram,pgn,50,9696,111517288
1,dram,seq_prefetch,50,35473,106930911
1,dram,rnd_prefetch,50,25119,105495346
1,dram,pgn_prefetch,50,27901,111687438
1,pmem,seq,50,36832,107081211
1,pmem,rnd,50,2457,105550194
1,pmem,pgn,50,2477,111691077
1,pmem,seq_prefetch,50,34904,107104517
1,pmem,rnd_prefetch,50,5673,105646266
1,pmem,pgn_prefetch,50,5585,111817516
1,dram,seq,100,35945,106957201
1,dram,rnd,100,9530,105382611
1,dram,pgn,100,9575,111474986
1,dram,seq_prefetch,100,33783,106972343
1,dram,rnd_prefetch,100,26788,105497084
1,dram,pgn_prefetch,100,29248,111656220
1,pmem,seq,100,34118,107142140
1,pmem,rnd,100,2454,105575394
1,pmem,pgn,100,2470,111712568
1,pmem,seq_prefetch,100,33422,107220131
1,pmem,rnd_prefetch,100,7090,105619685
1,pmem,pgn_prefetch,100,6899,111857730
1,dram,seq,150,35612,106970236
1,dram,rnd,150,9401,105308011
1,dram,pgn,150,9653,111515156
1,dram,seq_prefetch,150,33990,106875159
1,dram,rnd_prefetch,150,27932,105324988
1,dram,pgn_prefetch,150,30854,111468930
1,pmem,seq,150,33178,107194375
1,pmem,rnd,150,2460,105598021
1,pmem,pgn,150,2464,111751455
1,pmem,seq_prefetch,150,33692,107206092
1,pmem,rnd_prefetch,150,9143,105626810
1,pmem,pgn_prefetch,150,8837,111869946
1,dram,seq,200,37299,106969496
1,dram,rnd,200,9546,105349178
1,dram,pgn,200,9757,111508039
1,dram,seq_prefetch,200,34048,106904572
1,dram,rnd_prefetch,200,29154,105330364
1,dram,pgn_prefetch,200,31665,111485680
1,pmem,seq,200,37023,107210793
1,pmem,rnd,200,2455,105647593
1,pmem,pgn,200,2466,111792366
1,pmem,seq_prefetch,200,34071,107220085
1,pmem,rnd_prefetch,200,12904,105691656
1,pmem,pgn_prefetch,200,12223,111821250
1,dram,seq,250,37383,106951452
1,dram,rnd,250,9356,105338858
1,dram,pgn,250,9704,111528431
1,dram,seq_prefetch,250,34071,106959793
1,dram,rnd_prefetch,250,29806,105326718
1,dram,pgn_prefetch,250,32808,111509073
1,pmem,seq,250,37147,107279614
1,pmem,rnd,250,2461,105640672
1,pmem,pgn,250,2468,111880649
1,pmem,seq_prefetch,250,34129,107312665
1,pmem,rnd_prefetch,250,21263,105661038
1,pmem,pgn_prefetch,250,18832,111909638
1,dram,seq,300,37383,106988380
1,dram,rnd,300,9350,105353926
1,dram,pgn,300,9589,111552304
1,dram,seq_prefetch,300,33955,106934278
1,dram,rnd_prefetch,300,30075,105323456
1,dram,pgn_prefetch,300,33036,111528957
1,pmem,seq,300,36140,107341488
1,pmem,rnd,300,2456,105733914
1,pmem,pgn,300,2469,111851780
