run,node_kind,access_pattern,spinloop_iterations,throughput,cache_misses
1,dram,seq,0,86355,369556
1,dram,rnd,0,24931,98373059
1,dram,pgn,0,35161,98540549
1,dram,seq_prefetch,0,95419,292800
1,dram,rnd_prefetch,0,24838,1016004
1,dram,pgn_prefetch,0,34506,1920005
1,pmem,seq,0,47755,245856
1,pmem,rnd,0,7128,287582
1,pmem,pgn,0,9654,286778
1,pmem,seq_prefetch,0,47483,239657
1,pmem,rnd_prefetch,0,7121,281913
1,pmem,pgn_prefetch,0,9603,272269
1,dram,seq,50,16225,358915
1,dram,rnd,50,8871,98386089
1,dram,pgn,50,9717,98537106
1,dram,seq_prefetch,50,16160,254852
1,dram,rnd_prefetch,50,13709,224511
1,dram,pgn_prefetch,50,15542,304438
1,pmem,seq,50,16092,247013
1,pmem,rnd,50,2398,335105
1,pmem,pgn,50,2461,330468
1,pmem,seq_prefetch,50,16048,254005
1,pmem,rnd_prefetch,50,4508,291290
1,pmem,pgn_prefetch,50,4725,293623
1,dram,seq,100,6760,1902101
1,dram,rnd,100,5100,98399418
1,dram,pgn,100,5440,98599410
1,dram,seq_prefetch,100,6775,235107
1,dram,rnd_prefetch,100,6533,245336
1,dram,pgn_prefetch,100,6779,367936
1,pmem,seq,100,6682,263789
1,pmem,rnd,100,2006,346241
1,pmem,pgn,100,2059,337676
1,pmem,seq_prefetch,100,6697,267613
1,pmem,rnd_prefetch,100,3792,302277
1,pmem,pgn_prefetch,100,3960,298962
1,dram,seq,150,4711,2326588
1,dram,rnd,150,3881,98459670
1,dram,pgn,150,4036,98619958
1,dram,seq_prefetch,150,4721,249350
1,dram,rnd_prefetch,150,4646,236089
1,dram,pgn_prefetch,150,4720,5961400
1,pmem,seq,150,4660,290245
1,pmem,rnd,150,1781,381408
1,pmem,pgn,150,1814,374671
1,pmem,seq_prefetch,150,4697,290803
1,pmem,rnd_prefetch,150,3376,309489
1,pmem,pgn_prefetch,150,3505,302180
1,dram,seq,200,3631,1080380
1,dram,rnd,200,3089,98457107
1,dram,pgn,200,3197,98630387
1,dram,seq_prefetch,200,3625,239601
1,dram,rnd_prefetch,200,3599,235818
1,dram,pgn_prefetch,200,3640,6165189
1,pmem,seq,200,3617,289055
1,pmem,rnd,200,1599,380539
1,pmem,pgn,200,1625,372813
1,pmem,seq_prefetch,200,3615,296079
1,pmem,rnd_prefetch,200,3039,304687
1,pmem,pgn_prefetch,200,3140,304120
1,dram,seq,250,2941,859969
1,dram,rnd,250,2567,98445700
1,dram,pgn,250,2646,98637773
1,dram,seq_prefetch,250,2942,254877
1,dram,rnd_prefetch,250,2930,236081
1,dram,pgn_prefetch,250,2955,6221182
1,pmem,seq,250,2937,303964
1,pmem,rnd,250,1451,407705
1,pmem,pgn,250,1472,398105
1,pmem,seq_prefetch,250,2943,303575
1,pmem,rnd_prefetch,250,2749,309687
1,pmem,pgn_prefetch,250,2831,306573
1,dram,seq,300,2478,613657
1,dram,rnd,300,2211,98529191
1,dram,pgn,300,2263,98679255
1,dram,seq_prefetch,300,2474,241077
1,dram,rnd_prefetch,300,2469,235987
1,dram,pgn_prefetch,300,2486,6191150
1,pmem,seq,300,2472,310853
1,pmem,rnd,300,1327,413862
1,pmem,pgn,300,1345,407520
1,pmem,seq_prefetch,300,2472,313590
1,pmem,rnd_prefetch,300,2443,270781
1,pmem,pgn_prefetch,300,2477,323050
1,dram,seq,350,2134,655800
1,dram,rnd,350,1936,98564610
1,dram,pgn,350,1982,98657410
1,dram,seq_prefetch,350,2136,245934
1,dram,rnd_prefetch,350,2131,249505
1,dram,pgn_prefetch,350,2144,6237150
1,pmem,seq,350,2131,316680
1,pmem,rnd,350,1224,425500
1,pmem,pgn,350,1237,423550
1,pmem,seq_prefetch,350,2137,326732
1,pmem,rnd_prefetch,350,2122,340471
1,pmem,pgn_prefetch,350,2142,350081
1,dram,seq,400,1879,698753
1,dram,rnd,400,1720,98608748
1,dram,pgn,400,1754,98763576
1,dram,seq_prefetch,400,1877,358744
1,dram,rnd_prefetch,400,1875,239244
1,dram,pgn_prefetch,400,1882,6376334
1,pmem,seq,400,1877,335545
1,pmem,rnd,400,1133,435420
1,pmem,pgn,400,1144,430050
1,pmem,seq_prefetch,400,1878,334807
1,pmem,rnd_prefetch,400,1872,356238
1,pmem,pgn_prefetch,400,1860,355993
1,dram,seq,450,1675,717256
1,dram,rnd,450,1550,98468862
1,dram,pgn,450,1575,98660430
1,dram,seq_prefetch,450,1674,366494
1,dram,rnd_prefetch,450,1673,239787
1,dram,pgn_prefetch,450,1681,4832473
1,pmem,seq,450,1671,348159
1,pmem,rnd,450,1053,437754
1,pmem,pgn,450,1069,452620
1,pmem,seq_prefetch,450,1675,356463
1,pmem,rnd_prefetch,450,1672,371574
1,pmem,pgn_prefetch,450,1663,382805
1,dram,seq,500,1513,536934
1,dram,rnd,500,1413,98485324
1,dram,pgn,500,1427,98674316
1,dram,seq_prefetch,500,1513,246768
1,dram,rnd_prefetch,500,1510,247465
1,dram,pgn_prefetch,500,1517,5056405
1,pmem,seq,500,1513,359469
1,pmem,rnd,500,988,478224
1,pmem,pgn,500,998,484162
1,pmem,seq_prefetch,500,1513,359402
1,pmem,rnd_prefetch,500,1510,391224
1,pmem,pgn_prefetch,500,1509,387661
2,dram,seq,0,97560,370011
2,dram,rnd,0,25150,98340883
2,dram,pgn,0,35448,98562731
2,dram,seq_prefetch,0,86730,312056
2,dram,rnd_prefetch,0,24950,1147626
2,dram,pgn_prefetch,0,34542,1940846
2,pmem,seq,0,47303,233369
2,pmem,rnd,0,7130,263372
2,pmem,pgn,0,9666,254663
2,pmem,seq_prefetch,0,47641,224109
2,pmem,rnd_prefetch,0,7120,268039
2,pmem,pgn_prefetch,0,9590,253547
2,dram,seq,50,16236,370233
