run,node_kind,access_pattern,spinloop_iterations,throughput,cache_misses
1,dram,seq,0,81833,364464
1,dram,rnd,0,24807,98412919
1,dram,pgn,0,69060,49804834
1,dram,seq_prefetch,0,85034,310866
1,dram,rnd_prefetch,0,24691,1818755
1,dram,pgn_prefetch,0,67521,1346897
1,pmem,seq,0,44326,246302
1,pmem,rnd,0,6603,287805
1,pmem,pgn,0,17670,258423
1,pmem,seq_prefetch,0,44404,239722
1,pmem,rnd_prefetch,0,6706,301008
1,pmem,pgn_prefetch,0,19149,275297
1,dram,seq,50,15728,402100
1,dram,rnd,50,8852,98451081
1,dram,pgn,50,19204,49823198
1,dram,seq_prefetch,50,15752,237267
1,dram,rnd_prefetch,50,13633,241307
1,dram,pgn_prefetch,50,30740,313799
1,pmem,seq,50,15644,260287
1,pmem,rnd,50,2411,354647
1,pmem,pgn,50,4865,290575
1,pmem,seq_prefetch,50,15659,268934
1,pmem,rnd_prefetch,50,4494,312484
1,pmem,pgn_prefetch,50,9366,273782
1,dram,seq,100,6663,1575352
1,dram,rnd,100,5052,98504969
1,dram,pgn,100,10744,49825606
1,dram,seq_prefetch,100,6754,241699
1,dram,rnd_prefetch,100,6509,246161
1,dram,pgn_prefetch,100,13539,331202
1,pmem,seq,100,6649,290155
1,pmem,rnd,100,2001,374737
1,pmem,pgn,100,4064,306175
1,pmem,seq_prefetch,100,6625,311009
1,pmem,rnd_prefetch,100,3781,313897
1,pmem,pgn_prefetch,100,7856,286550
1,dram,seq,150,4683,1802393
1,dram,rnd,150,3816,98496714
1,dram,pgn,150,7943,49841071
1,dram,seq_prefetch,150,4727,267321
1,dram,rnd_prefetch,150,4638,260037
1,dram,pgn_prefetch,150,9274,5645835
1,pmem,seq,150,4640,332209
1,pmem,rnd,150,1776,370914
1,pmem,pgn,150,3599,321379
1,pmem,seq_prefetch,150,4679,317296
1,pmem,rnd_prefetch,150,3365,322570
1,pmem,pgn_prefetch,150,6957,275181
1,dram,seq,200,3596,2336785
1,dram,rnd,200,3050,98524746
1,dram,pgn,200,6345,49858836
1,dram,seq_prefetch,200,3613,259939
1,dram,rnd_prefetch,200,3595,252219
1,dram,pgn_prefetch,200,7181,6021239
1,pmem,seq,200,3575,308529
1,pmem,rnd,200,1594,397568
1,pmem,pgn,200,3232,338578
1,pmem,seq_prefetch,200,3588,330042
1,pmem,rnd_prefetch,200,3036,280357
1,pmem,pgn_prefetch,200,6244,291630
1,dram,seq,250,2913,2356406
1,dram,rnd,250,2558,98574229
1,dram,pgn,250,5266,49878088
1,dram,seq_prefetch,250,2940,252742
1,dram,rnd_prefetch,250,2929,246945
1,dram,pgn_prefetch,250,5832,6034114
1,pmem,seq,250,2915,314662
1,pmem,rnd,250,1448,419120
1,pmem,pgn,250,2922,335214
1,pmem,seq_prefetch,250,2941,329712
1,pmem,rnd_prefetch,250,2743,338125
1,pmem,pgn_prefetch,250,5646,283051
1,dram,seq,300,2462,1132292
1,dram,rnd,300,2191,98595016
1,dram,pgn,300,4491,49903748
1,dram,seq_prefetch,300,2466,352572
1,dram,rnd_prefetch,300,2466,355901
1,dram,pgn_prefetch,300,4910,6155694
1,pmem,seq,300,2460,334310
1,pmem,rnd,300,1322,441069
1,pmem,pgn,300,2676,357243
1,pmem,seq_prefetch,300,2467,359331
1,pmem,rnd_prefetch,300,2444,342735
1,pmem,pgn_prefetch,300,4939,304230
1,dram,seq,350,2128,688781
1,dram,rnd,350,1919,98669789
1,dram,pgn,350,3916,49881238
1,dram,seq_prefetch,350,2131,260861
1,dram,rnd_prefetch,350,2130,259611
1,dram,pgn_prefetch,350,4225,6169048
1,pmem,seq,350,2122,362912
1,pmem,rnd,350,1219,457753
1,pmem,pgn,350,2464,363899
1,pmem,seq_prefetch,350,2130,369707
1,pmem,rnd_prefetch,350,2121,370595
1,pmem,pgn_prefetch,350,4268,311886
1,dram,seq,400,1870,725305
1,dram,rnd,400,1711,98602509
1,dram,pgn,400,3482,49889907
1,dram,seq_prefetch,400,1872,266080
1,dram,rnd_prefetch,400,1874,273234
1,dram,pgn_prefetch,400,3731,6159883
1,pmem,seq,400,1868,372091
1,pmem,rnd,400,1129,461319
1,pmem,pgn,400,2279,336797
1,pmem,seq_prefetch,400,1876,375116
1,pmem,rnd_prefetch,400,1870,367818
1,pmem,pgn_prefetch,400,3665,319697
1,dram,seq,450,1670,959062
1,dram,rnd,450,1540,98634892
1,dram,pgn,450,3126,49891963
1,dram,seq_prefetch,450,1675,263659
1,dram,rnd_prefetch,450,1672,245482
1,dram,pgn_prefetch,450,3335,4778124
1,pmem,seq,450,1667,382423
1,pmem,rnd,450,1054,468957
1,pmem,pgn,450,2125,362312
1,pmem,seq_prefetch,450,1675,409031
1,pmem,rnd_prefetch,450,1671,386749
1,pmem,pgn_prefetch,450,3306,326102
1,dram,seq,500,1509,613234
1,dram,rnd,500,1401,98620999
1,dram,pgn,500,2839,49871525
1,dram,seq_prefetch,500,1511,247031
1,dram,rnd_prefetch,500,1510,259330
1,dram,pgn_prefetch,500,3021,3432868
1,pmem,seq,500,1507,404588
1,pmem,rnd,500,988,505925
1,pmem,pgn,500,1989,379532
1,pmem,seq_prefetch,500,1510,423424
1,pmem,rnd_prefetch,500,1510,408005
1,pmem,pgn_prefetch,500,3000,344474
2,dram,seq,0,81433,551807
2,dram,rnd,0,24875,98377273
2,dram,pgn,0,69300,49800222
2,dram,seq_prefetch,0,86805,288243
2,dram,rnd_prefetch,0,24968,2044129
2,dram,pgn_prefetch,0,67024,1543283
2,pmem,seq,0,47619,234608
2,pmem,rnd,0,7125,305695
2,pmem,pgn,0,19197,266082
2,pmem,seq_prefetch,0,47281,246589
2,pmem,rnd_prefetch,0,7114,300782
2,pmem,pgn_prefetch,0,19135,268852
2,dram,seq,50,15752,403775
2,dram,rnd,50,8846,98464911
2,dram,pgn,50,18793,49835160
2,dram,seq_prefetch,50,15750,245141
2,dram,rnd_prefetch,50,13574,253436
2,dram,pgn_prefetch,50,30788,331603
2,pmem,seq,50,15642,251915
2,pmem,rnd,50,2415,359349
2,pmem,pgn,50,4877,310342
2,pmem,seq_prefetch,50,15408,266347
2,pmem,rnd_prefetch,50,4501,309043
2,pmem,pgn_prefetch,50,9386,279731
2,dram,seq,100,6644,1544233
2,dram,rnd,100,5039,98518511
2,dram,pgn,100,10702,49863773
2,dram,seq_prefetch,100,6756,261267
2,dram,rnd_prefetch,100,6510,275240
2,dram,pgn_prefetch,100,13518,347131
2,pmem,seq,100,6644,308132
2,pmem,rnd,100,2010,363309
2,pmem,pgn,100,4068,320256
2,pmem,seq_prefetch,100,6619,312338
2,pmem,rnd_prefetch,100,3792,322205
2,pmem,pgn_prefetch,100,7898,289220
2,dram,seq,150,4682,1776048
2,dram,rnd,150,3816,98497906
2,dram,pgn,150,7982,49845498
2,dram,seq_prefetch,150,4722,255409
2,dram,rnd_prefetch,150,4640,247515
2,dram,pgn_prefetch,150,9281,5542208
2,pmem,seq,150,4637,316610
2,pmem,rnd,150,1779,405623
2,pmem,pgn,150,3611,319473
2,pmem,seq_prefetch,150,4681,316770
2,pmem,rnd_prefetch,150,3374,339062
2,pmem,pgn_prefetch,150,6966,301567
2,dram,seq,200,3596,2162173
2,dram,rnd,200,3052,98529364
2,dram,pgn,200,6336,49868748
2,dram,seq_prefetch,200,3613,241900
2,dram,rnd_prefetch,200,3596,256286
2,dram,pgn_prefetch,200,7177,6015676
2,pmem,seq,200,3573,311096
2,pmem,rnd,200,1593,392886
2,pmem,pgn,200,3232,323395
2,pmem,seq_prefetch,200,3601,338103
2,pmem,rnd_prefetch,200,3030,328512
2,pmem,pgn_prefetch,200,6240,293574
