run,node_kind,access_pattern,spinloop_iterations,throughput,cache_misses
1,dram,seq,0,90090,106987129
1,dram,rnd,0,25119,105275458
1,dram,pgn,0,35161,111453360
1,dram,seq_prefetch,0,96805,107006530
1,dram,rnd_prefetch,0,24758,105454465
1,dram,pgn_prefetch,0,34530,111694957
1,pmem,seq,0,47664,106909323
1,pmem,rnd,0,7115,105374225
1,pmem,pgn,0,9660,111478988
1,pmem,seq_prefetch,0,47326,106892488
1,pmem,rnd_prefetch,0,7130,105728177
1,pmem,pgn_prefetch,0,9606,111778072
1,dram,seq,50,16236,106923061
1,dram,rnd,50,8823,105246799
1,dram,pgn,50,9641,111440937
1,dram,seq_prefetch,50,16170,106902730
1,dram,rnd_prefetch,50,13650,105445985
1,dram,pgn_prefetch,50,15487,111629785
1,pmem,seq,50,16095,107077572
1,pmem,rnd,50,2380,105522121
1,pmem,pgn,50,2456,111658563
1,pmem,seq_prefetch,50,16069,107117780
1,pmem,rnd_prefetch,50,4495,105652393
1,pmem,pgn_prefetch,50,4709,111808180
1,dram,seq,100,6772,106947719
1,dram,rnd,100,5096,105261497
1,dram,pgn,100,5428,111453079
1,dram,seq_prefetch,100,6776,106991784
1,dram,rnd_prefetch,100,6538,105486691
1,dram,pgn_prefetch,100,6772,111649111
1,pmem,seq,100,6680,107090904
1,pmem,rnd,100,2006,105493572
1,pmem,pgn,100,2057,111761448
1,pmem,seq_prefetch,100,6685,107145586
1,pmem,rnd_prefetch,100,3798,105641093
1,pmem,pgn_prefetch,100,3966,111789171
1,dram,seq,150,4704,106956836
1,dram,rnd,150,3830,105271687
1,dram,pgn,150,4037,111490574
1,dram,seq_prefetch,150,4722,106940014
1,dram,rnd_prefetch,150,4646,105302272
1,dram,pgn_prefetch,150,4719,111476090
1,pmem,seq,150,4665,107213918
1,pmem,rnd,150,1780,105528813
1,pmem,pgn,150,1810,111794802
1,pmem,seq_prefetch,150,4687,107239837
1,pmem,rnd_prefetch,150,3380,105617665
1,pmem,pgn_prefetch,150,3510,111786340
1,dram,seq,200,3630,106956739
1,dram,rnd,200,3097,105312258
1,dram,pgn,200,3201,111459222
1,dram,seq_prefetch,200,3624,106930038
1,dram,rnd_prefetch,200,3596,105267399
1,dram,pgn_prefetch,200,3642,111473379
1,pmem,seq,200,3616,107213145
1,pmem,rnd,200,1593,105787522
1,pmem,pgn,200,1624,111880890
1,pmem,seq_prefetch,200,3613,107187429
1,pmem,rnd_prefetch,200,3043,105661780
1,pmem,pgn_prefetch,200,3140,111856812
1,dram,seq,250,2945,106946737
1,dram,rnd,250,2576,105290711
1,dram,pgn,250,2656,111473260
1,dram,seq_prefetch,250,2945,106951214
1,dram,rnd_prefetch,250,2931,105274779
1,dram,pgn_prefetch,250,2957,111477415
1,pmem,seq,250,2933,107254271
1,pmem,rnd,250,1446,105615790
1,pmem,pgn,250,1472,111839936
1,pmem,seq_prefetch,250,2942,107246411
1,pmem,rnd_prefetch,250,2756,105657389
1,pmem,pgn_prefetch,250,2837,111827999
1,dram,seq,300,2478,106943460
1,dram,rnd,300,2204,105288876
1,dram,pgn,300,2267,111500846
1,dram,seq_prefetch,300,2472,106972265
1,dram,rnd_prefetch,300,2469,105319605
1,dram,pgn_prefetch,300,2485,111509393
1,pmem,seq,300,2473,107314704
1,pmem,rnd,300,1328,105618331
1,pmem,pgn,300,1347,111789460
1,pmem,seq_prefetch,300,2472,107251051
1,pmem,rnd_prefetch,300,2444,105716962
1,pmem,pgn_prefetch,300,2476,111880811
1,dram,seq,350,2133,106928442
1,dram,rnd,350,1935,105306429
1,dram,pgn,350,1978,111500430
1,dram,seq_prefetch,350,2135,106958876
1,dram,rnd_prefetch,350,2130,105304004
1,dram,pgn_prefetch,350,2144,111484480
1,pmem,seq,350,2131,107354484
1,pmem,rnd,350,1222,105682941
1,pmem,pgn,350,1238,111823117
1,pmem,seq_prefetch,350,2136,107306725
1,pmem,rnd_prefetch,350,2121,105764967
1,pmem,pgn_prefetch,350,2144,111894501
1,dram,seq,400,1879,106990443
1,dram,rnd,400,1718,105374796
1,dram,pgn,400,1752,111492036
1,dram,seq_prefetch,400,1878,106928106
1,dram,rnd_prefetch,400,1874,105318805
1,dram,pgn_prefetch,400,1883,111506096
1,pmem,seq,400,1877,107346413
1,pmem,rnd,400,1135,105694647
1,pmem,pgn,400,1147,111869160
1,pmem,seq_prefetch,400,1877,107371712
1,pmem,rnd_prefetch,400,1872,105525183
1,pmem,pgn_prefetch,400,1861,111692071
1,dram,seq,450,1673,106952824
1,dram,rnd,450,1552,105370307
1,dram,pgn,450,1574,111547679
1,dram,seq_prefetch,450,1675,106959969
1,dram,rnd_prefetch,450,1673,105433246
1,dram,pgn_prefetch,450,1680,111514998
1,pmem,seq,450,1673,107409127
1,pmem,rnd,450,1054,106023897
1,pmem,pgn,450,1068,111929403
1,pmem,seq_prefetch,450,1675,107364449
1,pmem,rnd_prefetch,450,1672,105571619
1,pmem,pgn_prefetch,450,1663,111785915
1,dram,seq,500,1513,106970222
1,dram,rnd,500,1410,105385154
1,dram,pgn,500,1430,111615070
1,dram,seq_prefetch,500,1512,106978347
1,dram,rnd_prefetch,500,1510,105527340
1,dram,pgn_prefetch,500,1519,111671812
1,pmem,seq,500,1512,107437655
1,pmem,rnd,500,989,105815318
1,pmem,pgn,500,999,111932776
1,pmem,seq_prefetch,500,1513,107463386
1,pmem,rnd_prefetch,500,1510,105717322
1,pmem,pgn_prefetch,500,1502,111769132
2,dram,seq,0,89686,106983501
2,dram,rnd,0,25138,105210798
2,dram,pgn,0,34662,111377204
2,dram,seq_prefetch,0,96993,106944912
2,dram,rnd_prefetch,0,24993,105357296
2,dram,pgn_prefetch,0,34518,111638950
2,pmem,seq,0,47755,107038060
2,pmem,rnd,0,7115,105304065
2,pmem,pgn,0,9674,111475887
2,pmem,seq_prefetch,0,47415,107048699
2,pmem,rnd_prefetch,0,7114,105761975
2,pmem,pgn_prefetch,0,9584,111807271
2,dram,seq,50,16236,106959486
2,dram,rnd,50,8867,105233152
2,dram,pgn,50,9631,111438137
2,dram,seq_prefetch,50,16165,106963084
2,dram,rnd_prefetch,50,13708,105423520
2,dram,pgn_prefetch,50,15595,111628896
2,pmem,seq,50,16118,107054039
2,pmem,rnd,50,2406,105500233
2,pmem,pgn,50,2458,111676336
2,pmem,seq_prefetch,50,16069,107116321
2,pmem,rnd_prefetch,50,4513,105591570
2,pmem,pgn_prefetch,50,4712,111773124
2,dram,seq,100,6764,106947897
2,dram,rnd,100,5087,105262260
2,dram,pgn,100,5402,111441213
2,dram,seq_prefetch,100,6782,106923535
2,dram,rnd_prefetch,100,6540,105501361
2,dram,pgn_prefetch,100,6780,111663908
2,pmem,seq,100,6670,107137745
2,pmem,rnd,100,2015,105504226
2,pmem,pgn,100,2059,111681089
2,pmem,seq_prefetch,100,6693,107163683
2,pmem,rnd_prefetch,100,3795,105650592
2,pmem,pgn_prefetch,100,3973,111782803
2,dram,seq,150,4707,106945435
2,dram,rnd,150,3840,105285152
2,dram,pgn,150,4013,111453059
2,dram,seq_prefetch,150,4723,106921576
2,dram,rnd_prefetch,150,4645,105293208
2,dram,pgn_prefetch,150,4723,111478452
2,pmem,seq,150,4652,107219051
2,pmem,rnd,150,1780,105559685
2,pmem,pgn,150,1812,111699646
2,pmem,seq_prefetch,150,4700,107193849
2,pmem,rnd_prefetch,150,3379,105668652
2,pmem,pgn_prefetch,150,3507,111759841
2,dram,seq,200,3632,106921806
2,dram,rnd,200,3082,105278150
2,dram,pgn,200,3196,111617845
2,dram,seq_prefetch,200,3625,106926347
2,dram,rnd_prefetch,200,3597,105274605
2,dram,pgn_prefetch,200,3641,111460047
2,pmem,seq,200,3612,107228209
2,pmem,rnd,200,1597,105615488
