exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.000960238,,487,9696,46,25,
membench_data_init,1,dram,,,,0.819464204,,2233041,51188384,212425,99765,0
membench_pregen_init,1,dram,,,,0.867502085,,1992553,53014622,236727,233993,0
membench_base,1,pmem,,,,0.000676662,,558,9752,39,34,
membench_data_init,1,pmem,,,,1.864410275,,1908636,51266292,224100,3687,0
membench_pregen_init,1,pmem,,,,1.951246509,,2322935,52922564,190388,3160,0
membench,1,dram,seq,0,51785.109375,4.291345032,0.000015,102221629,152951066,226404,231308,0
membench,1,dram,pgn,0,,1.979393214,,12736289,63746983,10156255,10146230,0
membench,1,dram,rnd,0,10279.174805,12.066867401,0.000015,100556716,153818953,98372662,98385796,0
membench,1,dram,seq_prefetch,0,51302.863281,4.290977623,0.000015,102728888,152952615,245961,241099,0
membench,1,dram,pgn_prefetch,0,,1.496346617,,12795368,63599410,252201,111315,0
membench,1,dram,rnd_prefetch,0,19927.773438,7.360303570,0.000015,100352711,153737146,228667,119401,0
membench,1,pmem,seq,0,24415.601562,7.532506977,0.000015,102214448,153412267,159752,5129,0
membench,1,pmem,pgn,0,,7.112746532,,12721642,63847501,10078336,4660,0
membench,1,pmem,rnd,0,1980.579834,53.896462456,0.000015,100587593,155818136,96802464,5910,0
membench,1,pmem,seq_prefetch,0,25636.792969,7.331600914,0.000015,102331905,153141481,239914,7595,0
membench,1,pmem,pgn_prefetch,0,,5.009092925,,12491918,63895400,232096,2970,0
membench,1,pmem,rnd_prefetch,0,3422.820557,32.636876306,0.000015,100398531,155122775,248530,9166,0
membench,1,dram,seq,2500,51499.910156,68.881806492,0.000661,102535313,156350254,327467,235643,0
membench,1,dram,pgn,2500,,8.431826776,,12754091,63571543,10186931,10174293,0
membench,1,dram,rnd,2500,10289.517578,76.672256978,0.000661,100808028,156483646,97047140,96942934,0
membench,1,dram,seq_prefetch,2500,51315.679688,68.856216672,0.000660,103024227,156208507,202051,247021,0
membench,1,dram,pgn_prefetch,2500,,7.670080221,,12802425,63686416,254395,242201,0
membench,1,dram,rnd_prefetch,2500,45257.691406,69.466750002,0.000664,100355193,156779616,317559,229743,0
membench,1,pmem,seq,2500,51538.234375,69.944888930,0.000661,102104932,156429893,241521,5518,0
membench,1,pmem,pgn,2500,,13.348831321,,12729575,63892335,10166281,3985,0
membench,1,pmem,rnd,2500,2096.727051,115.687700828,0.000661,100326443,158507925,98493312,6801,0
membench,1,pmem,seq_prefetch,2500,51121.921875,69.936771037,0.000660,102690948,156240621,167746,7248,0
membench,1,pmem,pgn_prefetch,2500,,8.939749748,,12777305,64116817,235397,3223,0
membench,1,pmem,rnd_prefetch,2500,24655.082031,72.054074271,0.000661,100404286,156878861,125661,8525,0
membench,1,dram,seq,5000,51422.765625,133.463511843,0.001306,102625211,159513221,404450,243259,0
membench,1,dram,pgn,5000,,14.907455274,,12807855,64404090,10193640,10141481,0
membench,1,dram,rnd,5000,10211.787109,141.354373822,0.001307,101287142,159914659,98666321,98399997,0
membench,1,dram,seq_prefetch,5000,51542.488281,133.466130990,0.001307,103452700,159273271,437381,250397,0
membench,1,dram,pgn_prefetch,5000,,14.137191993,,12866856,64448128,133535,251982,0
membench,1,dram,rnd_prefetch,5000,46165.238281,133.730072566,0.001307,101098459,160048206,309890,253991,0
membench,1,pmem,seq,5000,51466.695312,134.541365815,0.001307,102285939,159342730,249563,6588,0
membench,1,pmem,pgn,5000,,19.698171508,,12732209,64621295,10170636,4172,0
membench,1,pmem,rnd,5000,2146.465088,179.208847971,0.001307,100732619,161358093,98531003,6650,0
membench,1,pmem,seq_prefetch,5000,51476.738281,134.544688267,0.001307,102646004,159313503,238640,7571,0
membench,1,pmem,pgn_prefetch,5000,,15.207098041,,12492857,64318504,252605,4248,0
membench,1,pmem,rnd_prefetch,5000,45928.441406,134.798083223,0.001307,100488477,159434240,176185,9114,0
membench,1,dram,seq,10000,51588.699219,262.996688013,0.002602,103554117,165382119,583264,256633,0
membench,1,dram,pgn,10000,,27.849169269,,12882918,65125548,10183795,10146326,0
membench,1,dram,rnd,10000,10284.953125,270.804890405,0.002602,101859503,166044247,97863135,97570822,0
membench,1,dram,seq_prefetch,10000,51559.335938,262.959415762,0.002602,104206005,165670067,506721,235823,0
membench,1,dram,pgn_prefetch,10000,,27.083665833,,12901065,64582163,266526,229065,0
membench,1,dram,rnd_prefetch,10000,46312.246094,263.223347893,0.002602,101710624,165892781,481560,248665,0
membench,1,pmem,seq,10000,51393.218750,264.038932099,0.002602,102254499,165006274,256211,8196,0
membench,1,pmem,pgn,10000,,32.642694263,,12776196,65293798,9998019,3218,0
membench,1,pmem,rnd,10000,2149.939941,308.649782643,0.002602,100748330,167089516,97656422,8887,0
membench,1,pmem,seq_prefetch,10000,51544.902344,264.023384145,0.002601,102949105,165190335,237101,8681,0
membench,1,pmem,pgn_prefetch,10000,,28.166821207,,12447195,64994682,242504,4056,0
membench,1,pmem,rnd_prefetch,10000,45867.855469,264.283785885,0.002602,100470003,165313221,269379,9796,0
membench,1,dram,seq,50000,36210.300781,1293.839229801,0.012902,109400589,190141747,2039327,208273,0
membench,1,dram,pgn,50000,,130.898929173,,13445787,67730313,460710,358213,0
membench,1,dram,rnd,50000,10113.766602,1301.016117358,0.012903,107058864,192150662,3173559,1538063,0
membench,1,dram,seq_prefetch,50000,38744.476562,1293.595158256,0.012901,304174195,189286368,2060881,319261,0
membench,1,dram,pgn_prefetch,50000,,130.173417678,,13404945,67731714,426313,242996,0
membench,1,dram,rnd_prefetch,50000,29175.937500,1294.517083897,0.012902,106524152,191527954,2092340,178789,0
membench,1,pmem,seq,50000,36605.777344,1294.702680324,0.012900,102566031,189801076,296462,19785,0
membench,1,pmem,pgn,50000,,135.647901324,,12801275,67502430,884333,7153,0
membench,1,pmem,rnd,50000,2141.500488,1338.648452572,0.012900,101131510,191647831,5003209,21689,0
membench,1,pmem,seq_prefetch,50000,38493.265625,1294.571187015,0.012900,284827578,190600967,319405,17138,0
membench,1,pmem,pgn_prefetch,50000,,131.227869270,,12505978,67735026,249096,5943,0
membench,1,pmem,rnd_prefetch,50000,28869.310547,1295.437624877,0.012900,101012430,190886730,361387,23669,0
