exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses
membench_base,1,dram,,,,0.000547495,,443,9869
membench_data_init,1,dram,,,,0.963646853,,2164293,51164996
membench_pregen_init,1,dram,,,,1.569789611,,2989448,70209490
membench_base,1,pmem,,,,0.000554221,,567,9653
membench_data_init,1,pmem,,,,1.992636007,,2169833,51205045
membench_pregen_init,1,pmem,,,,2.982717429,,2968226,70266353
membench,1,dram,seq,0,42045.953125,1.941187882,0.000016,12980468,80229796
membench,1,dram,pgn,0,9923.459961,2.707391381,0.000016,13568786,80897399
membench,1,dram,rnd,0,9583.354492,2.743472511,0.000016,12955798,80273064
membench,1,dram,seq_prefetch,0,38849.886719,1.954721764,0.000016,13043013,80219033
membench,1,dram,pgn_prefetch,0,20555.492188,2.191134506,0.000016,13424742,80884874
membench,1,dram,rnd_prefetch,0,17938.957031,2.262240204,0.000016,12799166,80261171
membench,1,pmem,seq,0,21443.535156,3.586623210,0.000016,12986130,80232621
membench,1,pmem,pgn,0,1974.707153,8.189424870,0.000016,13564185,81119317
membench,1,pmem,rnd,0,1965.622559,8.201564073,0.000016,12920974,80425407
membench,1,pmem,seq_prefetch,0,23783.814453,3.548693003,0.000016,13015606,80233745
membench,1,pmem,pgn_prefetch,0,3603.301270,5.899113390,0.000016,13433244,80979722
membench,1,pmem,rnd_prefetch,0,3531.411377,5.947512578,0.000016,12796985,80352132
membench,1,dram,seq,500,42900.593750,3.238050546,0.000146,13033604,80292305
membench,1,dram,pgn,500,9906.334961,4.016116867,0.000146,13580802,80887821
membench,1,dram,rnd,500,9549.027344,4.052505189,0.000146,12970135,80320880
membench,1,dram,seq_prefetch,500,39854.769531,3.259746908,0.000146,13035022,80280076
membench,1,dram,pgn_prefetch,500,38633.308594,3.266420290,0.000146,13475346,80937708
membench,1,dram,rnd_prefetch,500,27962.720703,3.368218604,0.000146,12805035,80311003
membench,1,pmem,seq,500,40766.738281,4.668534749,0.000146,12986264,80335774
membench,1,pmem,pgn,500,1971.822144,9.502440915,0.000146,13550334,81167179
membench,1,pmem,rnd,500,1958.973267,9.528672730,0.000147,12930509,80472291
membench,1,pmem,seq_prefetch,500,29026.144531,4.776086412,0.000146,13149070,80343631
membench,1,pmem,pgn_prefetch,500,4743.346680,6.534833698,0.000146,13436742,81063819
membench,1,pmem,rnd_prefetch,500,4628.663574,6.587857806,0.000147,12796514,80437689
membench,1,dram,seq,1000,43063.171875,4.527068717,0.000275,13009043,80283750
membench,1,dram,pgn,1000,9851.342773,5.308000279,0.000275,13597659,81004606
membench,1,dram,rnd,1000,9517.047852,5.347127162,0.000275,12961860,80381346
membench,1,dram,seq_prefetch,1000,39971.859375,4.546057354,0.000275,13205338,80341884
membench,1,dram,pgn_prefetch,1000,43661.257812,4.518517984,0.000275,13452483,80990641
membench,1,dram,rnd_prefetch,1000,30530.714844,4.620945044,0.000275,12837621,80361673
membench,1,pmem,seq,1000,42372.164062,5.945215770,0.000275,12994626,80387382
membench,1,pmem,pgn,1000,2000.136353,10.717715630,0.000275,13561205,81211036
membench,1,pmem,rnd,1000,1986.966797,10.743701478,0.000275,12925126,80526954
membench,1,pmem,seq_prefetch,1000,36673.023438,5.987849279,0.000275,13031563,80385628
membench,1,pmem,pgn_prefetch,1000,7119.353516,7.118753928,0.000275,13434636,81090187
membench,1,pmem,rnd_prefetch,1000,6835.854004,7.171929453,0.000275,12798850,80454925
membench,1,dram,seq,1500,43079.679688,5.811836588,0.000403,13022394,80330240
membench,1,dram,pgn,1500,9903.618164,6.589891277,0.000404,13584268,81014531
membench,1,dram,rnd,1500,9531.271484,6.633148142,0.000404,12971076,80432641
membench,1,dram,seq_prefetch,1500,39892.769531,5.831486226,0.000404,13185032,80383132
membench,1,dram,pgn_prefetch,1500,46598.753906,5.791850543,0.000403,13464768,81057069
membench,1,dram,rnd_prefetch,1500,31675.841797,5.899299059,0.000404,12817381,80425290
membench,1,pmem,seq,1500,36518.074219,7.272594213,0.000403,12996328,80451939
membench,1,pmem,pgn,1500,2031.287231,11.928382362,0.000404,13564030,81263509
membench,1,pmem,rnd,1500,2016.538330,11.953218867,0.000404,12933383,80570035
membench,1,pmem,seq_prefetch,1500,39458.160156,7.254089884,0.000404,13036830,80444646
membench,1,pmem,pgn_prefetch,1500,13017.460938,7.769451250,0.000404,13435516,81057816
membench,1,pmem,rnd_prefetch,1500,12052.157227,7.825052602,0.000404,12788525,80490565
membench,1,dram,seq,2000,42934.488281,7.100062767,0.000532,13051714,80443575
membench,1,dram,pgn,2000,9836.072266,7.881479359,0.000532,13604412,81118843
membench,1,dram,rnd,2000,9509.472656,7.920974961,0.000532,12989388,80484231
membench,1,dram,seq_prefetch,2000,40017.929688,7.118436030,0.000532,13076997,80448038
membench,1,dram,pgn_prefetch,2000,46557.753906,7.080643375,0.000532,13489361,81102969
membench,1,dram,rnd_prefetch,2000,31678.150391,7.181458467,0.000532,12829133,80472700
membench,1,pmem,seq,2000,42928.585938,8.521520989,0.000532,12993333,80488855
membench,1,pmem,pgn,2000,2045.985107,13.175739953,0.000532,13563870,81317826
membench,1,pmem,rnd,2000,2036.461182,13.201285848,0.000533,12927393,80683906
membench,1,pmem,seq_prefetch,2000,39719.894531,8.544431235,0.000532,13033829,80502913
membench,1,pmem,pgn_prefetch,2000,21084.636719,8.760560154,0.000532,13432853,81159663
membench,1,pmem,rnd_prefetch,2000,17623.630859,8.848820683,0.000532,12800162,80465384
membench,1,dram,seq,2500,43011.679688,8.384087474,0.000661,13043421,80506144
