exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.001532630,,621,9465,54,32,
membench_data_init,1,dram,,,,0.000881174,,375,9700,35,22,
membench_pregen_init,1,dram,,,,0.000834762,,356,10064,30,13,
membench_base,1,pmem,,,,0.000961170,,530,9851,43,24,
membench_data_init,1,pmem,,,,0.000643901,,355,10056,20,6,
membench_pregen_init,1,pmem,,,,0.001110478,,332,9919,14,4,
membench_base,2,dram,,,,0.001066738,,582,9619,58,40,
membench_data_init,2,dram,,,,0.001440953,,352,9963,24,11,
membench_pregen_init,2,dram,,,,0.000619611,,396,9642,27,16,
membench_base,2,pmem,,,,0.001068895,,556,9762,51,33,
membench_data_init,2,pmem,,,,0.000630593,,317,9879,25,9,
membench_pregen_init,2,pmem,,,,0.000623289,,303,9772,18,7,
membench_base,3,dram,,,,0.001300259,,621,9541,60,40,
membench_data_init,3,dram,,,,0.000661826,,338,9882,25,9,
membench_pregen_init,3,dram,,,,0.000595397,,366,9684,26,12,
membench_base,3,pmem,,,,0.000644234,,456,10211,40,23,
membench_data_init,3,pmem,,,,0.000614282,,326,10352,22,8,
membench_pregen_init,3,pmem,,,,0.000914205,,310,10155,19,6,
membench_base,4,dram,,,,0.001285772,,535,9502,50,30,
membench_data_init,4,dram,,,,0.001349463,,477,9673,27,10,0
membench_pregen_init,4,dram,,,,0.000601803,,377,9506,24,11,
membench_base,4,pmem,,,,0.000708476,,1009,9588,128,52,
membench_data_init,4,pmem,,,,0.000608959,,268,10093,20,7,
membench_pregen_init,4,pmem,,,,0.001313963,,351,9513,19,7,
membench_base,5,dram,,,,0.000658766,,574,9647,54,38,
membench_data_init,5,dram,,,,0.000955186,,365,9517,33,17,
membench_pregen_init,5,dram,,,,0.000594579,,430,9374,23,10,
membench_base,5,pmem,,,,0.001465824,,548,9946,45,29,
membench_data_init,5,pmem,,,,0.000599388,,291,9758,25,9,
membench_pregen_init,5,pmem,,,,0.001386987,,318,9591,23,8,
