exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.001262655,,598,9405,38,8,
membench_data_init,1,dram,,,,0.820310373,,2237061,51216723,230439,137704,0
membench_pregen_init,1,dram,,,,1.327502134,,2616973,70047512,316850,314938,0
membench_base,1,pmem,,,,0.000673790,,705,9765,50,11,
membench_data_init,1,pmem,,,,1.819644977,,2252934,51217978,230682,1821,0
membench_pregen_init,1,pmem,,,,2.702455706,,2973090,70437129,306236,4219,0
membench_base,2,dram,,,,0.000657967,,520,9859,29,12,
membench_data_init,2,dram,,,,0.820188035,,2243644,51202531,221563,105858,0
membench_pregen_init,2,dram,,,,1.327687847,,2945533,69978668,312705,312268,0
membench_base,2,pmem,,,,0.000716137,,522,9645,30,15,
membench_data_init,2,pmem,,,,1.820841609,,2268455,51246658,224863,1902,0
membench_pregen_init,2,pmem,,,,2.705886058,,2740135,70026033,299521,4181,0
membench_base,3,dram,,,,0.000733617,,719,10467,54,30,
membench_data_init,3,dram,,,,0.818076374,,2242802,51200875,213318,140304,0
membench_pregen_init,3,dram,,,,1.325928745,,2659756,70194366,296331,294433,0
membench_base,3,pmem,,,,0.000659509,,532,9585,30,13,
membench_data_init,3,pmem,,,,1.819807466,,2249358,51322123,219084,2195,0
membench_pregen_init,3,pmem,,,,2.700384456,,3082810,70356811,305164,3211,0
membench_base,4,dram,,,,0.000668130,,682,9444,46,14,
membench_data_init,4,dram,,,,0.818903874,,2242715,51214642,231394,114313,0
membench_pregen_init,4,dram,,,,1.326699826,,2607846,70222752,299397,297285,0
membench_base,4,pmem,,,,0.000673022,,520,9871,35,15,
membench_data_init,4,pmem,,,,1.818282163,,2273097,51222305,220356,7834,0
membench_pregen_init,4,pmem,,,,2.703936868,,2849372,70447132,305713,4925,0
membench_base,5,dram,,,,0.000944605,,624,9432,46,17,
membench_data_init,5,dram,,,,0.826952426,,1912806,51175272,220825,219370,0
membench_pregen_init,5,dram,,,,1.326716272,,2610083,70241366,294661,293698,0
membench_base,5,pmem,,,,0.000690004,,537,9620,37,10,
membench_data_init,5,pmem,,,,1.819985850,,2254256,51366114,238867,2447,0
membench_pregen_init,5,pmem,,,,2.702103642,,3077514,70265932,304171,3578,0
