exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.001179112,,739,9588,50,11,
membench_data_init,1,dram,,,,0.406911628,,1914760,51115646,224007,223387,0
membench_pregen_init,1,dram,,,,0.557208945,,3085740,70114383,197530,241832,0
membench_base,1,pmem,,,,0.001449980,,511,10105,31,12,
membench_data_init,1,pmem,,,,1.502331971,,2207728,51199312,215712,4016,0
membench_pregen_init,1,pmem,,,,2.062137191,,3072061,70391008,317213,3793,0
membench_base,2,dram,,,,0.001457728,,663,9984,35,15,
membench_data_init,2,dram,,,,0.405744340,,1965241,51122396,220309,219333,0
membench_pregen_init,2,dram,,,,0.557779478,,3081301,70056600,297143,141206,0
membench_base,2,pmem,,,,0.000708205,,551,10061,33,14,
membench_data_init,2,pmem,,,,1.503027469,,2245668,51205217,230031,3523,0
membench_pregen_init,2,pmem,,,,2.065751601,,2723574,70282346,310824,4963,0
membench_base,3,dram,,,,0.001371379,,602,9736,34,13,
membench_data_init,3,dram,,,,0.406712717,,1910909,51107292,220226,218508,0
membench_pregen_init,3,dram,,,,0.557918931,,3084504,70110824,305911,139756,0
membench_base,3,pmem,,,,0.000644049,,505,9920,28,10,
membench_data_init,3,pmem,,,,1.502547561,,2244983,51063071,236950,3698,0
membench_pregen_init,3,pmem,,,,2.067293044,,2680279,70322572,310196,4909,0
membench_base,4,dram,,,,0.000664557,,528,9772,30,15,
membench_data_init,4,dram,,,,0.405821815,,1914227,51134366,218136,216224,0
membench_pregen_init,4,dram,,,,0.556885727,,3076378,70120673,184584,252127,0
membench_base,4,pmem,,,,0.000646192,,536,9627,30,12,
membench_data_init,4,pmem,,,,1.502945127,,2244055,51331889,224032,3605,0
membench_pregen_init,4,pmem,,,,2.063752961,,3080884,70243234,300029,5156,0
membench_base,5,dram,,,,0.000658410,,599,9741,41,20,
membench_data_init,5,dram,,,,0.406268131,,2188786,51027230,240038,238293,0
membench_pregen_init,5,dram,,,,0.557180590,,3079110,70137332,222238,230673,0
membench_base,5,pmem,,,,0.001416028,,501,9762,33,10,
membench_data_init,5,pmem,,,,1.501921152,,2086598,51341692,231189,3027,0
membench_pregen_init,5,pmem,,,,2.069951963,,2955761,69876027,303424,5084,0
