exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses,L1-dcache-loads,mem_load_retired.l1_miss,dTLB-load-misses,dTLB-store-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d.replacement,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,context-switches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.000790905,,479,9435,133831,3901,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,1,dram,,,,0.001368671,,341,9645,136040,4029,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,1,dram,,,,0.001378120,,379,9593,136630,3971,0,,,,,,,,,,,,,,,,,,,,,
membench_base,1,pmem,,,,0.000687707,,632,10406,138079,4231,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,1,pmem,,,,0.000646290,,392,9760,136033,4090,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,1,pmem,,,,0.000761232,,709,10088,136355,4238,0,,,,,,,,,,,,,,,,,,,,,
membench_base,2,dram,,,,0.001205671,,589,10705,156069,4547,1,,,,,,,,,,,,,,,,,,,,,
membench_data_init,2,dram,,,,0.000665828,,391,9804,137565,4014,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,2,dram,,,,0.000657804,,527,9630,135678,3980,169,0,,,,,,,,,,,,,,,,,,,,
membench_base,2,pmem,,,,0.000641128,,630,9992,135911,4140,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,2,pmem,,,,0.000684604,,460,11009,156087,4788,1,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,2,pmem,,,,0.000636091,,369,9842,136924,4136,0,,,,,,,,,,,,,,,,,,,,,
membench_base,3,dram,,,,0.000676439,,526,9882,137751,4093,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,3,dram,,,,0.000679854,,383,9626,137470,3975,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,3,dram,,,,0.000632047,,377,9839,136394,4076,0,,,,,,,,,,,,,,,,,,,,,
membench_base,3,pmem,,,,0.000673002,,588,10212,137716,4277,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,3,pmem,,,,0.000635239,,343,9890,136258,4118,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,3,pmem,,,,0.000645330,,456,10508,142499,4463,0,,,,,,,,,,,,,,,,,,,,,
membench_base,4,dram,,,,0.001040869,,535,9872,139200,4009,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,4,dram,,,,0.000638583,,1046,9768,137380,4033,175,0,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,4,dram,,,,0.000637835,,362,9887,136326,3935,0,,,,,,,,,,,,,,,,,,,,,
membench_base,4,pmem,,,,0.000695337,,705,10354,138708,4289,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,4,pmem,,,,0.000635042,,402,9798,135536,4105,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,4,pmem,,,,0.000629452,,322,10084,139219,4238,0,,,,,,,,,,,,,,,,,,,,,
membench_base,5,dram,,,,0.000997733,,534,9699,138407,3968,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,5,dram,,,,0.000660459,,405,9747,138860,4009,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,5,dram,,,,0.000651078,,387,9820,135192,3943,0,,,,,,,,,,,,,,,,,,,,,
membench_base,5,pmem,,,,0.000591521,,519,9962,138806,4132,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,5,pmem,,,,0.000643466,,329,10164,137791,4204,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,5,pmem,,,,0.000634692,,371,10063,136312,4242,0,,,,,,,,,,,,,,,,,,,,,
