exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.000627373,,354,9597,26,15,
membench_data_init,1,dram,,,,0.960682266,,2248052,51199868,211650,165602,0
membench_pregen_init,1,dram,,,,1.570489926,,3102654,70120284,217104,298446,0
membench_base,1,pmem,,,,0.000730999,,497,10324,45,30,
membench_data_init,1,pmem,,,,1.998614365,,2251050,51278144,226607,2844,0
membench_pregen_init,1,pmem,,,,2.998702603,,3098058,70303082,322581,4565,0
membench_base,2,dram,,,,0.001042223,,524,9978,32,23,0
membench_data_init,2,dram,,,,0.961854766,,2202973,51217581,223144,219959,0
membench_pregen_init,2,dram,,,,1.571182965,,3108277,70289909,186003,296976,0
membench_base,2,pmem,,,,0.000710838,,483,10013,38,32,
membench_data_init,2,pmem,,,,1.998036564,,2251801,51331357,227919,2775,0
membench_pregen_init,2,pmem,,,,2.993820553,,3091809,70089917,226761,5296,0
membench_base,3,dram,,,,0.000653126,,515,9353,30,23,
membench_data_init,3,dram,,,,0.961221084,,2250373,51261502,217844,153834,0
membench_pregen_init,3,dram,,,,1.569325334,,3099384,69893162,304865,302115,0
membench_base,3,pmem,,,,0.000654060,,513,9625,35,25,
membench_data_init,3,pmem,,,,1.997893522,,2251695,51312709,220247,2486,0
membench_pregen_init,3,pmem,,,,2.996025553,,3091082,70401296,148875,5233,0
membench_base,4,dram,,,,0.000651067,,582,9721,40,23,
membench_data_init,4,dram,,,,0.960691350,,2248588,51168901,223756,189823,0
membench_pregen_init,4,dram,,,,1.569197719,,2977875,69946645,311769,308457,0
membench_base,4,pmem,,,,0.000672120,,458,9888,38,30,
membench_data_init,4,pmem,,,,1.997589391,,2250731,51330190,198690,3512,0
membench_pregen_init,4,pmem,,,,2.995894262,,3097177,70373155,256354,4636,0
membench_base,5,dram,,,,0.000693041,,553,9819,37,28,
membench_data_init,5,dram,,,,0.960415496,,2248932,51218510,216656,213554,0
membench_pregen_init,5,dram,,,,1.570525791,,3080265,69870916,299799,295980,0
membench_base,5,pmem,,,,0.000719428,,591,10030,35,29,
membench_data_init,5,pmem,,,,1.997742943,,2257068,51338958,188727,3421,0
membench_pregen_init,5,pmem,,,,2.996194248,,3092233,70337448,291389,4680,0
