exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses,L1-dcache-loads,mem_load_retired.l1_miss,dTLB-load-misses,dTLB-store-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d.replacement,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,context-switches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.000911971,,438,9631,138111,3874,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,1,dram,,,,139.460430932,,2967049,56578549,590471097,4132127,6117,147980,456882,641922,1604200,2314336,57592895,240754771,119501602,111973912,0,2949,6800,0,135171433,537596381455,1285,541895355588,2150626916803,253166,107344,0
membench_pregen_init,1,dram,,,,243.428393867,,4500955,78700932,925899506,5817885,10734,257321,739088,1780780,2292973,3287207,78013671,390786596,197427377,155731790,0,4619,1287,0,235710481,938034513906,2236,945834811425,3752612869698,398087,154419,0
membench_base,1,pmem,,,,0.000765721,,634,9657,137368,3973,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,1,pmem,,,,140.448365557,,2261668,56797035,588209013,4031545,10252,145356,202221,325737,27275,1780923,56151040,422733982,119746220,644341213,0,1763,12,0,135153761,537612204347,292,545925575604,2150423221702,168525,55245,0
membench_pregen_init,1,pmem,,,,244.786157008,,4934100,77988145,921663104,6603214,11011,252353,347964,448743,45444,2530896,77903758,192726863,87756357,893795061,0,3262,12,0,235701481,937856593346,688,951486333217,3752802298993,803667,11546,0
membench_base,2,dram,,,,0.000777094,,547,9372,136244,3855,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,2,dram,,,,139.452217069,,2893895,56199506,587499229,3776275,10939,146151,423732,571335,1620224,2193502,57054520,237892446,115595670,111479949,0,2325,5101,0,135071192,537507958178,1094,541805789797,2150257798258,247424,113873,0
membench_pregen_init,2,dram,,,,243.425427003,,4463381,79711842,926518608,5815052,10671,261453,1376811,1839488,2304518,3222880,77520852,390298747,190603295,153070689,0,9713,11057,0,236035176,938063709439,2234,945882560181,3752787666004,410581,146473,0
membench_base,2,pmem,,,,0.000717076,,576,9728,139696,4014,0,,,,,,,,,,,,,,,,,,,,,
