run,node_type,access_type,throughput,cache_misses
1,dram,seq,56064,121816
1,dram,rnd,6405,183033981
1,dram,pgn,6236,185305599
1,dram,seq_prefetch,31827,370
1,dram,rnd_prefetch,11105,2603
1,dram,pgn_prefetch,10933,76261
1,pmem,seq,55622,306
1,pmem,rnd,2242,7600
1,pmem,pgn,2280,7303
1,pmem,seq_prefetch,31469,289
1,pmem,rnd_prefetch,3968,5659
1,pmem,pgn_prefetch,4604,4350
2,dram,seq,56228,120414
2,dram,rnd,6199,183060662
2,dram,pgn,6237,185225230
2,dram,seq_prefetch,31857,339
2,dram,rnd_prefetch,11400,3191
2,dram,pgn_prefetch,11201,95229
2,pmem,seq,55622,274
2,pmem,rnd,2355,6656
2,pmem,pgn,2329,7258
2,pmem,seq_prefetch,31558,388
2,pmem,rnd_prefetch,4647,3908
2,pmem,pgn_prefetch,4621,4422
3,dram,seq,56017,122632
3,dram,rnd,6401,182803589
3,dram,pgn,6238,185174462
3,dram,seq_prefetch,31857,348
3,dram,rnd_prefetch,11402,2258
3,dram,pgn_prefetch,10924,86738
3,pmem,seq,55622,266
3,pmem,rnd,2355,7289
3,pmem,pgn,2338,6791
3,pmem,seq_prefetch,31521,320
3,pmem,rnd_prefetch,4664,4847
3,pmem,pgn_prefetch,4622,4475
