exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses,L1-dcache-loads,mem_load_retired.l1_miss,dTLB-load-misses,dTLB-store-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d.replacement,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,context-switches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.001328846,,659,9720,135552,3925,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,1,dram,,,,0.815840188,,1925839,51003044,409811581,1272029,1352,21193,725449,327811,1543094,2126546,50939770,47417111,13562560,107793110,0,1025,0,0,14214,545225197,3,3149846535,4748117208,100886,100441,0
membench_pregen_init,1,dram,,,,1.321952338,,2636228,70072892,711703001,438296,896,28011,1018484,1171467,2075313,2902856,70451161,68120823,20254344,148133100,0,1403,0,0,21724,947330861,3,5097816908,8197515506,141172,140578,0
membench_base,1,pmem,,,,0.000654058,,517,9909,135867,3995,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,1,pmem,,,,0.977800128,,1933188,50641322,412328224,326191,568,3554,105465,208427,8757,2138667,50800478,61324045,16083284,110716824,0,1020,0,0,17216,548907343,1,3791732692,4727087316,610081,579556,0
membench_pregen_init,1,pmem,,,,1.551849020,,2659008,68990607,720738152,429513,1018,5386,141353,291403,14298,2985263,70115349,73105463,54927665,146155528,0,2175,848,0,25336,932495254,2,6025618561,8103812013,134113,113378,77
membench,1,dram,seq,0,51431.015625,4.759869787,0.000015,101939167,171472617,4593757654,783567,1710,60106,168243,436172,2046306,2877957,169021511,226657182,170446574,144572338,0,1430,11446,0,52407,4055943879,9,18450508312,23107326934,152692,145304,0
membench,1,dram,pgn,0,10332.846680,12.491301401,0.000015,108976453,178682145,5024425394,98702961,6482,38444,98303743,100744351,2056825,2971362,176047533,31967261859,31885046117,147526207,0,1373,0,0,65748,4343585237,19,48473774066,22960835407,97443167,97542998,0
membench,1,dram,rnd,0,10203.784180,12.591677402,0.000015,102614912,172478417,5020665167,98579114,13945,50905,98194981,100610896,2041208,2941921,169699352,31621714290,31565176044,146513257,0,1361,0,0,66033,4544091341,21,48882505966,25514463332,97400504,97390097,0
membench,1,dram,seq_prefetch,0,51057.894531,4.756338614,0.000015,103204589,171190540,4700790942,570335,1646,24556,155380,423592,2014363,2861408,168004896,313588451,235632145,144693447,100497507,1477,8324,0,41963,4055425890,6,18434772180,23155955061,142513,133552,0
membench,1,dram,pgn_prefetch,0,21057.472656,7.560527682,0.000015,106982646,177640994,5109542683,773421,7578,30762,225552,365941,2051454,2877614,176379930,13514430151,13460119507,147227419,100350999,1437,8346,0,71800,4349368564,14,29343876100,23166955225,204114,200989,0
membench,1,dram,rnd_prefetch,0,19828.632812,7.836488045,0.000015,100757486,171742157,5107567933,696087,13030,61730,161490,316802,2028456,2873155,173019660,14026399229,13748831216,146760009,100215297,1400,0,0,55333,4547800944,11,30368759372,25564489312,138745,137970,0
membench,1,pmem,seq,0,31310.341797,6.230024930,0.000015,103176399,169580369,4615294848,792838,1390,10054,167224,1378732,33751,3103920,171081653,5219319228,5195713984,148907077,0,1362,0,0,49723,4046297056,13,24174140108,23025551192,192506,133278,49236
membench,1,pmem,pgn,0,2378.505127,45.080696634,0.000015,107365490,178369401,5039368081,100367645,7515,54999,271270,100342180,77473,3085638,180005585,157681893648,157678265758,147992007,0,1374,0,0,210042,4341068887,37,175210053264,23017308780,97618340,800805,96771998
membench,1,pmem,rnd,0,2267.521973,47.158660612,0.000015,101178993,171073788,5009336516,101998270,9297,78691,260533,100417166,92948,3165734,173125738,164873778356,164784614475,145868657,0,1474,9926,0,199146,4576555744,74,183267580029,25629065983,98358105,129819,98255095
membench,1,pmem,seq_prefetch,0,31632.927734,6.207875811,0.000015,104165889,169693860,4727466198,2320862,2109,9784,153194,494021,20972,3009070,170423290,5091799863,5023532340,152706017,99412582,1420,0,0,58813,4049253878,7,24093380105,23011760611,137731,133253,60
membench,1,pmem,pgn_prefetch,0,4486.735840,25.355203274,0.000015,107276322,176203145,5120068527,1281516,11990,29340,223051,422737,53089,3026059,178946528,81413304912,81329756944,152691030,99872483,1480,8381,0,123036,4339819648,23,98514724634,22907127612,206474,142681,36644
membench,1,pmem,rnd_prefetch,0,4469.201172,25.383728597,0.000015,100827300,171187971,5131064659,1239787,5902,29086,210516,378045,57471,3058848,172238765,81161776507,81174705392,147262747,100195362,1380,0,0,132610,4536375425,24,98658289292,25576156513,783686,755372,972
membench,1,dram,seq,500,51341.343750,17.822034214,0.000146,102501540,171846703,4633051668,1284206,2632,47397,1043295,1585349,2056103,2950214,169328056,138068076,62072107,143209140,0,1389,0,0,100126648,54081866142,20,69234482447,123120431449,165236,157119,0
membench,1,dram,pgn,500,10485.590820,25.395737240,0.000145,109057877,181794345,5043306585,101160526,5717,48015,98495343,100592023,2072686,2966946,177272095,31420321504,31328789367,146861061,0,1399,0,0,100186881,54373949508,25,98628379375,123030543375,98537578,99153513,0
membench,1,dram,rnd,500,10274.908203,25.609379900,0.000146,100890073,174091207,5049225209,101119549,10826,60195,98370700,100476029,2061818,2955985,171935601,31358520861,31301377523,147267761,0,1400,0,0,100153947,54564869237,26,99488238573,125561113345,96854061,96848812,0
membench,1,dram,seq_prefetch,500,51194.285156,17.820659558,0.000145,103275064,171430300,4727017646,1029241,2426,47884,987775,1529071,2037571,2931374,170419479,143456133,64311620,148026124,100133634,1376,0,0,100189160,54099167872,29,69189273985,123203167824,138495,136698,0
membench,1,dram,pgn_prefetch,500,41110.136719,18.283826012,0.000145,107041082,179150991,5137190940,1189847,8179,40594,278254,466160,2061637,2921446,176422908,2027715596,1972181644,147262830,100094215,1373,0,0,100231183,54386251410,14,71008071790,123067873032,899821,888743,0
membench,1,dram,rnd_prefetch,500,38457.160156,18.474911358,0.000146,100697346,172574181,5134841776,1070736,10572,39657,156737,330574,2055305,2923078,170253183,1892241917,1837859474,147083357,100086016,1354,0,0,100110053,54552338910,22,71779514131,125588284372,775251,143781,0
membench,1,pmem,seq,500,49053.824219,18.153456322,0.000146,102788068,169854043,4625476797,1241727,1807,22304,201262,720001,48221,3058778,171644177,521705287,431373477,146659653,0,1463,3557,0,100332121,54142662911,15,70469404996,123146660968,191892,147479,22591
membench,1,pmem,pgn,500,2402.386963,57.696950106,0.000145,109155562,181371711,5056084177,102344292,8336,60570,294597,100413332,105813,3061788,179505437,156141365413,156070878224,150440669,0,1349,0,0,100303044,54370357234,45,224240827342,122994934217,98560234,152494,98339986
membench,1,pmem,rnd,500,2388.899658,57.976126919,0.000146,101090052,171512731,5047421993,102233231,16368,76155,289639,100431658,102113,3224020,176727020,156115569214,156012539759,145997092,0,3461,0,0,100331210,54550043526,76,225331550669,125209810001,99058747,182729,98267033
membench,1,pmem,seq_prefetch,500,46986.121094,18.212530116,0.000145,103385023,170152771,4729694159,2772323,2723,22356,787845,701911,46789,3073033,171741450,838372939,756826554,146817387,100253809,1382,0,0,100336413,54136619039,20,70716196635,123226866151,160903,140798,5
membench,1,pmem,pgn_prefetch,500,6359.281738,31.821576846,0.000145,107242468,177098555,5123152397,1621289,11247,35907,1087480,1389816,69390,3099581,179637297,55914246876,55800320962,150021056,99969624,4771,0,0,100279006,54405872548,55,123660447200,123110063157,292030,145685,109210
membench,1,pmem,rnd_prefetch,500,6238.293457,32.123196333,0.000146,100765772,172261560,5141609533,1442731,10618,36088,1064478,1240410,59301,3015230,171602219,56433300643,56388721745,146966117,100136042,1400,12,0,100272215,54623449963,27,124856512744,125650209637,170030,130590,1365
membench,1,dram,seq,1000,51529.710938,30.695858524,0.000274,104349613,175910629,4650024127,1754952,2643,56071,168127,474205,2088012,3084701,170428052,102059492,43912634,144372663,6,1387,0,0,100181030,104057061638,33,119224149566,223081491157,151109,477676,0
membench,1,dram,pgn,1000,10533.759766,38.223151446,0.000274,107229898,180129941,5044966538,101718030,7827,71578,99339547,101301823,2076215,2962859,178637385,31270478549,31179612803,145244669,0,1394,0,0,101116752,104386027054,30,148515709493,223085114668,98565940,98563999,0
membench,1,dram,rnd,1000,10231.011719,38.525442973,0.000274,100909655,173753203,5043429774,101684755,10055,55417,99223013,101166404,2057863,2993177,171586435,31535775136,31483124266,143846330,0,1388,37,0,100211873,104562823040,41,149677831047,225497996161,98375160,98374249,0
membench,1,dram,seq_prefetch,1000,51308.863281,30.690477435,0.000274,104892350,172681212,4738852011,1513430,2555,49733,165212,463320,2042185,2908945,169448318,103672983,44361739,146106985,100070631,1399,0,0,100224036,104133788629,33,119237523174,223289172142,711164,795187,0
membench,1,dram,pgn_prefetch,1000,47480.425781,30.822247521,0.000274,106987078,179174759,5139292051,1606444,12773,46652,1160081,1386918,2065821,2930998,178118711,720632935,664110914,142411151,100052566,1388,25,0,100194620,104398339094,35,119775375090,223231791536,265551,260319,0
membench,1,dram,rnd_prefetch,1000,43278.968750,31.054216235,0.000274,100632099,172752085,5139921470,1507413,10509,43572,156571,372517,2025477,2906111,172647018,719751810,693032921,144442928,99986411,1513,3967,0,100145225,104577990695,28,120659420004,225699725788,144224,143126,0
membench,1,pmem,seq,1000,51170.265625,30.956027970,0.000274,102971644,169414849,4623112121,1704206,2552,34799,207631,492422,60410,3101665,172982738,200706444,125600675,151642395,0,1524,7709,0,100195256,104184685285,32,120311963709,223166420975,186471,135531,11455
membench,1,pmem,pgn,1000,2422.670898,70.216177142,0.000274,107390798,180969950,5053316002,103671127,9771,81950,1223526,100916820,123908,3084740,180311810,154819653731,154725636210,146607739,0,1381,0,0,100397923,104404578113,46,272942500908,223072458693,98555070,132992,98343709
membench,1,pmem,rnd,1000,2408.802002,70.509503181,0.000274,101197276,172278881,5046553985,104549679,11787,81963,313692,100452430,125608,3180341,175773758,154841193418,154728276814,150008958,0,1487,0,0,100333649,104583681243,54,274041093642,225332435260,98404751,132435,98144551
membench,1,pmem,seq_prefetch,1000,49764.242188,30.958408859,0.000274,103353759,171401478,4735082281,1463084,1466,34883,216358,533862,62148,3025554,171619830,384563576,295577601,146443437,100079144,1424,9883,0,100279837,104144709783,29,120318722385,223279549536,166431,131914,0
membench,1,pmem,pgn_prefetch,1000,11141.111328,37.920778298,0.000274,107154410,177842864,5138632967,1803250,10933,41950,1153591,1443662,73171,3087769,179538758,29658102552,29569598755,148546173,100107252,1381,0,0,100257994,104420958319,35,147379235627,223190116639,293016,137782,112957
membench,1,pmem,rnd_prefetch,1000,10801.243164,38.247073942,0.000274,100961183,171426398,5135095410,1667741,11134,42371,248467,436072,71059,3140175,174609903,30287215918,29991953174,149200537,99955556,5037,0,0,100295473,104666391542,52,148675516907,225689784984,181173,135502,2397
membench,1,dram,seq,1500,51547.933594,43.579791290,0.000403,102524107,173798515,4641261177,2154073,1736,97134,168524,463719,2044002,2942463,169840113,106135715,44861942,146585395,0,1368,0,0,100261148,154107894923,37,169322242205,323036159448,796681,780505,0
membench,1,dram,pgn,1500,10483.463867,51.137059781,0.000403,107222963,180984978,5056046261,102250277,7084,92134,98564909,100516008,2069811,3034902,181930080,31697630919,31367002950,143374010,0,1382,0,0,100229844,154389850612,42,198676884940,323054225296,98533680,98534346,0
membench,1,dram,rnd,1500,10260.898438,51.374644760,0.000403,100954083,174056261,5048329224,102111217,11993,84893,98411169,100410812,2046882,2985812,173404708,31399623072,31331057763,149081584,0,1386,0,0,100230740,154542861016,72,199580865225,325483671423,99006944,98411945,0
membench,1,dram,seq_prefetch,1500,51256.843750,43.551792979,0.000403,103269209,173792032,4745768550,1989515,2584,53133,154774,422613,2050077,2972266,173029498,97794296,100685428,145837802,99974522,1475,0,0,100199625,154074863313,39,169182266210,323173933972,144448,145128,0
membench,1,dram,pgn_prefetch,1500,50779.851562,43.563502203,0.000403,106948648,179806668,5150314559,2114852,25715,69622,286529,528509,2100832,2968118,178375786,149159740,89380539,141955946,100043560,1505,11904,0,100188813,154380464749,42,169240370285,323243481143,260020,254179,0
membench,1,dram,rnd_prefetch,1500,46146.320312,43.783115300,0.000403,102002131,174095249,5146239949,1948249,19810,97198,165575,391642,2084807,2936651,173206700,114882755,55648787,142834208,100041035,1411,0,0,100251687,154597551724,30,170125392627,325705488893,875913,872221,0
membench,1,pmem,seq,1500,51521.664062,43.812925599,0.000403,102995287,170093321,4629232529,3848361,5517,47805,1109178,455970,74917,3145550,173480361,154300551,70758715,151186862,0,3369,0,0,100308526,154220896334,42,170305590250,323220955966,183487,134806,3010
membench,1,pmem,pgn,1500,2448.748535,82.644201373,0.000403,107398341,180485121,5053097551,103217980,11816,94971,370523,100531897,148588,3135356,182184405,153446048653,153094802545,149837179,0,1356,25,0,100553800,154372469965,76,321268834691,323025447596,98544467,139028,98341885
membench,1,pmem,rnd,1500,2434.372803,83.045211304,0.000404,101202586,174523814,5051076594,103294795,20836,106016,337149,100427152,135964,3161338,178176807,153486279031,153200533954,149615442,0,1425,31,0,100382054,154601044884,110,322822404480,325586538039,98471595,134275,98244048
membench,1,pmem,seq_prefetch,1500,50919.527344,43.788776218,0.000403,105317848,171768224,4736334122,1912934,1855,47730,229673,463568,86396,3127600,175075719,203748803,132284406,145408703,100064848,1387,0,0,100336284,154198339522,39,170211990256,323230909892,812217,760335,340
membench,1,pmem,pgn_prefetch,1500,27071.652344,45.513738395,0.000403,107187232,177733383,5135819818,3692522,14473,49527,1110817,566089,79305,3091208,181198939,7093843315,7016419496,148943399,100110783,1419,37,0,100406528,154476326508,61,176926114016,323284739228,309537,136903,118456
membench,1,pmem,rnd_prefetch,1500,25965.089844,45.694833309,0.000403,102671289,174833643,5137894740,1808220,11948,49699,268997,434386,87920,3130799,174485317,6931295965,6851310061,147162623,100106721,1368,0,0,100444796,154669041532,62,177635287722,325719582637,182822,720062,3656
membench,1,dram,seq,2000,51518.375000,56.435850539,0.000532,102510823,174241191,4651536157,2680993,2915,72754,150550,478474,2090955,2976126,175893118,368950778,78049667,143311350,0,1388,0,0,100336259,204051082126,50,219277691061,423113497188,148263,143774,0
membench,1,dram,pgn,2000,10452.055664,64.038464033,0.000531,107224376,180625315,5048621831,101123979,13199,101663,98539515,100580118,2032647,2987269,183208655,31790781250,31501808478,149825259,0,1375,0,0,100321791,204398737154,86,248826449736,423038033453,97020497,97020723,0
membench,1,dram,rnd,2000,10277.014648,64.223310438,0.000532,100956622,174578436,5054665901,102620531,11448,114643,99231111,101293951,2076495,2989045,174177210,31371141053,31302886017,143707112,0,1375,0,0,100271578,204593417352,82,249555368620,425625768413,98410833,98406593,0
membench,1,dram,seq_prefetch,2000,51271.035156,56.415998966,0.000532,103153021,174913640,4755586257,3948267,4107,83357,1051693,611258,2121207,2972497,174083091,104253357,39470735,143112931,100038205,1412,0,0,100272877,204074066546,52,219207222270,423251784396,137892,132629,0
membench,1,dram,pgn_prefetch,2000,50853.242188,56.426754953,0.000531,106974059,180947638,5150445100,2494949,20697,84195,1200724,1492619,2073332,2979625,178363954,147316951,83822977,142696448,100011862,1400,0,0,100280253,204390808684,49,219277108058,423230702778,264321,260596,0
