exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses,L1-dcache-loads,mem_load_retired.l1_miss,dTLB-load-misses,dTLB-store-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d.replacement,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,context-switches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.001085068,,849,9554,134822,3769,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,1,dram,,,,0.815335293,,1921452,51201601,411681357,792873,1119,16618,754295,601669,1538041,2119948,50800955,47221956,13493721,109286822,0,1024,0,0,12041,545953588,3,3161162027,4701711891,108993,106081,0
membench_pregen_init,1,dram,,,,1.315495187,,2667325,70542973,720626483,2126872,2074,39000,1020779,279219,2075280,2860625,70034976,63465589,18189126,144853481,0,1390,0,0,18918,947908111,5,5104373683,8137840932,143987,142555,0
membench_base,1,pmem,,,,0.000844448,,701,10260,142047,4224,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,1,pmem,,,,0.983446439,,2033505,50756272,412864130,324895,472,3764,108549,203614,9246,2125751,51153962,59498492,15958047,109861676,0,1000,0,0,17195,541880933,1,3816535379,4702883500,595627,556823,202
membench_pregen_init,1,pmem,,,,1.539975587,,2617670,69837062,722169692,431547,475,5285,144775,283855,13563,2854810,71498558,332397225,82357222,145828118,0,1436,0,0,28869,956224746,3,5974325404,8188443884,135427,114174,0
membench,1,dram,seq,0,51597.511719,4.753098045,0.000015,102636935,170403748,4595149969,773222,1584,29127,170779,391467,2026380,2809614,170121140,200916868,145890506,145111160,0,1488,8745,0,37525,4050495229,9,18418595988,23158978093,154113,149950,0
membench,1,dram,pgn,0,10343.039062,12.486474599,0.000015,108968258,178227582,5019200760,100317300,6124,70151,98212426,100616365,2072582,2903047,177022905,31937675723,31867607428,146611561,0,1392,0,0,58446,4341753238,13,48475708488,23057643364,99092791,99047754,0
membench,1,dram,rnd,0,10303.200195,12.490548824,0.000015,102649176,172610146,5027537847,100464696,9654,29451,98460734,100607628,2082979,2946360,168890222,31240373467,31138714023,143596634,0,1380,0,0,69632,4544306644,27,48456708913,25487757022,98997660,98960083,0
membench,1,dram,seq_prefetch,0,51154.453125,4.749934303,0.000015,103004458,171129693,4686635326,581227,1502,35081,165079,384647,2023537,2821105,168050721,345800591,292376596,146885275,99954356,1379,0,0,39839,4055922445,5,18434868008,23153260833,146624,141125,0
membench,1,dram,pgn_prefetch,0,21000.818359,7.575906768,0.000015,107045134,177570348,5108538704,797792,4983,33616,236681,367494,2058894,2824733,176434943,13499289501,13447569803,146688611,100428649,1358,0,0,56502,4349407548,13,29412136665,23136520456,865056,841942,0
membench,1,dram,rnd_prefetch,0,19876.296875,7.816302600,0.000015,100702776,172248276,5114540769,696552,11740,37847,1033575,1174276,2068331,2882723,168652155,13899255105,13846635417,144230269,100138987,1377,0,0,53043,4550626110,12,30351262037,25615099976,152865,144426,0
membench,1,pmem,seq,0,31275.585938,6.242924422,0.000015,103416266,168785972,4628695963,779664,978,10087,156396,511814,19640,3015450,172379845,5489573020,5215930601,150592943,6,5103,0,0,45122,4040530233,12,24206635571,22913309659,183228,130520,46434
membench,1,pmem,pgn,0,2353.251953,45.540682325,0.000015,107293609,176730793,5030273495,101769326,8651,38062,241942,100348540,70303,3096699,183686699,159451207976,159165417249,154460603,0,3503,12,0,158779,4324177149,37,176914347480,22834340289,98508668,132910,98348488
membench,1,pmem,rnd,0,2265.907715,47.185086612,0.000015,102740097,171540206,5018809314,101776346,18906,55919,259394,100312995,91777,3065570,172967512,164978438201,164904820829,148648742,0,1380,0,0,161879,4566233019,46,183403627582,25516251168,99044443,767386,98316557
membench,1,pmem,seq_prefetch,0,32225.207031,6.153560264,0.000015,104159920,169086937,4737516451,586109,694,6953,156502,431471,22034,2959049,170677606,4856422517,4780660193,152032788,99171655,1449,10345,0,61865,4056953322,6,23882982577,23121377867,138332,130660,5
