exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses,L1-dcache-loads,mem_load_retired.l1_miss,dTLB-load-misses,dTLB-store-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d.replacement,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,context-switches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.000795824,,651,9552,136234,3522,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,1,dram,,,,0.000707282,,411,9809,137465,3627,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,1,dram,,,,0.000705268,,365,9472,138059,3624,0,,,,,,,,,,,,,,,,,,,,,
membench_base,1,pmem,,,,0.000646455,,567,10281,141321,3788,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,1,pmem,,,,0.000598693,,436,10117,141154,3935,87,0,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,1,pmem,,,,0.000585358,,416,9707,136422,3847,0,,,,,,,,,,,,,,,,,,,,,
membench_base,2,dram,,,,0.000636574,,810,9234,134110,3593,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,2,dram,,,,0.000596977,,444,9387,136274,3601,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,2,dram,,,,0.000596113,,392,9284,137453,3540,0,,,,,,,,,,,,,,,,,,,,,
membench_base,2,pmem,,,,0.000609609,,668,9938,137770,3755,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,2,pmem,,,,0.000582310,,390,9675,138225,3660,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,2,pmem,,,,0.000586131,,339,10239,137199,3863,0,,,,,,,,,,,,,,,,,,,,,
membench_base,3,dram,,,,0.000622117,,599,9310,137068,3520,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,3,dram,,,,0.000590417,,416,9419,136251,3556,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,3,dram,,,,0.000585311,,418,9630,138409,3766,84,0,,,,,,,,,,,,,,,,,,,,
membench_base,3,pmem,,,,0.000631506,,727,9917,135510,3814,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,3,pmem,,,,0.000580662,,434,9693,137297,3743,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,3,pmem,,,,0.000604264,,535,9793,137097,3795,0,,,,,,,,,,,,,,,,,,,,,
membench_base,4,dram,,,,0.000702264,,676,9448,134473,3585,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,4,dram,,,,0.000581519,,404,9417,136074,3612,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,4,dram,,,,0.000587549,,368,9359,137011,3566,0,,,,,,,,,,,,,,,,,,,,,
membench_base,4,pmem,,,,0.000632408,,661,9994,136134,3748,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,4,pmem,,,,0.000586065,,416,9624,138819,3627,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,4,pmem,,,,0.000578325,,445,10029,136689,3795,0,,,,,,,,,,,,,,,,,,,,,
membench_base,5,dram,,,,0.000641646,,509,9743,137438,3589,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,5,dram,,,,0.000602323,,481,9326,138928,3587,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,5,dram,,,,0.000616951,,371,9656,136689,3635,0,,,,,,,,,,,,,,,,,,,,,
membench_base,5,pmem,,,,0.000649021,,658,10010,136302,3776,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,5,pmem,,,,0.000662362,,888,10639,152159,4342,179,1,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,5,pmem,,,,0.000639598,,379,9793,137966,3773,0,,,,,,,,,,,,,,,,,,,,,
