exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses,L1-dcache-loads,mem_load_retired.l1_miss,dTLB-load-misses,dTLB-store-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d.replacement,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,context-switches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.001206141,,471,9213,138523,3554,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,1,dram,,,,0.000791013,,523,12733,186691,4563,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,1,dram,,,,0.000752532,,545,13338,193974,4526,0,,,,,,,,,,,,,,,,,,,,,
membench_base,1,pmem,,,,0.001051486,,600,9871,141917,3749,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,1,pmem,,,,0.000663114,,522,13228,184133,4754,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,1,pmem,,,,0.001505580,,542,13740,197471,4806,0,,,,,,,,,,,,,,,,,,,,,
membench_base,2,dram,,,,0.000658671,,546,9718,136325,3594,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,2,dram,,,,0.000681764,,479,13231,187439,4506,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,2,dram,,,,0.001088736,,483,13434,190435,4615,0,,,,,,,,,,,,,,,,,,,,,
membench_base,2,pmem,,,,0.000662636,,539,9851,136980,3868,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,2,pmem,,,,0.000674997,,511,13076,187232,4661,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,2,pmem,,,,0.000727546,,646,14538,206391,5238,0,,,,,,,,,,,,,,,,,,,,,
membench_base,3,dram,,,,0.000831454,,490,9366,135341,3553,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,3,dram,,,,0.000673268,,498,12904,185953,4473,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,3,dram,,,,0.000674120,,558,13161,194277,4461,0,,,,,,,,,,,,,,,,,,,,,
membench_base,3,pmem,,,,0.001326267,,539,9609,137636,3745,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,3,pmem,,,,0.000663309,,497,13256,188786,4704,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,3,pmem,,,,0.000692400,,554,13898,196210,4832,50,0,,,,,,,,,,,,,,,,,,,,
membench_base,4,dram,,,,0.000775070,,550,9887,139759,3908,1,,,,,,,,,,,,,,,,,,,,,
membench_data_init,4,dram,,,,0.000719712,,513,12957,187897,4539,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,4,dram,,,,0.000708750,,551,13450,194973,4554,0,,,,,,,,,,,,,,,,,,,,,
membench_base,4,pmem,,,,0.000630772,,535,9769,136812,3746,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,4,pmem,,,,0.000662375,,560,13606,186715,4779,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,4,pmem,,,,0.000654415,,494,13505,194196,4731,0,,,,,,,,,,,,,,,,,,,,,
membench_base,5,dram,,,,0.000656243,,538,9562,135372,3563,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,5,dram,,,,0.000660066,,572,12992,186837,4565,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,5,dram,,,,0.001414244,,486,13414,191017,4672,117,0,,,,,,,,,,,,,,,,,,,,
membench_base,5,pmem,,,,0.000649394,,484,9912,139023,3884,68,0,,,,,,,,,,,,,,,,,,,,
membench_data_init,5,pmem,,,,0.000657398,,493,13752,189388,4793,0,,,,,,,,,,,,,,,,,,,,,
membench_pregen_init,5,pmem,,,,0.001027387,,497,13529,194034,4736,0,,,,,,,,,,,,,,,,,,,,,
