exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,context-switches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.000829079,,712,9520,136034,161,0,,,,,,,,,,,,,,,,,,
membench_data_init,1,dram,,,,0.955066224,,3128854,50989717,1217596514,103805,194393,1457540,2014257,47307791,12688360,50897533,105990196,0,1019,0,0,11603,811312021,2,3699200545,6622882149,520620,528114,0
membench_pregen_init,1,dram,,,,1.014728090,,1941024,52381792,1299271929,108850,200135,1452795,2060290,48024034,12623177,52275792,109646999,0,3158,7354,0,13679,862992932,4,3936083511,7058942839,108844,108867,0
membench_base,1,pmem,,,,0.000709268,,764,9781,138431,182,0,,,,,,,,,,,,,,,,,,
membench_data_init,1,pmem,,,,1.118255073,,1909609,51131706,1212654727,109450,206668,11229,2060242,46053040,12897715,50998548,105330432,0,1020,0,0,26921,815598535,1,4332534526,6591990307,519339,100694,9
membench_pregen_init,1,pmem,,,,1.185698734,,1975937,52121068,1303241512,106441,209363,12599,2083961,50264009,14044647,52693024,114703334,0,2037,4649,0,31494,863181108,1,4601185172,7112219487,106570,100316,0
membench,1,dram,seq,0,0.000000,1.543450358,0.000000,2584821,69161033,2023421068,139406,280329,1909114,2703019,66119762,18080927,70079552,151667201,0,4176,7258,0,30352,1408802095,5,5992284429,11410626849,138985,134169,0
membench,1,dram,pgn,0,0.000000,1.536705295,0.000000,2559640,68095559,2012526868,147030,275280,1841311,2658645,64648896,17440680,70323266,146213034,0,3289,7412,0,24043,1415100344,2,5956408868,11471312128,136836,135930,0
membench,1,dram,rnd,0,0.000000,1.542020459,0.000000,2597143,69588913,2019479563,141065,275951,1954521,2710088,64770008,17707483,69515469,148740356,0,6091,10150,0,24395,1410783589,3,5987296948,11423310468,140328,135641,0
membench,1,dram,seq_prefetch,0,0.000000,1.536809816,0.000000,2572289,68348086,2011277823,142605,277296,1827386,2648707,65270333,17737615,71252624,147733234,0,3801,5314,0,27966,1416144505,3,5966772995,11475281587,139837,136521,0
membench,1,dram,pgn_prefetch,0,0.000000,1.538361182,0.000000,2589886,69153279,2045572563,143506,276753,1923856,2639573,62097925,17927860,69709899,147887854,0,4907,7412,0,26550,1405991582,4,5965989049,11453869020,136098,133918,0
membench,1,dram,rnd_prefetch,0,0.000000,1.542621828,0.000000,2561849,69428609,2022527913,141091,277024,1904662,2702455,64772978,18064509,70051834,149578004,0,5895,10116,0,19071,1411374691,2,5989222428,11449289568,135954,135674,0
membench,1,pmem,seq,0,0.000000,1.782539314,0.000000,2671915,70014930,2021161095,141822,498140,25661,2816819,300150537,58425542,70453568,150522151,0,1403,0,0,29606,1411932524,1,6917656036,11475495112,136405,134290,13
membench,1,pmem,pgn,0,0.000000,1.761059438,0.000000,4263073,71465557,2010729885,385758,288104,16036,2833533,65795625,18172292,70825163,146496123,0,11187,0,0,33458,1427981627,2,6835471484,11520746954,134125,131560,352
membench,1,pmem,rnd,0,0.000000,1.763901867,0.000000,3046584,71323067,2012957469,933373,896782,16050,2834710,64697749,18290746,70634818,145817835,0,3993,0,0,28746,1419436004,1,6845157078,11521072004,136656,136624,4
membench,1,pmem,seq_prefetch,0,0.000000,1.759411938,0.000000,4218354,70983792,2008509824,812448,293776,15971,2764864,63731289,18067098,71330766,149033385,0,5617,0,0,29905,1429181020,3,6830591259,11445153419,140059,138406,360
membench,1,pmem,pgn_prefetch,0,0.000000,1.780915491,0.000000,2647578,69397308,2027940296,142951,287343,24496,2765053,384988780,78713040,70771498,150035923,0,1418,0,0,20918,1404812151,2,6903882281,11442403231,136658,133478,0
membench,1,pmem,rnd_prefetch,0,0.000000,1.759363738,0.000000,4290889,70695797,2034804859,371756,288821,17208,2862710,66334937,18286983,70048171,142363940,0,5527,0,0,29328,1430172205,2,6820998075,11541024866,136315,132674,391
membench,1,dram,seq,500,0.000000,1.535159289,0.000000,2595871,69158451,2027938021,145123,278210,1950455,2657822,62220760,17215518,70435118,149831025,0,2971,713,0,27305,1404427115,1,5961299244,11434704511,133810,136561,0
