exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions
membench_base,1,dram,,,,0.000989677,604,9399,135498,190,,,,,,,,,,,,,,,
membench_data_init,1,dram,,,,1.005111141,1927772,51055253,1349200672,458606,642995,1434364,2020679,50283007,14011795,51199470,108586962,0,1013,0,0,14329,816251728,3898178892,6772850194
membench_pregen_init,1,dram,,,,1.641755117,2643103,70075623,2256031802,149971,287252,1955045,2737062,72741768,21654523,69105711,149044324,0,4524,6371,0,25780,1412966685,6332950766,11528075116
membench_base,1,pmem,,,,0.000762226,674,10019,134053,178,,,,,,,,,,,,,,,
membench_data_init,1,pmem,,,,1.173557111,1912759,51225173,1348742710,109417,211935,9260,2068518,62670017,51093374,51791246,109244510,0,1025,0,0,17077,812187235,4553769273,6763969916
membench_pregen_init,1,pmem,,,,1.862080773,2666234,70162525,2256783055,141482,296389,12246,2852186,75154794,37120236,71447063,147863261,0,4991,0,0,23563,1417843035,7228142022,11602544156
membench,1,dram,seq,0,0.000000,5.785545246,102964399,170428595,7533838884,659647,1062910,1991549,2799239,167097032,110004830,169450226,144161678,0,1346,0,0,41614,5222573559,22437593878,31468230536
membench,1,dram,pgn,0,0.000000,13.363526873,108779724,177190284,7760670779,98394807,100421618,2022966,2902248,31385625815,31290200847,176296039,146515853,0,3710,0,0,87484,5306045250,51874209745,31912482962
membench,1,dram,rnd,0,0.000000,13.660002027,101079147,170664828,8262721299,98128352,100341352,1984140,2911523,31226606061,31182205808,170720886,146755542,0,1365,7275,0,105365,5811427683,53052168307,35243903181
membench,1,dram,seq_prefetch,0,0.000000,5.901688956,103043190,170599276,7756531722,167526,433963,1984964,2787236,172159060,111052254,169674733,146913597,0,5895,100664193,0,62003,5218583455,22917307747,31911688520
membench,1,dram,pgn_prefetch,0,0.000000,8.075546670,107886375,176474423,7953679485,260378,1134776,2009790,2852953,11708396011,11580199901,176709579,147295850,0,4427,100530594,0,50570,5307146528,31352801612,32334922253
membench,1,dram,rnd_prefetch,0,0.000000,8.851991305,101516919,170416196,8452693345,186874,569158,2023338,2830105,13122250524,13060508168,171808366,148202205,0,2666,100436605,0,53478,5809076475,34382413936,35666868263
membench,1,pmem,seq,0,0.000000,6.062066255,102617843,170208485,7550043285,153813,490137,16798,2864989,465861596,401564913,169254921,145660950,0,1382,3963,0,63683,5227009669,23544323720,31586752533
membench,1,pmem,pgn,0,0.000000,45.374813370,108728623,179711786,7784725470,729842,100405832,76511,2920363,154910481147,154787447176,179115900,150110514,0,4023,0,0,164316,5302331592,176364851515,31958640535
membench,1,pmem,rnd,0,0.000000,46.846455581,101011734,171062900,8268162381,251033,100369509,81785,2903176,159436403830,159200079893,174800355,150763605,0,1411,0,0,182931,5820146211,182091565772,35375551198
membench,1,pmem,seq_prefetch,0,0.000000,6.154141068,104758439,172049288,7735302675,709429,456753,24014,2977244,369962825,305060547,171117485,151712243,0,13868,100302794,0,44199,5225624198,23915508132,31925898170
membench,1,pmem,pgn_prefetch,0,0.000000,23.405220380,108993151,179818157,7967340035,373631,780122,51384,2934457,70386611091,70274202422,178192206,150657441,0,11459,100194584,0,102438,5298735066,90968945377,32418039730
membench,1,pmem,rnd_prefetch,0,0.000000,24.172395842,101705617,172454727,8466399674,701959,1016587,53925,2958931,71824265670,71752237756,172529175,151016072,0,6118,100186877,0,121508,5796948933,93948862105,35598855317
membench,1,dram,seq,100,0.000000,8.458912964,102872388,169977686,7551394959,170718,526926,2008089,2865277,427931073,144195160,170315362,143746650,0,1376,0,0,100556160,15264484886,32857674451,71651528827
membench,1,dram,pgn,100,0.000000,16.122928837,107354642,177324284,7765154673,98757447,101025378,1975783,2893888,31273693391,31201347559,177198682,147491424,0,1373,0,0,100344564,15323974068,62629097400,71995955361
membench,1,dram,rnd,100,0.000000,17.680743526,101012205,170446424,8259263320,98295667,100474510,2018543,2896920,31545280806,31473535323,170332657,144347252,0,2186,8988,0,100207919,15817778965,68643132157,75283995624
