exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds_time_elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions
membench_base,1,dram,,,,0.001244649,546,9532,136464,162,,,,,,,,,,,,,,,
membench_data_init,1,dram,,,,1.006280332,1935664,51134271,1349794534,102522,479549,1400208,2042977,121732919,26942211,50864640,108548239,0,1000,0,0,14242,815000059,3906037604,6759226521
membench_pregen_init,1,dram,,,,1.633070080,2620409,70075902,2257788530,143942,288046,1917501,2767582,68585468,52924700,70781219,147765315,0,1365,0,0,20375,1418651884,6334155306,11593309248
membench_base,1,pmem,,,,0.000745847,614,9793,138281,141,,,,,,,,,,,,,,,
membench_data_init,1,pmem,,,,1.145475718,1929005,51651808,1351216916,528115,747758,9348,2078735,47779764,13298269,50990451,106209584,0,1016,0,0,16924,814094828,4447750244,6761500755
membench_pregen_init,1,pmem,,,,1.867319654,2703060,69337539,2261325181,141047,298876,14669,2854409,68874271,20423565,69969782,148634086,0,5381,6487,0,25082,1417547598,7251303498,11629296121
membench,1,dram,seq,0,38744.000000,5.787777042,103077328,170766535,7549805503,694535,1149853,2034613,2901683,200465412,142832566,169592134,144333737,0,1370,0,0,37146,5219585464,22464126588,31509221067
membench,1,dram,pgn,0,9856.000000,13.352092892,107382535,176714056,7759700667,98377829,100382812,1997871,2935102,31360582109,31270358377,176719972,148526113,0,2105,6593,0,76950,5300473851,51846591888,31884643874
membench,1,dram,rnd,0,9606.000000,13.620855007,101073293,170316665,8250648041,98501725,100856866,1987998,2926774,31118978672,31049077362,170801979,148710988,0,5050,0,0,85481,5798334598,52901291287,35174086237
membench,1,dram,seq_prefetch,0,36900.000000,5.924975785,104886841,171694820,7749157000,649983,456193,2004772,2924136,262823063,199611652,170339704,149355666,99697474,4746,0,0,45094,5219738392,23004096621,31872594743
membench,1,dram,pgn_prefetch,0,20487.000000,8.091581290,109532999,176714311,7949768525,231678,413863,2015466,2868068,11750381303,11700453244,177905878,147871315,99773887,3345,0,0,50238,5307079182,31431100302,32336329620
membench,1,dram,rnd_prefetch,0,17758.000000,8.839073329,103008111,171013590,8445112145,146107,336981,1943184,2861873,13461300365,13198202536,170194875,145237915,100188488,1347,0,0,62055,5807881923,34346450849,35637538849
membench,1,pmem,seq,0,37537.000000,6.095398548,103125299,170197268,7557827130,673615,1169869,21462,3106280,574890347,514669710,170171861,143388514,0,1352,0,0,43162,5222392157,23683191316,31551944969
membench,1,pmem,pgn,0,2479.000000,43.747757850,107383008,178353757,7770281925,248564,100368077,77445,3002497,148598278699,148545292112,179241170,143071635,0,1443,6112,0,183085,5309070956,170066234649,31955733610
membench,1,pmem,rnd,0,2461.000000,44.056827356,101040593,171259817,8273084758,255523,100295511,80207,3029161,148520938728,148489866479,172839232,144697620,0,1395,5155,0,177768,5813716259,171269620153,35221960997
membench,1,pmem,seq_prefetch,0,35285.000000,6.245257060,103110462,170245573,7754157390,654355,1125746,22685,2851931,740861277,680216727,170049881,143444640,100288651,1385,0,0,48309,5224610294,24268375207,31968488697
membench,1,pmem,pgn_prefetch,0,4987.000000,23.491417553,109289779,177474420,7961246557,747606,1178841,47653,2993875,70746545167,70660557160,178217418,143112975,100108538,1349,0,0,95992,5302879479,91316850558,32328031924
membench,1,pmem,rnd_prefetch,0,4797.000000,24.258562553,102790080,171767212,8478097412,752725,1105150,47713,2898679,72522148710,72456428358,170735776,143783397,100119456,1392,0,0,108745,5808064912,94301299478,35679755089
membench,1,dram,seq,50,39603.000000,7.027206924,102991580,169918463,7555848285,162012,522200,1971898,2880204,183082355,156815386,172185024,148712332,0,2451,0,0,1345990,10241614290,27292367014,51583023913
membench,1,dram,pgn,50,9982.000000,14.512272645,108707887,178853846,7761643797,98495150,100278528,1994134,2925457,30929830013,30855458282,176830644,144898151,0,1372,0,0,1113691,10311991110,56371644500,51929550860
membench,1,dram,rnd,50,9676.000000,15.369097838,101039970,170637467,8253652318,98444749,100918858,2009245,2893247,30788518624,30721046354,170548425,146664393,4,5734,0,0,81468,10809796643,59683408414,55215618295
membench,1,dram,seq_prefetch,50,37921.000000,7.127294252,103296367,170997638,7754436799,154523,509650,1981257,2892312,206823210,145555803,169061456,141350451,100632236,1374,0,0,1402657,10226793705,27678360313,51938028123
membench,1,dram,pgn_prefetch,50,23837.000000,8.692597682,109486136,176874700,7954343541,165923,357699,1948412,2833520,9406570716,9138493575,178441351,145073036,100150580,2749,0,0,1324830,10332341480,33777208458,52432766679
membench,1,dram,rnd_prefetch,50,20580.000000,9.721908758,104171804,172063874,8461362522,142152,331049,1984656,2863138,9961523304,9914178285,170287516,144866608,100114048,5059,0,0,70013,10817101216,37768067437,55652996156
membench,1,pmem,seq,50,38417.000000,7.323565155,103072040,170098522,7556163053,160801,520962,21457,3001365,785550618,497112945,171671988,143968201,0,1363,0,0,1350109,10246358346,28459141452,51646263343
membench,1,pmem,pgn,50,2472.000000,45.160013846,107377923,178502231,7788841326,740212,100935629,80145,2963539,149127948646,149092623074,178791940,148368730,0,1373,0,0,1331724,10305261490,175539634886,51957027688
membench,1,pmem,rnd,50,2452.000000,46.046319670,102419561,174136714,8264798363,256790,100342880,81316,3007404,149070485767,148982681530,172864369,151583621,0,9820,9,0,215093,10818623086,178995190448,55239314863
membench,1,pmem,seq_prefetch,50,36179.000000,7.485214156,103419680,169898827,7749944237,166207,514177,25267,2978776,713615685,640678032,172132800,151245018,99989128,6120,0,0,93703,10246545473,29085265778,52023614071
membench,1,pmem,pgn_prefetch,50,5139.000000,24.194988209,109384172,176896505,7963044501,194534,419344,50992,3051578,68718272464,68433141412,180886181,148775783,99914632,14431,0,0,1451288,10294173507,94051865127,52257398927
membench,1,pmem,rnd_prefetch,50,5040.000000,25.383747741,104209221,172716383,8468686643,703681,401553,51799,2950861,68415177947,68344924380,172293364,150567064,100086456,3628,0,0,112079223,10812102308,98676794265,55657667944
membench,1,dram,seq,100,40096.000000,8.461050895,102781579,170540719,7559902279,170192,584288,1952217,2917996,472745076,188752399,172049620,145774310,0,1395,0,0,100453066,15248993376,32857812194,71651225651
membench,1,dram,pgn,100,9834.000000,16.135919196,107373751,176655721,7760512793,98323972,100388307,2016253,2925346,31517995269,31231443344,177383678,148597253,0,3705,0,0,100385400,15323628757,62665269266,71969907062
membench,1,dram,rnd,100,9605.000000,17.587136248,101020696,170428905,8247138749,98323391,100469052,1993337,2968026,31385081028,31160355519,173123669,147661721,0,5757,0,0,100338987,15818379868,68311793988,75230626068
membench,1,dram,seq_prefetch,100,38037.000000,8.597417962,103371819,169746628,7750457289,664072,1208560,2012449,2936055,213341913,146887915,171060593,149263332,99894554,3247,0,0,100681863,15268659333,33388029118,72062223058
membench,1,dram,pgn_prefetch,100,27285.000000,9.615163264,109464540,176288092,7955787240,167533,369994,1999774,2881359,6823709635,6766198372,177285281,149307512,99828437,2567,3015,0,100463076,15344538074,37343171747,72487215483
membench,1,dram,rnd_prefetch,100,23889.000000,10.662136079,102668644,170678490,8434025725,144812,341782,1999016,2873117,6682332190,6408768416,170622922,146230487,100227261,5002,0,0,100535773,15836273868,41417561607,75574237461
membench,1,pmem,seq,100,38880.000000,8.786797474,103068014,168555490,7568740787,168706,595166,26214,3051602,511053052,438386611,170248678,146847869,0,5686,5132,0,100425664,15258753106,34143944345,71698450520
membench,1,pmem,pgn,100,2479.000000,46.510744088,108790185,180081268,7781679303,762500,100302477,80552,3025762,148605381378,148545592787,178265518,143139453,0,1386,0,0,100234354,15312498998,180798865003,72016154580
membench,1,pmem,rnd,100,2456.000000,48.151036013,101072884,171749003,8251438979,256333,100348073,82919,3080644,148987449471,148894231450,173823335,148367301,0,7543,6343,0,100289311,15804040105,187182811131,75233297037
membench,1,pmem,seq_prefetch,100,35997.000000,8.969222184,104822039,171032703,7757271073,666073,577184,28421,2961293,782647173,713041522,170548882,147673316,100134897,11979,0,0,100630877,15273068544,34852616301,72058314876
membench,1,pmem,pgn_prefetch,100,5329.000000,24.949680099,109366640,177447552,7955787571,193944,424365,56251,2971953,65770243519,65480451308,179113649,148766780,99913711,7344,0,0,100306131,15315535989,96978690548,72399654255
membench,1,pmem,rnd_prefetch,100,5227.000000,25.973405554,102838810,171543664,8445794463,196173,401694,54714,2991599,65693887023,65650887003,172639328,147120596,100102105,7352,0,0,100254258,15820273531,100967779293,75722718229
membench,1,dram,seq,150,40000.000000,9.757117910,102817312,170238617,7556776607,180750,639881,1979878,2930910,402359416,118872123,171861590,144708710,0,1390,0,0,100423530,20257018933,37901983882,91665576716
membench,1,dram,pgn,150,9731.000000,17.858379441,108777020,178083523,7755698339,98783340,100480412,1985583,2943102,31421684922,31322673860,177812910,149076079,0,3190,0,0,100399143,20340073390,69305538646,92019156635
membench,1,dram,rnd,150,9585.000000,18.871455415,100924671,170192862,8248469428,98350264,100557784,1986325,2944756,31450861973,31188112581,172882534,149523204,0,2491,0,0,100314231,20824339780,73238742506,95230671025
membench,1,dram,seq_prefetch,150,37850.000000,9.907430454,103189888,170007668,7750886805,152803,625239,1983826,2948714,450059572,155889157,172667236,147712304,100025457,1852,0,0,100542136,20277247550,38469288106,92102917452
membench,1,dram,pgn_prefetch,150,32573.000000,10.316431398,109351584,177239653,7957269318,181394,377538,2011607,2892104,4210735964,4158313681,176650857,147899922,100181879,3773,6319,0,100340770,20345522859,40070356072,92558901096
membench,1,dram,rnd_prefetch,150,25182.000000,11.758022298,102540073,170476225,8427730544,150843,347944,1981984,2860293,3768579710,3725204829,170396809,144445182,100471511,1441,6320,0,100325967,20853276055,45666604497,95556158249
membench,1,pmem,seq,150,38669.000000,10.069534931,102853259,170553653,7556790553,169722,661553,28357,3043209,567886190,509008149,172782678,148801336,0,1338,0,0,100462794,20270847413,39125924696,91686638680
membench,1,pmem,pgn,150,2470.000000,47.994080943,107431156,177734055,7727819173,252761,100359434,81078,3005899,149088446127,148997630748,181130369,149544420,0,5117,926,0,100277785,20332513774,186568823522,92046084213
membench,1,pmem,rnd,150,2455.000000,49.426929490,101084881,173074430,8268549490,255557,100325715,89822,3073807,149153307569,148898291681,175062270,145444429,0,2257,19,0,100276376,20814348501,192130856069,95327795786
membench,1,pmem,seq_prefetch,150,36153.000000,10.271302626,103699240,170311580,7722831943,724459,1312136,30285,3001650,790241734,712815840,171424116,153684860,99765040,5001,0,0,100310657,20299329111,39905927163,92212321402
membench,1,pmem,pgn_prefetch,150,5565.000000,25.793425189,109329150,176583626,7930913015,200252,512103,50179,3022799,62533824549,62208739729,180055963,146588329,99929399,6481,23,0,100258463,20334492804,100259760801,92482816832
membench,1,pmem,rnd_prefetch,150,5396.000000,26.544088977,102832637,170912399,8464007825,197920,629164,57964,2981060,63504539609,63334285967,171637336,145447509,100139671,1387,0,0,100286740,20824986062,103188975057,95666785540
membench,1,dram,seq,200,40209.000000,11.042210652,102848802,170002617,7545352826,174996,687787,2026905,2942400,441647355,148666949,170265890,145512142,0,5472,0,0,101271280,25283266954,42868784675,111681527442
membench,1,dram,pgn,200,9797.000000,18.745539220,107312335,177104178,7759289123,98318105,100422219,1983365,2894566,31368561561,31310095619,176961607,143477341,0,1461,6604,0,100232934,25331073272,72799909514,111996599635
membench,1,dram,rnd,200,9576.000000,20.184487827,100899098,170549384,8258703134,98288936,100543920,1995347,2918089,31350434803,31278578605,170758878,144756888,0,4886,9007,0,100239489,25826437146,78399346057,115288371342
membench,1,dram,seq_prefetch,200,38226.000000,11.153376979,103177185,170554379,7759936757,159182,641115,1972644,2935142,165745493,98929405,170283185,145959768,100147940,3584,0,0,100296572,25248439036,43321777814,112024175773
membench,1,dram,pgn_prefetch,200,34129.000000,11.448047095,109369403,176996552,7949312358,175333,385622,2026146,2877848,3155487785,3100857309,176416194,143450340,100112687,2352,6303,0,100300759,25365004987,44468328905,112564000549
membench,1,dram,rnd_prefetch,200,25412.000000,13.044412917,102574448,170561557,8449935501,143053,346549,1976385,2877021,2995286973,2933535669,170395981,144041019,100028206,3907,6301,0,100307938,25856851464,50677971270,115594206723
membench,1,pmem,seq,200,38895.000000,11.345779338,102954207,169696559,7548286944,167725,672240,37812,3013024,804687151,498117767,171749685,150877003,0,5201,0,0,100587896,25281191618,44089381246,111709984894
membench,1,pmem,pgn,200,2468.000000,49.292118046,107436134,177236365,7759017411,261210,100385935,84801,2998188,149178472618,149076843338,178976754,147754885,0,5149,5517,0,100278519,25318548341,191610941754,112014646328
membench,1,pmem,rnd,200,2457.000000,50.701389619,101115138,172400341,8261148132,768084,100989148,93603,3121767,148917066239,148816374671,174313864,149071221,0,14499,14,0,100290411,25810376323,197094743585,115234696057
membench,1,pmem,seq_prefetch,200,36310.000000,11.516225219,103363816,169428460,7764708753,178894,668877,31314,2982016,742490454,662493214,170921182,148047247,100047558,5536,4845,0,100396517,25277453256,44754719304,112089646783
membench,1,pmem,pgn_prefetch,200,5720.000000,26.241073290,109316289,177686215,7941077617,196233,434817,57886,3033679,60832304458,60538497318,179143645,148076033,99960873,14688,0,0,100289594,25330951366,102005349883,112559192307
membench,1,pmem,rnd_prefetch,200,5607.000000,27.279718957,104085919,173227256,8476497662,697652,417690,51144,2943957,60772964864,60715529968,170518902,143658374,100153894,1396,9,0,100243718,25819295837,106050170330,115673761509
membench,1,dram,seq,250,38491.000000,12.565995023,102761034,170374332,7546548735,1427590,1963127,1970847,2973565,864404306,568440795,173194083,149238088,0,1918,0,0,100418744,30288740273,48814837037,131745328516
membench,1,dram,pgn,250,9843.000000,20.000480530,107361820,176772291,7764091620,98815747,101031811,2033219,3006922,31264386505,31193950860,177306273,144528249,0,1482,0,0,100289036,30344521060,77683330952,132056582118
membench,1,dram,rnd,250,9584.000000,21.480033173,100930635,171016931,8261103897,98258769,100406530,1990126,2941955,31299057907,31230561110,171007866,145229089,0,2746,6624,0,100306830,30837052719,83426852162,135328280531
membench,1,dram,seq_prefetch,250,37878.000000,12.472350350,103049990,172588573,7761856828,709981,1421888,1974036,2936205,166933456,96002765,169619991,143083188,100315942,1411,23,0,100368649,30277190916,48446473881,132097293485
membench,1,dram,pgn_prefetch,250,35298.000000,12.651756061,109294469,176882543,7950080419,181989,391005,1976541,2856893,2939961792,2902097148,178673449,145017503,100070911,1389,0,0,100326368,30372560959,49150374351,132589717667
membench,1,dram,rnd_prefetch,250,25953.000000,14.268878606,102776492,170381774,8453115421,145988,353933,2000842,2935151,2769743538,2718236723,170938468,143965296,100161140,3486,0,0,100260941,30833544143,55431111080,135702565639
membench,1,pmem,seq,250,38744.000000,12.639235199,102819788,170381712,7561419782,188655,752334,41109,3105908,814021769,516799912,171269867,145126552,4,1360,0,0,100398819,30284703870,49117982150,131743104452
membench,1,pmem,pgn,250,2477.000000,50.417256006,107381437,178906046,7780036640,265945,100343177,88536,3018337,148822938843,148580142995,181317250,148195968,0,1373,0,0,100244889,30319825697,195986308536,132016086965
membench,1,pmem,rnd,250,2456.000000,52.013384270,101109120,171293720,8272638871,268590,100400264,90247,3176345,149281087474,148983887653,176070330,146425950,0,3859,0,0,100248394,30796251459,202200232732,135110791086
membench,1,pmem,seq_prefetch,250,36192.000000,12.814615389,103200829,170516450,7768587778,183880,729455,34026,3022039,732351024,651169076,170678783,149187218,100153621,2090,5157,0,100337824,30275668718,49791446532,132162098312
membench,1,pmem,pgn_prefetch,250,5957.000000,26.830707510,110616531,178999859,7975206251,743774,445920,52555,2996742,57890439782,57808857339,178504167,147730236,100080446,5928,0,0,100261830,30333460493,104300286851,132456417254
membench,1,pmem,rnd_prefetch,250,5842.000000,27.880190319,104139400,171853084,8475508987,207307,413161,55773,2977837,57877336124,57856097359,171217633,146774359,100166795,1362,0,0,100240153,30832494438,108346896759,135755984894
membench,1,dram,seq,300,39952.000000,13.639963963,102879724,170378867,7547084130,220367,773435,2003039,2988990,244700800,189851861,172982905,152438084,0,4255,38,0,100444287,35304840857,52970261526,151799043230
membench,1,dram,pgn,300,9800.000000,21.326733065,107366911,177042660,7760757526,98392768,100437776,1993065,2916634,31382571554,31307291518,177768240,145198163,0,4039,6328,0,100290628,35346034400,82798407063,152111900447
membench,1,dram,rnd,300,9596.000000,22.722378597,102356734,172471841,8272986976,98670987,100285060,2006454,2926316,31249536085,31211639709,171283162,142653465,0,1382,0,0,100279305,35843041983,88257441263,155345057409
membench,1,dram,seq_prefetch,300,38109.000000,13.742546171,103889230,170723042,7762274100,152578,722490,1984324,2913435,190650550,121352835,170501538,148269829,100106508,5039,0,0,100297846,35264629728,53342731203,152059711557
membench,1,dram,pgn_prefetch,300,35765.000000,13.894001638,110621218,176967010,7953124262,169840,383705,2013658,2852790,2631296598,2579912858,177243642,144795556,100074766,1983,0,0,100307838,35366276852,53980400201,152553220494
membench,1,dram,rnd_prefetch,300,26068.000000,15.488779206,102590088,170751735,8447834732,148663,354536,2008405,2884265,2639475445,2586033538,170849547,146273209,100235524,4635,0,0,100556012,35928382694,60175261468,155737454842
membench,1,pmem,seq,300,38774.000000,13.918482219,102798727,171290428,7571482762,681091,1400758,41722,2979105,571291116,491318600,169526246,141883124,0,1364,0,0,100337130,35290684328,54093186381,151807203362
membench,1,pmem,pgn,300,2466.000000,51.880961824,107515659,178702552,7766164639,271114,100377781,88714,3019252,149269192511,149173442496,181299593,154108475,0,8066,5794,0,100298896,35323256126,201683513373,151911343741
membench,1,pmem,rnd,300,2463.000000,53.075758895,101020696,172620684,8246760994,269861,100374704,90152,3046745,148673097949,148393724097,176202004,150619818,0,8159,0,0,100299703,35826102705,206330337065,155331342322
