exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,context-switches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.001116137,,712,9520,139506,196,0,,,,,,,,,,,,,,,,,,
membench_data_init,1,dram,,,,0.958641671,,3104410,50335787,1218788544,105577,197641,1455310,2002931,47596573,12845748,50583955,109316235,0,1044,0,0,12053,815664027,4,3717944847,6626591160,542993,548453,0
membench_pregen_init,1,dram,,,,1.017731888,,1974714,52120146,1298751402,105381,203453,1458574,2055737,50515326,13401201,52654737,111703588,0,3399,7570,0,28073,863435996,4,3948291760,7051943673,108753,108370,0
membench_base,1,pmem,,,,0.000728808,,833,9796,140633,237,0,,,,,,,,,,,,,,,,,,
membench_data_init,1,pmem,,,,1.118222509,,1938609,50973998,1218094739,104554,200753,10390,2045906,46188947,12666072,50946404,106328540,0,1031,0,0,34853,815796644,2,4340931548,6596284441,566386,96719,13
membench_pregen_init,1,pmem,,,,1.183025572,,1989528,51996438,1298647608,108590,213428,8759,2124710,48149363,13767050,54506103,110762121,0,1761,0,0,26091,866630887,1,4589122965,7141752619,102782,105437,4
membench,1,dram,seq,0,42223.222656,5.490136464,0.000016,103164672,169231382,7521668846,151759,410687,1983596,2795338,193269272,153771799,172630080,152827160,0,3684,0,0,33643,5413215787,13,21312874576,32471980140,142579,142873,0
membench,1,dram,pgn,0,9907.765625,13.219707829,0.000016,107336969,176166700,7730313392,98066663,100873735,1977046,2911085,31535380969,31450942280,178717997,152902741,0,3106,0,0,51273,5488121120,24,51351209285,32775246656,98508628,98491005,0
membench,1,dram,rnd,0,9656.984375,13.487964979,0.000016,101050506,169504096,8116150792,98201558,100358750,1993624,2906463,31384602865,31075305569,174659753,153655812,0,3647,0,0,52996,5986044195,20,52381107505,36186233949,98134381,98140114,0
membench,1,dram,seq_prefetch,0,38482.437500,5.719808332,0.000016,105679719,170908802,7702741718,295664,411055,1939693,2817501,296730842,239615361,171637732,152884608,99498814,2496,0,0,31521,5419992712,14,22218308389,32944467809,135344,132838,0
