exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds_time_elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions
membench_base,1,dram,,,,0.001269389,600,9588,138587,131,,,,,,,,,,,,,,,
membench_data_init,1,dram,,,,1.002142427,1910219,51093468,1354337723,480562,679015,1432024,2052518,48397627,13010566,51144265,106637840,0,1039,0,0,14440,810221307,3886211002,6739472810
membench_pregen_init,1,dram,,,,1.631167922,2640928,70134099,2251612057,141099,288872,1936865,2785886,67857022,52352666,70412485,146120091,0,1412,0,0,21607,1417109806,6328846404,11565277516
membench_base,1,pmem,,,,0.001053559,617,9574,137087,156,,,,,,,,,,,,,,,
membench_data_init,1,pmem,,,,1.172543446,1962618,51192633,1352131904,104442,213595,10042,2138821,106046195,49983418,51609130,105560821,0,1010,0,0,16817,810033448,4552592252,6746676922
membench_pregen_init,1,pmem,,,,1.831429186,2623476,69884536,2244853170,667145,952366,14568,2680505,65380188,18856535,70607387,148428114,0,1396,0,0,23970,1424766880,7111851480,11560469833
membench,1,dram,seq,0,38744.000000,5.795514293,103360342,169939556,7552417737,162511,945306,1992955,2901776,294227321,163230776,170148311,150132618,0,3340,0,0,38678,5224826482,22506303055,31502806420
membench,1,dram,pgn,0,9893.000000,13.325617920,107394986,176912315,7749701379,98397983,100460448,2019297,2963737,31435429786,31133245348,178381755,146153439,0,5820,0,0,58972,5297346902,51715548846,31862170070
membench,1,dram,rnd,0,9608.000000,13.610166409,101815488,171606031,8263852211,98565768,100451303,2032723,2908745,31084779328,31016794813,170586240,144937170,0,3012,0,0,76927,5802111709,52844285167,35190695239
membench,1,dram,seq_prefetch,0,37202.000000,5.898060197,103038510,170202191,7758163720,146689,457792,2006937,2883354,197507855,138730462,169761565,147746201,0,2963,100499321,0,43723,5216532685,22907681481,31903966298
membench,1,dram,pgn_prefetch,0,20644.000000,8.054080958,108919395,178354608,7960141285,533105,657790,1995150,2923194,11590157368,11532182519,176647538,144079159,0,1367,100595499,0,55248,5308529677,31275783979,32353051032
membench,1,dram,rnd_prefetch,0,17831.000000,8.818265163,102596181,171409633,8462182278,690404,590534,1996916,2912294,13022024963,12964693007,171036514,144780306,0,1372,100525815,0,53448,5806170714,34221871288,35655359142
