exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.001386134,755,9681,135731,214,,,,,,,,,,,,,,,,,,
membench_data_init,1,dram,,,,1.007054539,1931005,51603785,1348412911,108712,205805,1410034,1980301,48373465,13822250,51104232,104812364,0,4912,2158,0,14241,814040747,3885363837,6761245249,103643,102481,0
membench_pregen_init,1,dram,,,,1.625599416,2640985,70554807,2255906712,149875,288066,1933055,2687639,65303077,18757570,69923751,141751115,0,8589,4958,0,23092,1420672028,6301893456,11610016587,145514,145074,0
membench_base,1,pmem,,,,0.001018487,658,10163,141537,204,,,,,,,,,,,,,,,,,,
membench_data_init,1,pmem,,,,1.179666486,1981595,50846539,1347543642,109218,210140,10405,2093837,62212293,48556341,52171248,107145874,0,989,0,0,17190,812364602,4579213435,6700177366,102038,50704,4
membench_pregen_init,1,pmem,,,,1.836935743,4287457,70087243,2237630927,151547,299962,14632,2602006,70187326,20931702,69380888,156679531,0,1377,0,0,23152,1425690050,7133515090,11478442761,707202,680687,188
membench,1,dram,seq,0,38895.000000,5.790278870,103598981,169819708,7546234797,152942,434447,2032605,2811004,145647966,90756931,171031770,151044611,0,5569,0,0,60665,5227271142,22437842680,31462678101,739515,739777,0
membench,1,dram,pgn,0,9853.000000,13.352073805,107458522,177020532,7765472215,98216656,100374507,2076794,3007469,31253791462,31166052992,178015722,148673719,0,7608,0,0,87498,5306582558,51750956586,31862371890,99296477,98807765,0
membench,1,dram,rnd,0,9589.000000,13.666098353,101201684,170382847,8255667951,98265198,100507002,2016373,2827488,31400491867,31084376771,174863269,149826024,0,1377,0,0,79634,5813969909,52922924578,35236510873,97428357,97426860,0
membench,1,dram,seq_prefetch,0,37188.000000,5.905931094,103841246,170744623,7749365580,931222,1223649,1915291,2754290,190459598,132832901,171772042,146797707,99183810,6907,0,0,47790,5214894167,22851132623,31866219951,137975,135837,0
membench,1,dram,pgn_prefetch,0,20517.000000,8.091658831,111047530,179514875,7979243298,232997,436632,1906341,2716849,11693437192,11636577562,178540002,148047545,99457717,15515,0,0,52083,5305866009,31373131968,32329802934,212924,780094,0
membench,1,dram,rnd_prefetch,0,17724.000000,8.847604631,103204106,169977189,8452695693,149540,350499,2098587,2816130,13279246791,13230033636,172406212,149858227,99578439,9041,7673,0,80069,5810009121,34285256243,35623558449,135851,135970,0
membench,1,pmem,seq,0,38284.000000,6.057134139,104016243,170370193,7554259897,180548,484596,23608,2805918,359894380,299860651,170785384,146299267,0,5496,0,0,38859,5228348059,23535833436,31549145746,741546,711973,10085
membench,1,pmem,pgn,0,2380.000000,45.432904305,107382991,178849148,7776023978,265625,100501143,92342,2802513,155553126784,155199596697,178559739,148231960,0,1419,33,0,177163,5327555490,176612576197,32142105175,98560629,135700,98357276
membench,1,pmem,rnd,0,2312.000000,46.711079441,101023107,172054482,8286142256,270959,100273006,89699,2920255,158613563218,158522166733,174329779,151281461,0,1545,10,0,189789,5798876012,181557424519,35241869183,98715448,671752,97961390
membench,1,pmem,seq_prefetch,0,35778.000000,6.236409392,104032452,170653356,7755783726,159405,454663,20385,2856729,565421550,504411758,170244290,148762513,100454027,1937,0,0,43101,5225452632,24232751133,31906426786,681256,665394,283
membench,1,pmem,pgn_prefetch,0,4974.000000,23.532904582,109174897,177978262,7994175996,205537,482806,48005,2827969,71085086594,70986508122,179667940,148855559,99987127,1343,0,0,106616,5320755488,91483728115,32478723033,251832,137613,79636
membench,1,pmem,rnd_prefetch,0,4793.000000,24.276506744,104406338,170970983,8428414090,199572,389008,51099,2652521,72550104273,72492771823,172019592,149930834,100020378,1352,0,0,102069,5826280555,94363547907,35867857757,741539,704034,1287
membench,1,dram,seq,100,40241.000000,8.459542043,103143610,169442529,7548424726,926205,1294942,2038372,2833933,126060754,62565747,171796190,153201887,0,6156,27,0,100545178,15263414520,32864516223,71688332245,143373,143802,0
membench,1,dram,pgn,100,9851.000000,16.111223158,108591116,178965774,7777865811,98855787,100599336,1976791,2820717,31173327566,31104321694,179226671,148677199,0,16230,0,0,100374920,15326307973,62569459725,71979811323,98721559,98728693,0
membench,1,dram,rnd,100,9595.000000,17.595609708,102570723,173103547,8276227524,98174783,100461101,1977507,2818433,31197504038,31129895461,172998426,149700428,5,15420,0,0,100412205,15824243799,68289648865,75235093514,97042367,97516438,0
membench,1,dram,seq_prefetch,100,38226.000000,8.575076903,103337209,169955066,7754065760,149639,517487,1963346,2750865,153597726,90610457,172611949,149198625,99379770,8492,3498,0,100620644,15266250595,33300105938,72089022407,134488,138463,0
membench,1,dram,pgn_prefetch,100,28081.000000,9.527706179,109663410,175171794,7948068150,174434,364665,1915140,2845729,6739480373,6428380151,178744688,147895400,99493204,5594,0,0,100270998,15351828263,36963280566,72534722063,163289,158233,0
membench,1,dram,rnd_prefetch,100,24277.000000,10.655053065,103253404,172569762,8472564919,881707,954417,1904776,2726059,6094864394,6086503540,172622844,150496921,99908430,5855,0,0,100661374,15887498767,41369606220,75824550173,134703,134688,0
membench,1,pmem,seq,100,30950.000000,9.672117307,104174267,171067283,7573325283,175658,2105796,29164,2860735,3016468352,2948158561,170316805,148327533,0,3115,0,0,100480753,15260468275,37576083300,71668693188,2071377,694343,1352840
membench,1,pmem,pgn,100,2468.000000,46.703357850,107457481,179134204,7810669068,265095,100276640,85330,2900923,149310475583,149221759976,178522386,149086505,0,5546,38,0,100241709,15326127159,181489240694,72091881635,98960100,134083,98316675
membench,1,pmem,rnd,100,2458.000000,48.027272051,101009639,172297112,8278788831,269941,100502967,90781,2860700,148796901526,148731374638,171762363,148519683,0,1423,65,0,100222494,15833874460,186667492179,75447280028,97320366,681987,96622747
membench,1,pmem,seq_prefetch,100,36697.000000,8.927512739,103189365,170460381,7767219064,168220,522633,26420,2893583,521029156,447316330,172712820,148804059,100158499,11202,0,0,100345853,15242657114,34676396398,72119877480,151519,139768,4
membench,1,pmem,pgn_prefetch,100,5334.000000,24.919396070,109170514,177806100,7976000674,953865,1177985,49811,2814194,65511423548,65428958256,177284611,148560550,100043903,1370,0,0,100151479,15326079200,96861782200,72494327096,192991,135337,24412
