exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.001002000,922,9584,135758,203,,,,,,,,,,,,,,,,,,
membench_data_init,1,dram,,,,0.964135582,3045490,50565262,1206693131,108299,209095,1361990,2024990,47587355,14374275,50790357,113320789,0,995,0,0,16270,815597420,3731018579,6559458399,105223,521443,0
membench_pregen_init,1,dram,,,,1.574863777,4325209,71374386,2036180235,138896,287522,1976733,2840650,66665938,20192415,70046719,143581138,0,1437,0,0,22622,1417498259,6103237318,11537308911,419760,737128,0
membench_base,1,pmem,,,,0.000781177,461,9948,137790,151,,,,,,,,,,,,,,,,,,
membench_data_init,1,pmem,,,,1.136171530,3167202,51834164,1222954569,104645,215831,8828,2100629,61606779,16651873,51168419,107585725,0,1004,0,0,17119,807398476,4405101541,6634316207,104175,467783,164
membench_pregen_init,1,pmem,,,,1.795119623,2668749,70819691,2013635261,137339,286812,12955,2936734,83070382,76850004,72647613,150059595,0,1362,0,0,25225,1400078190,6958329040,11437664106,134825,118150,0
membench,1,dram,seq,0,42196.566406,5.484273844,103041022,169702556,7331253253,178557,475998,2097187,2972667,545281242,223882138,171503795,151344003,0,2509,0,0,43398,5210476995,21261651420,31764955969,158254,152859,0
membench,1,dram,pgn,0,9912.031250,13.188331284,108863275,176736575,7547245354,97999578,100151271,2096047,3014760,31492327897,31468533176,177420768,144465278,0,1417,0,0,83589,5307469064,51197067029,32216521376,98834912,98817015,0
membench,1,dram,rnd,0,9627.383789,13.503578386,101096456,170348445,7942347909,97994727,100169820,2009456,2966080,31404334635,31361784775,173894676,147316858,0,1459,2095,0,89722,5799824010,52405321036,35629465162,98007920,97970778,0
membench,1,dram,seq_prefetch,0,39072.679688,5.662191730,103444789,169353640,7522169548,166795,457803,1970837,2923428,572408964,260849516,173289272,146070696,100698786,1398,0,0,58838,5219318923,21988201470,32308836910,145474,138440,0
membench,1,dram,pgn_prefetch,0,20715.208984,7.946489685,107277289,176430442,7728030295,260076,414439,1994530,2945016,12398928477,12121941290,180111300,143098762,100513299,1434,0,0,56762,5316403221,30862695257,32768975459,230206,222379,0
membench,1,dram,rnd_prefetch,0,17895.375000,8.697566858,102412846,170199128,8131122185,168093,332965,1960460,2852769,13307732908,13266603127,171907580,146479606,100323431,1389,0,0,65270,5801938082,33782725215,36120485595,709138,697775,0
membench,1,pmem,seq,0,29073.232422,6.781277565,102505004,171510599,7326264788,834929,1240323,23531,2987115,4552984843,4482460513,170702846,151391237,0,1414,0,0,55330,5224954654,26307103537,31875682396,159576,134568,21429
