exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.004568162,3993,21006,234159,728,1509,,,,,,,,,,,,,,,,,
membench_data_init,1,dram,,,,0.814795326,1923086,50552331,276641954,106653,421653,1495946,2103704,175451327,35282922,51098636,107563200,0,1020,0,0,14158,409774058,3151555141,4455751334,98357,97186,0
membench_pregen_init,1,dram,,,,1.328508686,2612229,71426017,485410169,916611,1062864,2117772,2921413,68971040,19843038,69332834,147955925,0,1403,0,0,22502,713864072,5135272907,7735363672,138022,133446,0
membench_base,1,pmem,,,,0.000771382,2278,5160,103703,473,,,,,,,,,,,,,,,,,,
membench_data_init,1,pmem,,,,0.989764133,1943686,51056728,278607532,108302,209955,14593,2123866,290418779,55701889,51855457,107530916,0,1011,0,0,15791,408473452,3761015205,4447256843,107399,61882,13
membench_pregen_init,1,pmem,,,,1.544583672,2699697,70394443,479381683,145603,292413,12747,2926928,70813222,20198918,69231217,145449049,0,6336,8037,0,32815,708449807,5990329094,7667011832,137798,118672,13
membench,1,dram,seq,0,57793.613281,4.700177035,2654868,69663095,4682088948,160974,293280,2072364,2816115,188007692,76398432,71524534,148590778,0,1379,0,0,40572,4512959912,18205022081,25803731729,142394,140726,0
membench,1,dram,pgn,0,56891.300781,4.702638767,8672289,75391992,4997776902,194102,343614,2114812,2873815,138449938,93506710,76359951,144420810,0,1404,1399,0,41263,4806417435,18233101243,25722498062,200752,199606,0
membench,1,dram,rnd,0,51798.414062,4.870890930,2663960,69200477,5005720700,157161,291576,2080654,2866980,324068241,77787116,72137061,145581830,0,1405,0,0,35368,4908078092,18888801738,28203099945,148390,145413,0
membench,1,dram,seq_prefetch,0,57031.628906,4.716024633,218656052,170474603,4900424163,175788,365075,2059851,2839727,75302841,24968835,169518604,145063630,100216649,1391,10438,0,59675,4505906230,18285473897,26089342121,143760,142210,0
membench,1,dram,pgn_prefetch,0,57043.863281,4.694084425,109458210,176157997,5212147817,167715,340333,2051462,2896615,391682153,87185685,177947119,146548387,99713694,1411,0,0,37055,4809040573,18229990233,26038861868,155383,150262,0
membench,1,dram,rnd_prefetch,0,45390.257812,5.162948059,103082751,169965492,5187845477,156834,335319,2100234,2861969,74002905,25132059,169898737,143968269,100129124,1373,0,0,56711,4914285108,20054561923,28522014881,492957,139378,0
membench,1,pmem,seq,0,57907.000000,4.912336442,2675647,70286436,4667783671,153098,306605,17441,3001053,72549025,22454872,71113082,147393317,5,6397,0,0,41211,4545121646,19067818275,25747143087,702956,696278,146
membench,1,pmem,pgn,0,56753.398438,4.932092989,10255632,78737369,4958909347,867710,366875,17587,3003683,169543718,114741510,77561348,148652563,5,2685,0,0,39036,4848641326,19141993486,25688119324,185881,133962,54034
membench,1,pmem,rnd,0,51883.339844,5.092960791,4280574,70894037,4967436588,155901,313032,16504,2965577,77768662,24281885,70631033,150482254,0,6760,0,0,43356,4946621409,19776840223,28185435231,675670,672032,137
membench,1,pmem,seq_prefetch,0,55602.789062,4.981720841,181377204,170582628,4880441244,154253,403264,16581,2995087,74255203,25428265,170017677,155996438,99214142,2916,7425,0,63389,4527272686,19347102150,26077387393,142322,139095,8
membench,1,pmem,pgn_prefetch,0,46154.945312,5.363010419,111726030,178188167,5182906866,154803,640900,16503,3014668,273663678,218545296,176197170,228468827,99632873,1406,0,0,43074,4810716487,20823728497,26030860225,432669,748771,298679
membench,1,pmem,rnd_prefetch,0,44317.207031,5.433458519,103349813,169799819,5179719174,150757,339951,17863,3021528,79387602,25511790,170506065,159067250,99139855,6851,0,0,41546,4938412622,21098113604,28468273595,711094,708531,17
membench,1,dram,seq,100,58259.304688,7.597893952,2607982,69289474,4695205467,161413,307933,2058453,2880129,291517098,82233264,72013126,147762019,0,1385,0,0,99823498,14489242497,29498630622,45863085611,151320,138766,0
membench,1,dram,pgn,100,56837.007812,7.621062927,8646556,75898534,4989323339,218941,383653,2074934,2862771,148101431,101446908,75985539,143931268,0,1412,10068,0,99726617,14775715177,29572939433,45812248400,201454,203280,0
membench,1,dram,rnd,100,52614.742188,7.776051200,2622244,68884848,4991981410,151142,295164,2097583,2877354,72405748,78970761,72053398,146287154,0,1402,0,0,99960789,14902354550,30205622139,48321980106,142395,137542,0
membench,1,dram,seq_prefetch,100,57421.402344,7.583050421,260625907,169363454,4886635964,409039,1165942,2082049,2910113,72530665,22864955,169916941,145601912,99810847,1410,0,0,100061386,14516278113,29444626833,46208632347,141909,140271,0
membench,1,dram,pgn_prefetch,100,56564.828125,7.656734984,110686001,178086068,5189616482,339695,335221,2068412,2911371,73633418,24553634,176295684,144670608,99872263,1385,0,0,99976390,14810081336,29715106169,46139742753,150331,146885,0
membench,1,dram,rnd_prefetch,100,46070.359375,8.044222964,102846172,169519745,5185904021,148479,319793,2057024,2883752,71262913,64996176,172279992,144863960,99682639,1408,0,0,99976791,14905473451,31195069923,48622063791,139895,139120,0
membench,1,pmem,seq,100,58262.359375,7.857294617,2751751,67979770,4686262177,156603,304480,21908,3054722,398843787,81716346,73942883,144047084,0,9174,0,0,99976931,14520828612,30539981227,45980701516,144957,137964,13
membench,1,pmem,pgn,100,56855.980469,7.867734340,8596200,75449574,4988226725,160015,327331,23380,2973216,143101799,134109065,78601538,147308353,0,1386,0,0,99764632,14786413493,30578652339,45838239834,155708,134555,14403
membench,1,pmem,rnd,100,52636.093750,8.028007513,2614781,68548341,4996470650,157311,305451,31829,3022201,397271237,80427032,70590994,147990738,0,1416,0,0,99823919,14891246276,31202197561,48333467208,147373,134867,13
membench,1,pmem,seq_prefetch,100,57269.933594,7.846826269,225445404,170355157,4893895908,921186,1150504,23189,3051901,87800739,29313039,170048765,149139315,99832721,1382,0,0,99909996,14502432579,30476379140,46215864506,141049,131233,22
membench,1,pmem,pgn_prefetch,100,56549.058594,7.911730570,111124041,176398970,5179845176,165493,355748,25379,3012720,89252801,32993802,176226009,145225118,99876746,1395,0,0,99889292,14798809616,30740946724,46123226844,702475,684198,9449
membench,1,pmem,rnd_prefetch,100,46248.378906,8.302488582,102677155,169696372,5185959371,164159,336642,23837,3027615,400986680,83681813,173271084,150603628,99974068,5589,0,0,100013155,14907365439,32257964767,48646630973,143674,132442,17
membench,1,dram,seq,200,58279.031250,10.182431315,2591731,68701094,4685267349,147326,301067,2045874,2893256,69040548,19874861,70278208,144867086,0,1398,0,0,99908907,24481488760,39550659048,65921332329,715783,425610,0
membench,1,dram,pgn,200,56901.207031,10.194354501,10241754,76840338,4982197646,174889,339038,2084115,2875314,139523604,87861848,75996272,146226576,0,1395,0,0,100131731,24825035731,39593842125,65775369469,764895,767375,0
membench,1,dram,rnd,200,52550.675781,10.359003578,2594466,69891044,4984876081,154301,304858,2078401,2883180,68636683,19557730,69717112,146542360,0,1382,4167,0,99866718,24872134154,40204205366,68310384583,139186,135411,0
membench,1,dram,seq_prefetch,200,57233.777344,10.174877429,256365298,170846937,4881018457,151109,372773,2103307,2968976,76867445,24813725,169906183,148388115,100185989,1381,5898,0,99994862,24495700596,39504070598,66164341646,130804,135116,0
membench,1,dram,pgn_prefetch,200,56383.867188,10.242354385,109069254,176271891,5181860378,159082,350978,2064782,2885935,167774964,80530513,178477237,146702667,99788991,1401,0,0,100009337,24816542702,39785366202,66133861255,151564,149985,0
membench,1,dram,rnd_prefetch,200,45976.566406,10.647529898,104034748,173052403,5186384726,320538,337355,2120018,2959270,73422933,23782202,169985843,148111618,100151841,1369,0,0,100147625,24933462574,41237990012,68579373285,130520,137122,0
membench,1,pmem,seq,200,58308.597656,10.409759433,2678209,68548739,4682269759,173907,322057,37990,3031391,391219196,81647384,73636342,145962946,0,1405,0,0,100098137,24565892883,40464277853,65885870146,145809,132674,8
membench,1,pmem,pgn,200,56752.593750,10.412992773,8655047,76444706,4982124869,171731,349862,31124,3021580,464745569,155158863,80828786,149030905,5,5564,0,0,100541977,24910375621,40474050532,65831826677,175679,136255,31205
membench,1,pmem,rnd,200,52435.578125,10.727389860,4296381,70353700,4979602516,169193,321828,28365,3004911,79714207,26519716,71148144,148202572,5,3236,0,0,100617263,25024861974,41667962754,68350649792,648518,689881,141
membench,1,pmem,seq_prefetch,200,57241.609375,10.378215765,231737012,172334177,4881530148,168812,408236,33713,3044047,88145697,29507483,171650010,147866319,99963135,2539,0,0,100565981,24611208424,40339741973,66245169206,145411,681415,127
membench,1,pmem,pgn_prefetch,200,56567.871094,10.618768746,109242255,176796329,5178739990,169326,360633,27827,3017657,93051504,34584305,177673544,151834660,99824013,6082,2890,0,100393247,24870061908,41261658248,66111140581,156568,139192,8910
membench,1,pmem,rnd_prefetch,200,46126.929688,10.828503636,104084996,172131228,5185295974,894703,515162,29246,3025329,89312621,30308386,171290728,147077017,100036928,2965,0,0,100509939,25000869662,42076654323,68629285817,144355,134648,4
membench,1,dram,seq,300,58300.199219,12.758768468,4239389,72140371,4691175946,245753,303967,2075815,2860655,71310623,22017405,69500065,146966831,0,1374,0,0,100103572,34524854406,49536545217,85897630407,135548,134279,0
membench,1,dram,pgn,300,56903.246094,12.774668591,8628782,76672988,4988051556,921388,1113399,2069849,2897105,137626924,85738860,76501988,146215944,0,1414,0,0,100065867,34809121797,49593258786,85817089239,163156,159587,0
membench,1,dram,rnd,300,52560.980469,12.927680613,4269357,70507952,4982777035,150636,295493,2113175,2913523,71634261,21542756,69390491,148494786,0,1384,0,0,100121445,34932223412,50194706182,88331356870,684650,684593,0
membench,1,dram,seq_prefetch,300,57174.320312,12.741856112,301253855,170235948,4882944765,438449,665995,2073758,2921548,78121433,24820762,170179073,146853804,100007144,1372,0,0,100093985,34514058990,49483998119,86159869488,763442,764204,0
membench,1,dram,pgn_prefetch,300,56417.042969,12.813534700,108764174,177209770,5180497160,154569,350404,2065592,2908698,80468677,27440774,176099791,148812958,100045299,1399,7657,0,100023973,34830927658,49767516330,86075814852,147060,144873,0
membench,1,dram,rnd_prefetch,300,46098.964844,13.182571789,102683657,170451442,5180319440,151991,342255,2039753,2915372,75210501,23724386,170306248,146489112,100016024,1389,0,0,100085941,34917345005,51213419789,88536817167,706460,707050,0
membench,1,pmem,seq,300,58268.539062,12.970493317,2680377,69636933,4684724208,171461,322619,30839,2982733,111601871,84399422,73970209,147150359,11,2056,0,0,100419319,34608753935,50399499658,85929100371,147358,132775,4
membench,1,pmem,pgn,300,56996.000000,12.986359750,8668640,76873767,4982820905,176718,360187,30178,3012816,160190984,101082079,77980787,147629050,0,3139,5569,0,100364437,34924883453,50475000871,85851026046,176479,136095,22114
membench,1,pmem,rnd,300,52535.246094,13.144172713,2668743,69917929,4983611592,173997,324918,29461,2981215,405054647,85272093,73803070,152500770,5,6549,0,0,100474781,35024932816,51090500493,88342978864,149913,134015,4
membench,1,pmem,seq_prefetch,300,57123.792969,12.961829887,248070025,170258901,4885116974,169421,414097,54829,3052057,397019024,86320594,173474454,148135563,99664232,5118,0,0,100467909,34620216089,50370603951,86252906937,144527,130207,8
membench,1,pmem,pgn_prefetch,300,56446.531250,13.029867072,109314233,178848877,5187071781,881309,1032824,30875,3029017,98071429,36651013,177855598,152206847,99862793,2217,0,0,100450502,34911025296,50640104961,86127776422,156550,133799,8856
membench,1,pmem,rnd_prefetch,300,46100.644531,13.403305974,102985089,169890745,5185704519,184727,368974,33871,3045330,399553497,87009161,174054767,148625932,99810288,2011,0,0,100421000,35011575023,52087100199,88607187365,151226,138811,13
membench,1,dram,seq,400,58299.589844,15.324452755,2594437,68848381,4678917816,961565,1132557,2066037,2954195,68639471,21725934,69742041,146432699,0,1398,0,0,100054091,44502293926,59523234006,105870798364,162813,159772,0
membench,1,dram,pgn,400,56861.246094,15.341208273,8675832,76178008,4978926154,182254,364354,2069730,2894042,451078341,146022122,79147370,147965077,0,1388,0,0,100078628,44808136520,59584327695,105791367159,168618,170058,0
membench,1,dram,rnd,400,52324.898438,15.500545233,2630749,69875520,4987230686,913921,1076507,2093859,2899494,71283024,21716569,69904709,147698246,0,1392,0,0,100078895,44913873648,60203917158,108263352553,137139,139925,0
membench,1,dram,seq_prefetch,400,56934.089844,15.321163966,327531378,170114770,4891412472,885114,1138213,2079762,2939665,79086929,25599232,170459453,146424324,99967783,1414,0,0,100064125,44505637795,59513177767,106198959122,138060,136672,0
membench,1,dram,pgn_prefetch,400,56515.023438,15.388377095,110362476,177059031,5180887796,156953,360934,2095018,2902448,84395139,29210460,175989332,147129673,100079301,1395,0,0,100144883,44838200572,59767465855,106105465247,705038,706857,0
membench,1,dram,rnd_prefetch,400,46203.398438,15.753821207,104256549,172691091,5188556310,614760,349214,2073718,2914040,75430390,24338629,170429822,146559687,100000677,1402,0,0,100084830,44918764029,61209023425,108603581271,139353,137332,0
membench,1,pmem,seq,400,58135.277344,15.545013426,2727069,70190136,4684989530,176193,326185,31624,3040402,88695376,30202415,71138834,146469408,0,1756,2091,0,100317238,44607806589,60422955710,105935340686,151064,136826,8
membench,1,pmem,pgn,400,56695.644531,15.567679404,10339002,77322013,4982327454,179723,367924,36024,3019035,167771499,105119389,78235624,150591175,5,2545,0,0,100393274,44932601413,60479709798,105858769799,721508,682868,28160
membench,1,pmem,rnd,400,52565.042969,15.744041329,4356567,70746632,4982449551,176605,325906,34628,3064208,93269531,31897995,70532252,149161152,0,1407,0,0,100001554,44871388934,61200057246,108360181952,302321,739461,154
membench,1,pmem,seq_prefetch,400,57181.089844,15.529971137,248968993,170256917,4882707832,179597,406098,51344,3035175,97349599,33646665,171843746,151912928,99774318,4810,6259,0,100396872,44618891505,60363435634,106272956107,149815,132934,26
membench,1,pmem,pgn_prefetch,400,56465.050781,15.604578299,109174634,176622267,5183265636,184010,376230,34865,3051334,406241052,93193652,180830254,152263538,99879335,1658,0,0,100389118,44921092841,60654299404,106143244137,159185,138139,6021
membench,1,pmem,rnd_prefetch,400,46019.035156,15.978171049,102914725,170252770,5187097845,183041,363411,35750,3030731,95423800,35065934,171656231,150802603,99829418,6682,8345,0,100292782,45012907617,62100560959,108664479772,149293,131593,4
membench,1,dram,seq,500,57855.906250,17.896201171,2592264,69194202,4679687289,151432,308223,2068640,2906060,280819835,76646970,72329878,147132768,0,1410,0,0,100032946,54489148236,69518498969,125858907151,139541,136160,0
membench,1,dram,pgn,500,56777.726562,17.918486300,8611459,76822119,4980915591,174897,362071,2098435,2942510,145840169,91016452,76808660,147739894,0,1388,6263,0,100008426,54766422026,69603142217,125816029109,164117,162402,0
