exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.001251209,596,9619,136318,129,,,,,,,,,,,,,,,,,,
membench_data_init,1,dram,,,,0.959186989,3124018,52264770,1214506320,108749,207778,1438207,2044524,50477233,14172546,51108505,107077869,0,1023,0,0,14819,814022812,3718107048,6634110936,104294,494852,0
membench_pregen_init,1,dram,,,,1.574562783,4303702,69916327,2026230901,149060,293215,1970287,2792258,69057504,19870626,70230227,145906375,0,1393,0,0,23720,1414055608,6068958139,11450781593,732360,731006,0
membench_base,1,pmem,,,,0.001226829,687,10184,140644,201,,,,,,,,,,,,,,,,,,
membench_data_init,1,pmem,,,,1.122607647,1931311,50838448,1219600849,107532,211609,8629,2097248,49888137,14533070,50937033,106077064,0,1014,0,0,15798,815322996,4349522722,6597749261,511784,515021,0
membench_pregen_init,1,pmem,,,,1.793248776,2665388,70077464,2036676462,144869,304845,13912,2986709,118133576,76788109,71769242,145928166,0,1417,0,0,27613,1410064708,6959198142,11558883505,136776,138456,0
membench,1,dram,seq,0,42241.464844,5.478827171,102884744,169156879,7328756832,167891,486615,1989987,2873423,522223558,203556262,171118000,153688978,5,1347,0,0,45428,5210085306,21215263466,31777933531,153139,150261,0
membench,1,dram,pgn,0,9859.420898,13.262707654,107348231,176008582,7542040145,98082509,100221010,1934734,2970478,31680150704,31656979750,178194477,148712667,0,1382,0,0,104047,5307334136,51411360192,32270798342,98225885,97933402,0
membench,1,dram,rnd,0,9528.425781,13.598083646,101083153,169448211,7925170920,98125505,100212265,1956227,3003722,31711268317,31638652499,172468051,146435537,5,5736,12244,0,94856,5802410573,52690655168,35562282669,98115096,98125303,0
membench,1,dram,seq_prefetch,0,39020.781250,5.671149671,103337803,168852169,7524882952,152526,465187,1934771,2864727,257581848,197966926,172679978,149727974,100033851,1444,1411,0,53726,5210295198,22000035123,32353586193,133100,133100,0
membench,1,dram,pgn_prefetch,0,20380.787109,8.031792288,107279107,176553284,7720581895,250415,408725,1981949,2912752,12677592118,12397398777,178216377,144543767,100298459,1417,0,0,60703,5315212965,31139571099,32725392463,225078,221739,0
membench,1,dram,rnd_prefetch,0,17714.402344,8.742062364,100971121,169483417,8120162534,158333,333096,1988116,2880001,13632225042,13464387976,173583314,148638281,100002021,1975,0,0,70118,5807310619,33924713914,36148774649,140407,136600,0
membench,1,pmem,seq,0,28738.201172,6.823151682,102599180,170078425,7334311558,168884,552082,24029,2942935,4776606485,4704712589,170227897,151611189,0,1468,8698,0,78636,5229416327,26488735414,31921388975,166471,138266,21384
membench,1,pmem,pgn,0,2306.924072,46.679133965,107347565,178837337,7491698316,274728,100489947,75009,3004934,160903441970,160804747523,182685359,154937538,0,11205,0,0,205535,5325728690,181424095010,32403375517,98064875,143830,97892184
membench,1,pmem,rnd,0,2239.623291,48.021245159,101063303,172677585,7956815442,257655,100306235,87922,3080637,164529194633,164427026404,173467390,150274935,0,1363,0,0,181920,5799920370,186623418204,35556607061,98354295,132676,97871512
membench,1,pmem,seq_prefetch,0,28528.708984,6.849773921,102674917,170237445,7536096763,162765,520890,23994,2985877,4021684284,3955751330,170937774,146826328,100197882,1382,0,0,65565,5216988329,26587987178,32392320740,712512,705192,279
membench,1,pmem,pgn_prefetch,0,4484.552246,25.652159939,107076213,177040812,7725296764,214423,454715,50784,2941064,80088786703,79993592250,178512192,153190054,99975070,7116,8702,0,145815,5329349581,99710404323,32942599800,236248,142156,67342
membench,1,pmem,rnd_prefetch,0,4356.640137,26.300489277,102540672,169962676,8089664241,212570,389976,55290,2908193,80761366670,80687599893,172947622,153429563,99979136,5557,0,0,111795,5839115619,102228295948,36331858768,709193,679950,1211
membench,1,dram,seq,200,43112.164062,10.800902723,102628359,168613647,7343990051,251188,757536,1948852,2905274,230840928,157289323,172187179,153331467,0,1602,0,0,100413845,25249355505,41901594702,111972917604,777409,284093,0
membench,1,dram,pgn,200,9976.219727,18.508860750,107312472,175598455,7533423201,98267051,100401157,1977576,2923256,31624674567,31284237752,181465997,154807337,0,2395,0,0,100323405,25327360861,71769902041,112202005389,98486771,98465193,0
membench,1,dram,rnd,200,9667.452148,18.797643137,100963094,170915563,7947329443,98140503,100293181,2069537,2986024,31325347341,31276453966,171082747,146028501,0,1525,7366,0,100187671,25822115217,72996179996,115737276840,98307692,98300013,0
membench,1,dram,seq_prefetch,200,40131.214844,10.966320727,103623876,169430782,7529419370,147598,641412,1970168,2941675,222935397,148810537,172357848,153664569,99819412,6842,7286,0,100348978,25247286751,42585460545,112439497705,136356,133110,0
membench,1,dram,pgn_prefetch,200,34778.375000,11.353518280,108767120,177834420,7726467409,704970,407103,2019791,2941515,3110138250,3055199783,178522726,152597541,99799345,3305,0,0,100510641,25379760619,44097670452,112954509593,218769,215106,0
membench,1,dram,rnd_prefetch,200,26399.134766,12.252166448,100833247,170899267,8131338847,146654,857051,2070685,2945224,3052227603,2916317019,171158397,151617064,99954850,6444,0,0,100430725,25864341706,47603590083,116340852366,138628,135605,0
membench,1,pmem,seq,200,38758.171875,11.282709270,102725777,168853139,7318479009,164130,1149383,39577,2976101,1443551679,1239246571,171089923,153022354,0,5596,0,0,100117965,25229316406,43772906220,111897686051,245002,144438,88828
membench,1,pmem,pgn,200,2371.845947,50.859253275,108996293,180419042,7518077843,272154,100418762,90273,3028899,156374218553,156273025543,179852720,147383671,0,5603,0,0,100223328,25335911435,197682551932,112449958159,98423391,384625,98231307
