exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.001113816,680,10345,139125,230,,,,,,,,,,,,,,,,,,
membench_data_init,1,dram,,,,0.807750999,1906294,51005820,411616709,243798,705016,1503729,2119040,46666655,12136030,51158153,105633959,0,1019,0,0,13716,544559637,3130139415,4730138620,103901,103644,0
membench_pregen_init,1,dram,,,,0.867136622,3276635,54215307,434754642,112718,216165,1603035,2198797,50923070,14453454,52358914,111372596,0,1039,0,0,14005,590770923,3364366987,5128508926,558883,567298,0
membench_base,1,pmem,,,,0.000851654,749,9949,141843,258,,,,,,,,,,,,,,,,,,
membench_data_init,1,pmem,,,,0.977173143,1902282,50696221,417536093,602580,716158,10807,2159493,48794217,13550634,51227640,110365622,0,1004,0,0,15337,541819775,3791376897,4723910012,100854,99735,4
membench_pregen_init,1,pmem,,,,1.047078701,3330490,53802806,434341080,111112,219760,11280,2262783,51897250,14485523,52459419,109951072,0,1068,0,0,15767,589517430,4062952253,5123074008,517254,521234,176
membench,1,dram,seq,0,58252.312500,1.180300125,13252020,63137389,845868376,110099,227506,1513664,2141947,67759185,36725816,62818884,109661448,0,1071,0,0,17470,882346710,4572357916,6574211338,109656,102579,0
membench,1,dram,pgn,0,10484.751953,1.970344336,12635394,62388382,851929413,10256688,10356158,1606030,2182894,3241988671,3202586275,64029595,112784111,0,1065,0,0,19109,929879528,7654014227,6686033255,9931518,10092784,0
membench,1,dram,rnd,0,10184.938477,1.994459948,12223080,62253036,865536427,10071810,10227389,1585679,2163681,3226772936,3188889384,62230746,111675136,0,1040,0,0,36083,955057616,7746043018,6914242012,9999666,10156067,0
membench,1,dram,seq_prefetch,0,59205.578125,1.188236007,12752064,62903668,860089888,110846,222279,1562991,2109287,80115280,43931389,61398510,109157915,9942190,1091,7423,0,16728,877153950,4601711160,6641823815,111902,109508,0
membench,1,dram,pgn_prefetch,0,21879.109375,1.467802570,12977088,64016963,870735909,117533,217992,1584555,2185903,1331459545,1297968723,62820730,109500316,10005941,1056,0,0,32957,926577955,5691739827,6604198014,228714,112387,0
membench,1,dram,rnd_prefetch,0,20332.103516,1.502170460,12717054,61970935,885682923,712735,832993,1629201,2189355,1353468794,1318253966,63099019,111558302,9684810,1059,0,0,16451,943236834,5830389641,6828717818,104245,102340,0
membench,1,pmem,seq,0,33493.429688,1.497444005,13658305,63843010,837810734,682110,247334,11264,2294993,572844393,534608274,62781100,110024760,0,1089,0,0,17900,886202108,5811657335,6549667170,111313,105668,5527
membench,1,pmem,pgn,0,2398.191895,5.349551686,12441969,62922601,862235210,129105,10193854,17940,2256656,15632453540,15584677579,64303760,115948518,0,1079,0,0,40880,916371072,20789509366,6408560097,10546021,506930,10056249
membench,1,pmem,rnd,0,2389.677979,5.365664632,13236623,63925684,877331985,326796,10183487,18105,2267396,15599098680,15559416061,64045184,114474508,0,1060,0,0,31019,948284706,20848926701,6680454466,10138856,100106,10078195
membench,1,pmem,seq_prefetch,0,35146.914062,1.471364812,12594668,63492530,841569792,110245,231512,9936,2218225,533214391,495833818,62751091,114128736,9982560,1038,0,0,25919,890335766,5711167026,6533703918,533376,507515,160
membench,1,pmem,pgn_prefetch,0,4528.710449,3.391762205,12632974,63118832,859436543,118087,234983,14671,2223156,8123580406,8080747013,63181649,114855404,9961830,1138,5934,0,38139,935012552,13179429711,6603107642,110027,103643,2195
membench,1,pmem,rnd_prefetch,0,4476.979492,3.430958406,13188429,64020260,880568329,118733,226720,14235,2265574,8145167384,8104370315,62605201,111289132,9979075,1055,0,0,26696,941686872,13330874817,6831373624,108697,109354,564
membench,1,dram,seq,500,59458.687500,2.489429511,12277080,61899661,819132521,107979,246383,1600565,2148837,296674833,63929523,64857956,113840023,0,1066,0,0,9881927,5829988889,9665442248,16548718581,108375,106699,0
membench,1,dram,pgn,500,10460.153320,3.279641170,12497643,62141161,845746740,10120008,10254470,1624817,2218261,3415943002,3183158715,65443655,114032778,0,1046,0,0,9945654,5891872347,12734355808,16618623974,10044530,10115623,0
membench,1,dram,rnd,500,10343.261719,3.285513315,12087901,62093829,859865788,10093514,10211482,1589100,2175802,3372232297,3144507265,64686127,113129081,0,1076,0,0,9908134,5896374933,12763380034,16811368361,9975317,10048785,0
membench,1,dram,seq_prefetch,500,59491.582031,2.493727452,12266774,61747364,828460540,114484,250988,1628816,2178579,225923806,63562609,64370192,113832443,9840886,1079,0,0,9880888,5829241855,9680067233,16577847628,111108,105220,0
membench,1,dram,pgn_prefetch,500,46804.207031,2.538299515,13548778,63530022,864331650,122352,228410,1621958,2211165,237628997,200977794,63119828,111902428,9956303,1049,0,0,9977893,5905177959,9854714860,16519594837,539573,541334,0
membench,1,dram,rnd_prefetch,500,38905.511719,2.579391046,11996511,61907435,870727999,110352,213365,1593476,2172335,464854295,235733489,64692204,113926915,9873077,1067,0,0,9893752,5886958710,10016178253,16833320014,103357,101590,0
membench,1,pmem,seq,500,56473.246094,2.674547399,12315298,62604822,819896190,112102,256275,14747,2248802,103467120,101975168,64190045,113309708,0,1074,0,0,9849461,5818631020,10384036826,16587632969,111064,103635,2468
membench,1,pmem,pgn,500,2374.223877,6.703168433,12434908,62726363,861756180,660324,10732279,19917,2278475,15799318804,15754971131,64556212,115602342,0,1063,0,0,10007965,5913247755,26044974426,16416772833,10139211,98520,10062069
membench,1,pmem,rnd,500,2361.885254,6.750578481,12042300,62160634,858533174,121446,10232083,20498,2267056,15874379079,15833035773,62272718,110857341,0,1040,0,0,11809182,5936789680,26228656390,16846976748,10411743,99227,9975124
membench,1,pmem,seq_prefetch,500,54015.222656,2.680147450,12284756,62651333,838427767,111732,252183,13394,2228493,129410105,87588439,64517824,116751317,9796734,1147,0,0,9809242,5834196527,10406929329,16565049602,105705,99450,0
membench,1,pmem,pgn_prefetch,500,6388.755859,4.075132984,12555243,62478925,858456440,117666,232052,14422,2262479,5865697727,5623168434,65142119,111538271,9961919,1073,0,0,9994752,5906004834,15836967165,16582828387,117625,105282,6979
membench,1,pmem,rnd_prefetch,500,6244.781738,4.093270650,11917659,62447286,879654600,122841,229878,16455,2239988,5683375744,5640642516,62802334,115379274,9913310,1163,6286,0,9918605,5914817209,15902937526,16780497683,103839,97660,146
membench,1,dram,seq,1000,59989.078125,3.770427861,13323875,63044795,827395488,118473,239203,1592508,2229983,54658235,16299591,63364437,112906804,0,1057,0,0,9973479,10861705530,14647918432,26531895151,559652,560844,0
membench,1,dram,pgn,1000,10361.234375,4.568903494,13683616,64980444,852471730,10054005,10183997,1617286,2227598,3223263035,3185868564,63662391,111555366,0,1065,0,0,9983069,10887939061,17755431148,26547060529,10127457,10580975,0
membench,1,dram,rnd,1000,10168.853516,4.588526439,12027147,61590553,855807699,10624998,10747197,1623058,2243262,3211588724,3174123525,63467591,111526830,0,1047,0,0,9976168,10899742811,17830239368,26839160074,10101240,10149473,0
