exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42365.699219,0.988989198,4090438,50874778,1267612411,105671,455906,1412127,2093585,173338814,33623773,54119987,111796097,0,1111,0,0,23942,865062161,3813576558,6905342955,102552,99323,0
membench,1,dram,pgn,0,9840.388672,1.066978110,3307485,50158604,1251011262,1802874,1762507,1525123,2104514,286450221,253527714,53270482,111144889,0,1033,0,0,17956,872768293,4134482982,6900205225,1221766,1367644,0
membench,1,dram,rnd,0,9511.399414,1.066170113,3275714,50723759,1261172945,1709100,1678967,1517899,2145884,281685764,246476588,53883772,111259707,0,1076,0,0,43937,871146103,4121696669,6810332664,1400773,1530414,0
membench,1,dram,seq_prefetch,0,39016.777344,0.992959701,4011779,51332740,1288312080,101694,196063,1445770,2078351,274622582,54225802,53270620,113694879,0,1088,0,0,27189,856256312,3818770786,6879351625,101392,99568,0
membench,1,dram,pgn_prefetch,0,20341.328125,1.013109879,3258263,52422302,1272243351,105520,201524,1476885,2070593,206654882,172537798,51551365,105707538,610149,1166,2539,0,30003,871825488,3911156154,6888876613,100727,100147,0
membench,1,dram,rnd_prefetch,0,17713.851562,1.025154232,3151062,52545145,1280896209,102779,195976,1446972,2022135,208539321,174169369,51679018,105699835,1186324,1024,6389,0,42386,878709521,3958372505,7095169939,103348,99278,0
membench,1,pmem,seq,0,27839.644531,1.164271122,3602496,51077390,1276784582,104155,744820,16700,2143872,50737553,14665729,53845809,112345576,0,6564,0,0,25989,864307500,4511138992,6763928633,99770,98035,205
membench,1,pmem,pgn,0,2395.938477,1.551628429,2977758,51954963,1276718300,106406,1208293,10605,2163903,1588099737,1551993403,52381177,109738369,0,1001,6175,0,52786,876904121,6007451584,6913926874,1116572,96545,1033146
membench,1,pmem,rnd,0,2369.583984,1.552143266,2929397,52531512,1267283624,111803,1200038,9520,2127311,1564412828,1529506895,53002288,109783769,0,5923,0,0,55768,865216338,6018207663,6845807726,1123262,94595,1021802
membench,1,pmem,seq_prefetch,0,27631.177734,1.162291995,3658851,50621858,1304991705,103036,742828,16521,2193765,53517535,14840093,52719965,108298532,0,9588,0,0,30051,868268681,4513396479,6841852052,100394,99544,0
membench,1,pmem,pgn_prefetch,0,4487.544922,1.361536962,3066903,51369775,1265033821,106280,212425,10669,2087456,905237051,868699239,52846053,110383721,876182,1157,356,0,33851,884516125,5283583762,6909281200,101622,97633,666
membench,1,pmem,rnd_prefetch,0,4361.270020,1.358555568,3027086,50528387,1305631129,100765,202959,10155,2131622,886702363,849009187,52907701,104660880,764579,9864,0,0,30128,863911163,5256555267,6897205234,99716,95923,0
membench,1,dram,seq,500,43519.886719,1.122238783,2987008,51386724,1269154143,108311,208233,1462084,2023825,49360458,13835477,52198133,108626390,0,1019,0,0,1025541,1336216771,4345737436,8767264849,525909,533741,0
membench,1,dram,pgn,500,9983.826172,1.197300388,2970839,51474806,1286689968,1126383,1242276,1422470,1962784,367453959,334888388,52348278,108661804,0,1062,6525,0,822569,1278658628,4618207432,8862344817,1070855,1141191,0
