exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42401.628906,0.986020757,4092606,50931399,1280197106,105935,569134,1425863,2082560,120220715,25088690,53712209,111117178,0,1074,0,0,27621,861301539,3825699387,6905139752,106011,101148,0
membench,1,dram,pgn,0,10121.663086,1.060979050,3852765,52355929,1268771929,1560624,1277679,1524926,2107928,284153745,249951860,53068402,109150911,0,1070,0,0,24864,865167140,4113660123,6759978073,1456959,1606272,0
membench,1,dram,rnd,0,9698.474609,1.066983295,3292939,48346153,1240262274,1835175,1792303,1411537,2078603,285296177,246822143,54666100,113509854,0,1077,0,0,24962,882263170,4135879235,6951734760,1258063,1400803,0
membench,1,dram,seq_prefetch,0,39254.171875,0.987706960,3954199,51176151,1280047818,101513,723703,1461727,2115583,49520218,12726529,53642838,110958022,0,1087,0,0,32111,862580372,3826992802,6866627022,101245,99499,0
membench,1,dram,pgn_prefetch,0,20525.873047,1.016761992,3300733,51231982,1272072553,105705,198074,1415408,1996759,210004193,174269213,51712510,105536085,1313980,1070,6838,0,29870,878620984,3946857469,7098326706,107319,104916,0
membench,1,dram,rnd_prefetch,0,17987.876953,1.017797750,3145063,51539947,1280885712,109682,211003,1441722,2001776,198611083,165272848,51708627,105698165,1195313,1111,6476,0,37893,882060811,3945889788,7053820138,109305,104543,0
membench,1,pmem,seq,0,29941.914062,1.171047065,3829636,51332103,1278485133,104969,207787,11064,2070828,326017172,92827479,54357027,110517785,0,1029,0,0,32399,860698444,4543087629,6929033814,101963,100564,486
membench,1,pmem,pgn,0,2406.802490,1.533869029,2961867,52047857,1268196400,110087,1198462,11592,2084385,1566874672,1532045873,53845819,108318630,0,9930,2184,0,16408,842619076,5957768421,6752417063,1130167,100010,1026134
membench,1,pmem,rnd,0,2383.824463,1.546849937,2936850,51793857,1273498399,107484,1195470,12573,2093362,1571031457,1534182737,52788435,111605770,0,6109,6533,0,53759,874917830,6008171101,6766311888,1126653,98827,1026006
membench,1,pmem,seq_prefetch,0,27993.953125,1.161069154,3668718,50207667,1308275419,98799,752958,17270,2287527,52368633,13953422,52344283,104976016,0,6189,0,0,24189,869977888,4506178286,6904375717,96097,94412,0
