exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42206.558594,0.992888073,3994636,50879945,1277812128,100658,195644,1369112,1970504,274712437,56509282,54539861,113667485,0,1081,0,0,15137,854728110,3850987681,6958029032,101916,100211,0
membench,1,dram,pgn,0,10003.801758,1.062324187,3318782,51573232,1260547023,1718937,1667962,1550276,2121289,285452424,251016742,53076260,110898316,0,1061,0,0,22863,869729291,4122907977,6823094393,1335182,1484328,0
membench,1,dram,rnd,0,9714.962891,1.063517281,3235397,51827027,1261098208,1529295,1498968,1484250,2120552,282196940,244910376,54126399,109047685,0,1084,0,0,26967,872852968,4127006662,6744311604,1506971,1554075,0
membench,1,dram,seq_prefetch,0,38886.296875,0.989060744,4004560,49880103,1291575635,104387,201399,1340174,2003774,272522930,54333564,54267153,115459832,0,1033,0,0,22468,853935033,3840350516,6937386669,101453,100466,0
membench,1,dram,pgn_prefetch,0,20706.935547,1.011271554,3295799,50907876,1272784666,106090,198522,1343158,1962055,206815601,171768834,52379736,104843191,965721,1097,7072,0,27280,883500433,3925013247,7018471068,105170,102601,0
membench,1,dram,rnd_prefetch,0,17988.847656,1.018860063,3135509,52213151,1275174955,102645,195392,1456863,2024523,203848968,169707327,51761738,105434889,1190728,1129,9652,0,57163,887171614,3954465959,7016286587,104436,101694,0
membench,1,pmem,seq,0,28564.083984,1.165533490,3637543,51214238,1276948946,101962,208653,16566,2113858,311594637,71687306,53970917,115870484,0,2156,0,0,35753,867014311,4525451627,6877155924,99112,99724,250
membench,1,pmem,pgn,0,2401.386963,1.550528737,2981021,51799833,1274090127,105924,1202600,11084,2124506,1584625538,1549406927,52597153,107690642,0,1130,5140,0,47114,879628589,6020557550,6854192843,1128581,95730,1027779
membench,1,pmem,rnd,0,2385.951660,1.558648804,2982137,51829504,1275080542,104540,1198835,11207,2105308,1580338301,1545485201,52660881,108616911,0,1038,0,0,51043,883798684,6052053861,6932925009,1504375,98707,1026937
membench,1,pmem,seq_prefetch,0,30293.851562,1.161962359,3730493,51929576,1272548575,281549,708503,11035,2259959,51669714,14204145,53633752,111817341,0,6867,0,0,28060,848909629,4511149274,6828857157,97023,95296,0
membench,1,pmem,pgn_prefetch,0,4483.118652,1.373193924,3070326,50916540,1266443394,101024,200244,10614,2077795,908763617,873109619,51882914,109137454,1040260,1086,6773,0,24101,888485816,5316563629,7119286152,100641,96857,474
membench,1,pmem,rnd_prefetch,0,4326.250977,1.366564046,3020711,51611034,1264928214,106114,207874,9850,2102438,888218686,853364656,52067966,107549220,950544,1107,2590,0,37091,880236071,5296742782,6923287758,100474,95761,9
membench,1,dram,seq,500,43700.566406,1.125017195,2945070,51754640,1263680593,103536,205363,1444097,2012012,48171849,13484158,52154158,110038998,0,1015,0,0,1030921,1351460741,4362381323,8744920132,522858,529592,0
membench,1,dram,pgn,500,9865.825195,1.193082723,2975448,51090560,1267588125,1124411,1231173,1413334,2007723,375977706,340573176,52495383,107283335,0,1064,6993,0,788281,1315674833,4629814605,8886748842,1131397,1188066,0
membench,1,dram,rnd,500,9527.983398,1.197011627,2975751,51965799,1272821979,1109763,1219112,1478911,2062764,372800968,337456504,51942695,106640551,0,1089,6949,0,833966,1313382736,4648863847,8909342329,1117108,1177804,0
membench,1,dram,seq_prefetch,500,40466.171875,1.119508175,3004282,52333390,1278311638,101298,199550,1482709,2080293,48329500,13217504,52097923,106548115,999472,1043,0,0,932471,1316727870,4334884625,8808635656,568598,100136,0
membench,1,dram,pgn_prefetch,500,38992.437500,1.117563411,3000363,51881722,1286115446,113252,209679,1460233,2036282,66286111,30666934,52368782,109455283,998365,1031,0,0,932217,1320748692,4335603256,8827935240,553660,103448,0
membench,1,dram,rnd_prefetch,500,28373.625000,1.128125112,3968678,52180028,1292080896,112216,208313,1451026,2034001,65028749,29493306,52941860,110127715,955394,1019,0,0,976986,1378495551,4379141579,9026022499,519954,526099,0
membench,1,pmem,seq,500,42771.601562,1.282476972,2985755,51979907,1272175449,103495,211001,12284,2133845,51940454,16043915,52379353,108754908,0,6028,6195,0,909106,1337843212,4979146083,8976676495,98415,97284,306
membench,1,pmem,pgn,500,2382.154785,1.694476522,2979654,50431537,1240737742,105918,1249782,18624,2135101,1762678597,1528411087,53669173,111975786,0,1069,0,0,968465,1357890404,6580318970,8920141135,1104656,97511,1063665
membench,1,pmem,rnd,500,2365.033447,1.678575932,2928250,52421492,1275995857,646143,1697755,10585,2161111,1496565542,1460421572,54477014,111743137,0,6512,0,0,1071500,1369560380,6520179670,8802289398,1162695,97061,1062772
membench,1,pmem,seq_prefetch,500,36689.167969,1.302408657,3048090,52160969,1274244050,107618,214656,10975,2133145,60058734,24861829,52368226,109399080,996524,1030,0,0,1026870,1364788266,5055796490,8850131388,530122,529218,442
membench,1,pmem,pgn_prefetch,500,6318.716309,1.408125068,4176746,53566145,1308713356,108643,218857,12666,2131810,521776757,485213090,53791109,109891366,922706,7416,0,0,1173768,1411073244,5468646956,8923074086,99428,95945,804
membench,1,pmem,rnd_prefetch,500,6067.150879,1.440714119,3033581,50783077,1252454534,106493,205388,10652,2072283,656000976,624721196,53956084,110975875,858976,1074,0,0,889931,1325714938,5594911871,8948938074,103968,97106,148
membench,1,dram,seq,1000,43525.570312,1.245497014,2986573,50080910,1234846442,638942,752910,1518756,2120897,50409157,13626033,53727104,112187587,0,1072,0,0,932555,1836941365,4830081960,11025393225,102837,98907,0
membench,1,dram,pgn,1000,9781.960938,1.323577556,4130232,52161777,1282789328,1571244,1141157,1500916,2081132,346945306,312061211,53552569,112295642,0,1036,0,0,965600,1854556590,5124333641,11019030630,1198442,1239525,0
membench,1,dram,rnd,1000,9499.563477,1.329767629,2977821,52064562,1267862664,1602795,1696218,1580622,2115448,344249511,310633071,53136706,113324637,0,1061,0,0,959759,1844122716,5148691363,11031510577,1178839,1227173,0
membench,1,dram,seq_prefetch,1000,40628.933594,1.242774306,2996185,49643640,1238452005,707797,817676,1485980,2092988,48737378,13316199,54137807,110373484,886472,1053,0,0,935301,1845892847,4824997715,11066345126,102382,100047,0
membench,1,dram,pgn_prefetch,1000,44273.253906,1.243081162,3023651,49820903,1234893719,655291,761267,1511546,2124941,55732374,18664139,54020414,110829498,893841,1081,0,0,921356,1838624039,4828023980,11048543490,104046,102960,0
membench,1,dram,rnd_prefetch,1000,31100.330078,1.256339047,2964192,50267655,1234785082,94785,193979,1426373,2016978,275771394,60525902,55490192,112411479,873919,1087,0,0,901935,1771052347,4869508079,10894509953,100510,96144,0
membench,1,pmem,seq,1000,43840.421875,1.423515354,3056519,50549107,1248029122,611640,730151,10536,2143718,51897177,14348216,54004577,111020484,0,1417,0,0,999630,1885020109,5528748613,11169120225,101208,95900,787
membench,1,pmem,pgn,1000,2392.693604,1.817259181,2962360,51252527,1264454789,110095,1216012,11124,2117946,1594686757,1558151831,52483936,109459070,0,1032,0,0,997692,1831703574,7057554862,10888048022,1085312,99462,1029428
membench,1,pmem,rnd,1000,2377.363770,1.805897509,2870199,52382059,1265540851,117002,1197149,11678,2009874,1570967489,1539152120,53837137,113571818,0,7822,2467,0,1038964,1885184408,7015786179,10761748056,1125592,102774,1018710
membench,1,pmem,seq_prefetch,1000,39074.710938,1.424773854,3080255,50280207,1240354842,641323,760719,10870,2168237,54218758,17380163,53856253,113963061,885861,1060,0,0,932105,1832296417,5522683605,11059219958,99914,97840,0
membench,1,pmem,pgn_prefetch,1000,11032.413086,1.478129270,2955614,52326411,1291610492,107332,211143,11886,2125598,318557614,281643390,53105824,108284230,948121,6073,0,0,1129900,1982004053,5732097192,11084534736,543173,541627,475
membench,1,pmem,rnd_prefetch,1000,10301.100586,1.505288266,3017946,50279805,1251251445,681169,793441,10547,2163174,326573246,289477808,53187704,110759088,950033,1038,0,0,969319,1828087863,5827543178,10902238997,100201,96479,167
membench,1,dram,seq,1500,43643.347656,1.375964603,2964130,50332021,1249930798,109506,201941,1388931,2003671,51259614,13668511,53140183,110898910,0,1036,0,0,965896,2236706701,5339789174,12671572542,105482,102189,0
membench,1,dram,pgn,1500,9846.687500,1.451881980,2922584,50520035,1257011908,1113133,1217942,1415986,2006963,372787161,337621846,52500366,108282725,0,1112,6665,0,921922,2275814711,5637305957,12875561737,1106098,1139858,0
membench,1,dram,rnd,1500,9526.894531,1.457888703,2923907,50779635,1265011819,1098017,1206578,1448110,2080682,372092730,335918097,52412046,106543041,0,1121,6641,0,927771,2306116365,5646400618,12944637406,1118283,1148792,0
membench,1,dram,seq_prefetch,1500,40754.777344,1.373943741,2947022,51513794,1269286243,106791,202257,1447048,2023473,47066582,12443334,52374865,106590897,1001839,1040,4070,0,947598,2237823075,5323827924,12772183498,102598,101122,0
membench,1,dram,pgn_prefetch,1500,47560.164062,1.371523353,2971402,51378562,1269361361,106251,207279,1468409,2015043,47588710,12906241,52075025,109217285,1007965,1006,6492,0,930759,2202350151,5318419654,12763204013,106309,103118,0
membench,1,dram,rnd_prefetch,1500,32255.982422,1.383855893,2943949,51732676,1267796432,101717,199170,1504416,2106563,48247145,13134674,52376333,107731370,989226,1048,0,0,1020881,2312874247,5371310333,12864385053,537791,523802,0
membench,1,pmem,seq,1500,44060.628906,1.549421065,2984756,51385110,1263465874,108462,213967,12171,2098659,47828359,13216296,52381459,107590764,0,1032,4845,0,1137879,2242867726,6015758368,12841409824,104359,102222,81
membench,1,pmem,pgn,1500,2418.134033,1.935212617,4117327,53229546,1294600089,110377,1180445,11579,2158297,1529849870,1492445686,53274317,112215067,0,6152,0,0,1063554,2417478161,7506346633,12968473685,1144201,497826,1020041
membench,1,pmem,rnd,1500,2401.306396,1.943067563,2940431,51993843,1266985591,662437,1748657,12579,2174499,1533828706,1495104326,53629052,110804284,0,1020,0,0,1005589,2360017462,7547896116,13022820938,1132339,97169,1056061
membench,1,pmem,seq_prefetch,1500,40296.582031,1.544346790,2970990,51823321,1270192049,106371,205748,9698,2108784,50934134,14427689,52422797,111120200,962901,6197,5578,0,984881,2360346780,5994803396,13092375543,99021,95509,0
membench,1,pmem,pgn_prefetch,1500,26301.945312,1.565845901,3009152,51767668,1278468134,107114,213566,13135,2147418,117111222,80658694,52959401,109887781,984141,999,0,0,1013901,2370374682,6079987370,12963180930,503606,502233,643
membench,1,pmem,rnd_prefetch,1500,21431.632812,1.566470386,2928159,52409987,1295029832,109737,212059,11999,2142973,112583036,75416870,53082850,112460800,964925,5190,0,0,1086619,2481321106,6070818465,13183864142,529259,530219,191
membench,1,dram,seq,2000,43618.597656,1.499244749,3952950,52154185,1272077538,646005,284902,1506690,2104936,48591342,13420773,54081194,108735680,0,1057,0,0,1004323,2880159934,5819960180,15160990629,97497,97817,0
membench,1,dram,pgn,2000,9775.170898,1.581649250,4095779,53712717,1289214786,1058739,1175490,1457792,2065976,358218192,321143454,54106876,109895799,0,1052,0,0,1029719,2913978736,6127815098,15174009588,1179906,1562091,0
membench,1,dram,rnd,2000,9490.817383,1.584583032,4078562,51972402,1272171660,1621730,1170468,1466482,2099599,359341345,323030111,53883502,111107550,0,1061,0,0,992644,2838736310,6143505664,15053414490,1139517,1165659,0
membench,1,dram,seq_prefetch,2000,40837.996094,1.512150340,2928172,49968699,1236872370,632194,745723,1484050,2097664,49088178,13162365,53652389,113053921,955212,1066,0,0,973571,2789339456,5868221530,14904943186,96639,96163,0
membench,1,dram,pgn_prefetch,2000,47373.160156,1.498550789,4126979,53016478,1287737358,591027,206624,1513684,2113238,48248726,12978513,53576361,111054860,955598,1068,0,0,1012645,2893096820,5818293823,15201890011,96297,95508,0
membench,1,dram,rnd_prefetch,2000,32604.089844,1.511161460,2926318,49753026,1263659044,640141,755873,1505432,2086630,49948491,13640726,54077550,113986122,932057,1067,0,0,1016202,2894673508,5868322172,15248982213,93008,93429,0
membench,1,pmem,seq,2000,43620.503906,1.670079470,4125924,52850731,1278139249,318329,223687,12505,2137278,50573595,13581053,53749220,110057579,0,4694,0,0,1049906,2936995072,6479896759,15291705701,98144,96498,443
membench,1,pmem,pgn,2000,2440.661377,2.052895834,2919494,51984112,1254692341,114085,1206613,11296,2173257,1741823345,1510473358,56324641,112800448,0,9892,0,0,1055702,2885004816,7961674825,14933761203,1113406,98949,1020409
membench,1,pmem,rnd,2000,2406.292969,2.076596711,2941003,50884114,1263094249,107250,1215787,13294,2110973,1577690864,1541350288,52153765,108826904,0,1097,2115,0,991203,2797383845,8063176674,14887972303,1078624,100201,1012826
membench,1,pmem,seq_prefetch,2000,40422.003906,1.668485032,4130424,54316702,1301122184,113460,216649,10881,2095643,50756764,14346053,53753561,111575929,944733,7673,0,0,1090828,3018396808,6466547811,15334831502,98140,501819,222
membench,1,pmem,pgn_prefetch,2000,28696.052734,1.698203658,3007085,50485287,1237629859,109165,211835,11560,2085699,346672995,111488143,55143847,111846244,945016,1038,0,0,963015,2773076783,6594403122,14746758019,105729,101001,518
membench,1,pmem,rnd_prefetch,2000,22605.511719,1.688807119,2893034,51016454,1249591394,608120,724799,11625,2123612,98849080,63367811,55034287,115379207,924619,8684,0,0,1069509,2963198413,6552915395,15162875440,103276,97415,75
membench,1,dram,seq,2500,43840.421875,1.627661135,2926979,50829493,1257794666,103704,203123,1480614,2068577,47345737,12883495,52224193,106849392,0,1179,7094,0,959940,3298628898,6323056886,16963101056,99670,100157,0
membench,1,dram,pgn,2500,10095.808594,1.717532213,2875498,50236502,1249357400,1111581,1213236,1404262,2004583,367134996,330729282,52033983,110933076,0,1112,7004,0,983513,3266506161,6664293431,16698008141,1066150,1085912,0
