exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42344.175781,0.987115273,4111473,51399172,1275117703,100036,717629,1566365,2197704,48529843,12764222,52658025,111753287,0,1097,0,0,25324,855926211,3818175868,6879039299,98254,97169,0
membench,1,dram,pgn,0,9985.720703,1.071486756,3313623,49641443,1235362943,1821148,1775776,1485702,2108217,284475440,249848706,53556326,114370308,0,2208,1484,0,19406,874245975,4156937003,6935035631,1184476,1333176,0
membench,1,dram,rnd,0,9533.979492,1.071707769,3247111,50212823,1245452111,1838892,1823389,1518303,2112822,285137804,248408744,53259484,112788313,0,1070,0,0,21291,880882583,4154815999,6926623587,1234002,1379463,0
membench,1,dram,seq_prefetch,0,38507.453125,0.995981393,4003155,51069429,1280312333,102170,199687,1398604,2053233,284071276,57429996,53545449,115610429,0,1559,906,0,30308,863439859,3864272968,6910000875,104649,100509,0
membench,1,dram,pgn_prefetch,0,20272.462891,1.014831052,3278271,52276914,1273231084,101154,193330,1459514,2030561,208510225,172881148,51386842,105431643,974176,1131,6676,0,25809,878936378,3927394336,6972018587,101543,98615,0
membench,1,dram,rnd_prefetch,0,17920.826172,1.022696602,3158896,51493485,1278656007,102351,196450,1463342,2023026,202783811,169036956,51582062,109035799,1192386,1032,6442,0,34658,878093887,3958044889,7097507134,103819,103513,0
membench,1,pmem,seq,0,28796.865234,1.180831926,3726567,51487582,1277579023,101982,204923,11473,2040649,128267672,112754750,53474206,111513767,0,1068,0,0,22343,859105604,4584696975,6974069272,103427,99320,826
membench,1,pmem,pgn,0,2401.836914,1.539139423,2930059,52679044,1252768605,113002,1202365,12050,2161063,1571654331,1537502837,54061251,109864876,0,7156,709,0,17956,831638389,5972991596,6749059111,1117038,96898,1024585
membench,1,pmem,rnd,0,2381.128174,1.551180739,2920165,51363223,1280608141,108052,1207402,12032,2076808,1575063842,1538137330,52381444,111427242,0,2228,2039,0,58053,882713448,6019449777,6895784708,1129321,99728,1025950
membench,1,pmem,seq_prefetch,0,28808.480469,1.153506987,3652931,51293665,1279668054,610510,728620,11460,2178198,51006171,13819463,53581588,110162119,18277,9837,0,0,17037,857220491,4476905355,6796176658,96980,96335,13
membench,1,pmem,pgn_prefetch,0,4490.729004,1.355922474,3033838,51327702,1255695515,99944,202676,10596,2080300,895043149,859642894,53903582,113135869,826546,1074,0,0,42813,874772877,5263134720,6875052457,98974,93641,510
membench,1,pmem,rnd_prefetch,0,4366.869629,1.356427021,2999356,50738385,1288388932,104634,208468,10523,2047525,883415331,845638809,53928219,108050743,754977,6635,0,0,22106,860828210,5265760390,6812267328,98451,96598,81
membench,1,dram,seq,500,43683.382812,1.119745717,3001249,50957292,1274872371,111370,213961,1407627,2014793,49922112,13760451,52680912,111889169,0,1000,0,0,1002770,1300532438,4331710551,8773548486,585032,334934,0
membench,1,dram,pgn,500,9870.596680,1.197790907,2995848,52172680,1282053861,1121892,1231836,1507108,2001071,370261867,338050971,51331933,109308777,0,1079,6817,0,842296,1272831957,4635775894,8854600895,1063648,1135124,0
membench,1,dram,rnd,500,9517.283203,1.205617863,2986694,51333686,1271334613,1117513,1222090,1462486,2020918,371474403,336944552,51827599,108991632,0,1032,0,0,986081,1324146117,4675889260,8851268918,1417966,1038439,0
membench,1,dram,seq_prefetch,500,40317.703125,1.119594646,3000599,52550794,1276609067,101946,209678,1553509,2102543,44856177,12727519,51066716,105538060,1004916,1043,0,0,1028934,1311917132,4337373564,8774125321,550141,553634,0
membench,1,dram,pgn_prefetch,500,38839.476562,1.119241385,3048757,51757267,1280273349,104301,201625,1457207,2018993,65467057,30775300,52718158,109760809,1000166,1021,0,0,996776,1318567135,4335855916,8806294132,531719,272096,0
membench,1,dram,rnd_prefetch,500,28411.513672,1.137713184,4202267,53268389,1288815071,107945,202372,1462601,2042144,67566248,31273509,52723376,112220759,962480,1038,0,0,981698,1348882154,4414231988,8974164269,238444,513329,0
membench,1,pmem,seq,500,42680.324219,1.285252173,2999931,51416145,1281306291,104382,211279,10968,2043201,52773964,15770983,51928748,109066424,0,5120,6634,0,906014,1316432349,4989416573,8925074836,101022,99814,454
membench,1,pmem,pgn,500,2383.937988,1.677329513,2967240,52467693,1267837708,689465,1737660,12221,2227238,1503902924,1467635887,53708276,107711986,0,6745,0,0,1057400,1360921054,6515240971,8820945604,1163717,90982,1069133
membench,1,pmem,rnd,500,2359.970947,1.676954483,3030849,53379339,1279206426,704135,1693285,12581,2181088,1497651260,1460924965,54576427,114076105,0,9296,0,0,1096958,1363561874,6513511286,8811970526,1158423,92574,1061850
membench,1,pmem,seq_prefetch,500,36447.132812,1.286074714,2988562,51553478,1289652957,104502,211215,11428,2091786,58876463,25944329,52138867,105718756,978301,5998,5456,0,1148964,1366073299,4992800731,8942714500,99670,99772,4
membench,1,pmem,pgn_prefetch,500,6303.500977,1.415228351,3029207,52007810,1283230179,661272,780620,13337,2172812,527432579,488970277,53710293,111989808,869603,7901,0,0,1114072,1412452637,5496332518,8966018956,103230,99674,433
