exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42629.378906,0.986431528,4089385,51018311,1273166625,103179,712815,1435849,2141039,50678884,13264877,53880601,108104625,0,1102,0,0,22238,868983627,3819445584,6881954744,101760,99174,0
membench,1,dram,pgn,0,9920.832031,1.068790417,3281556,49592981,1240997687,1920927,1879525,1467123,2063499,291319329,254090754,53454640,114372721,0,1045,0,0,14932,870794861,4143774039,6975841304,1114047,1261971,0
membench,1,dram,rnd,0,9519.820312,1.070751824,3261011,50194870,1258400579,1849159,1832124,1542339,2107641,282963790,248492239,53195855,116158843,0,1058,0,0,22720,876990592,4149062687,6899387501,1269838,1412879,0
membench,1,dram,seq_prefetch,0,39317.449219,0.991864637,3978629,50712564,1278972906,104568,195446,1375329,2061443,290249736,56185776,53992867,114420264,0,1092,0,0,23921,865932038,3848346304,6916788291,100028,98653,0
membench,1,dram,pgn_prefetch,0,20204.468750,1.013779052,3245347,51183027,1282656353,109858,201196,1399351,1934268,209347029,175420034,51879938,110066873,899820,1081,6755,0,26704,873346945,3932756619,6982356865,103744,102244,0
membench,1,dram,rnd_prefetch,0,17830.714844,1.022582311,3163284,51898163,1281121273,103279,201108,1475160,2033346,204781152,170006873,51346219,109326822,1187487,1032,6435,0,36940,882863669,3967589782,7070460922,110633,106363,0
membench,1,pmem,seq,0,31464.351562,1.162519147,3739242,51109763,1277368027,188488,742571,11016,2187809,50737840,13800927,53332437,110311549,0,6248,0,0,37261,864225960,4512231313,6812045116,97768,96265,250
membench,1,pmem,pgn,0,2402.633301,1.539922725,2919999,52598758,1257319758,114355,1204383,10238,2112842,1573182267,1538839642,53391134,112352643,0,6934,5738,0,19823,832899646,5980980936,6695651792,1129227,96917,1024749
membench,1,pmem,rnd,0,2383.102783,1.560916032,2982615,51677527,1274957455,109034,1204786,11384,2128757,1583606947,1548272608,52528645,108919984,0,1034,0,0,42112,884637863,6059337636,6967121151,1467242,281151,1030292
membench,1,pmem,seq_prefetch,0,28195.224609,1.163093614,3593156,51579417,1269216538,106288,739564,16738,2227701,51068115,13684682,53984703,113729316,0,6230,0,0,25282,850235655,4515771208,6797519494,100625,99047,0
membench,1,pmem,pgn_prefetch,0,4493.998535,1.348854621,3040317,51511914,1262012324,107518,205266,12238,2110348,1033701456,769147248,55377298,111305882,755065,8212,0,0,26115,838178211,5237811309,6767883599,98497,96235,211
membench,1,pmem,rnd_prefetch,0,4365.935059,1.353503207,2947289,51567951,1266686277,102242,208956,11686,1994810,940664932,810018525,55492446,114754273,731764,17524,0,0,26313,853535771,5256669791,6705301961,100040,97746,9
membench,1,dram,seq,500,43544.523438,1.119250063,2992711,52379768,1268590133,101539,200951,1466539,2024856,49417383,13531955,52317247,110165140,0,1021,0,0,1029245,1313817469,4337506570,8727040712,529510,513547,0
membench,1,dram,pgn,500,9897.461914,1.191631028,2973811,51551830,1270736738,1126497,1233581,1467712,2042560,370576507,333496142,51910870,106397987,0,1145,4203,0,813641,1320885992,4624680645,8894615908,1151183,1192518,0
membench,1,dram,rnd,500,9699.603516,1.194954185,2961011,51668952,1279686901,1115186,1223056,1434891,2003576,364333260,331268076,52180386,106315985,0,1049,10001,0,842237,1325318883,4636287466,8924025449,1141634,1175178,0
membench,1,dram,seq_prefetch,500,40377.937500,1.115539282,3020808,52289476,1277158118,104670,206177,1486155,2066534,47592280,13109273,51949288,106203907,998849,1034,0,0,918829,1319622479,4329426145,8802689876,102917,100538,0
membench,1,dram,pgn_prefetch,500,39613.375000,1.118976489,2988236,52268839,1269082760,108493,201947,1479951,2085014,66576119,31248837,52168403,105626573,998844,1053,0,0,1021502,1321039474,4343256112,8813352382,530195,526137,0
membench,1,dram,rnd_prefetch,500,28479.480469,1.128927097,4165377,52011106,1286516579,106868,198260,1445329,2043245,65025662,29613508,53323897,107749646,953284,1030,0,0,975825,1377987591,4373234640,9015280171,534629,542240,0
membench,1,pmem,seq,500,42854.082031,1.290728712,3037645,52077467,1266048823,107589,213904,11362,2114685,50307296,15313841,52227940,106845006,0,1032,5,0,890188,1303340973,5012283864,8760160954,101551,95707,456
membench,1,pmem,pgn,500,2376.747803,1.683274506,2922976,50478619,1254259241,653443,1725824,12509,2184385,1509827376,1471757464,54121223,114744366,0,4393,0,0,1038162,1365029348,6527894243,8769268055,1170691,98836,1069726
