exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42425.015625,0.988028984,4076091,50649483,1274955347,336191,739933,1482789,2119534,49712413,12965475,53684567,111958547,0,1076,0,0,31711,862745865,3830502364,6873950733,101449,99246,0
membench,1,dram,pgn,0,9963.135742,1.066632119,3279937,49256477,1241346934,1693262,1663616,1395797,2023758,290742278,252438551,54007610,113754297,0,1076,0,0,27149,879721905,4134896906,6867220230,1289849,1434584,0
membench,1,dram,rnd,0,9699.791016,1.068043140,3294163,50744774,1263837949,1806523,1773019,1574360,2071450,278939453,245796103,52590310,114355823,0,1078,0,0,30783,874543905,4143741849,6897827945,1251958,1404116,0
membench,1,dram,seq_prefetch,0,38936.261719,0.993570226,3995127,51287871,1284947400,99987,192378,1354376,1964472,274433116,56501116,55128115,114899709,0,1071,0,0,20344,855477209,3852413518,6950436031,105620,102907,0
membench,1,dram,pgn_prefetch,0,20697.505859,1.013153594,3310456,52320916,1278920341,100810,196872,1521813,2037737,203499403,172061743,50426934,106232234,996808,1139,6673,0,22588,873398568,3923221429,6983914328,102893,100204,0
membench,1,dram,rnd_prefetch,0,18040.121094,1.019154392,3157573,50823807,1291311597,103191,198305,1399514,1962619,202273369,169096521,52128613,109222918,1191042,1013,6508,0,40545,875817715,3954116311,7072473328,104824,102314,0
membench,1,pmem,seq,0,28919.287109,1.154582340,3617016,51026602,1274957366,620711,739880,11837,2187139,51601984,13698188,53291701,109919232,0,6585,0,0,14479,858270063,4483078302,6821957513,97880,96700,230
membench,1,pmem,pgn,0,2398.829346,1.543608918,2934648,51956674,1277778040,107969,1198065,9910,2134908,1579918582,1543023841,52410414,109249316,0,8703,6706,0,25221,841153506,5991993540,6751186015,1123292,99247,1022331
membench,1,pmem,rnd,0,2379.745361,1.564681227,2977898,51801890,1268940024,109277,1204082,12371,2157010,1589617707,1552739987,52386964,109394273,0,999,0,0,19848,871952740,6076724998,6983145329,1464273,501311,993764
membench,1,pmem,seq_prefetch,0,28347.082031,1.164667232,3600749,51881356,1265169490,106522,714271,17467,2217677,50819694,14111308,54268777,116707034,0,6410,0,0,25827,850884313,4510453900,6764853195,101364,95379,0
membench,1,pmem,pgn_prefetch,0,4489.337891,1.369601088,3070524,51084727,1256163657,103581,205845,10907,2100296,908518396,872515795,51638499,108016216,1060943,1121,5647,0,24428,895218127,5318490824,7142102717,102922,100588,670
membench,1,pmem,rnd_prefetch,0,4362.069336,1.349814181,2982384,51203076,1276706865,103396,211945,11803,2080066,990573326,804297691,54752243,113703533,729643,11068,0,0,22614,853774374,5241520551,6821895840,100791,98919,4
membench,1,dram,seq,500,43493.386719,1.118334099,2987762,51611738,1288986546,105987,208111,1403508,1948199,45771841,13633242,52818289,110349587,0,951,0,0,955457,1287651367,4338546641,8782445390,542814,103798,0
membench,1,dram,pgn,500,10044.799805,1.193726564,2954226,50820195,1262001698,1141660,1241895,1388947,1979450,371637319,335927120,52289093,107535997,5,1070,6537,0,812509,1284243726,4623654414,8848097033,1060813,1134572,0
membench,1,dram,rnd,500,9591.406250,1.202230641,2946708,51804029,1264665323,1113422,1224747,1463687,2079802,373604759,337708822,51719436,106196048,0,1051,0,0,913738,1308397655,4659324428,8821679829,1029861,1098167,0
membench,1,dram,seq_prefetch,500,40477.636719,1.127950814,2968928,52226755,1273766376,101741,201054,1459963,2034575,49000086,13669213,52312803,109889899,1007086,1027,0,0,1024253,1352467121,4356626859,8764401938,550757,558574,0
membench,1,dram,pgn_prefetch,500,38776.222656,1.123658570,2961642,50923604,1275433367,109122,206984,1352725,1987276,66545101,30393988,53330428,109658978,998701,1034,0,0,1008244,1317454916,4345754401,8852163894,568803,502198,0
membench,1,dram,rnd_prefetch,500,28529.044922,1.128343556,2910932,52985162,1280762141,103530,202163,1525991,2126394,64190972,29003978,52347306,104427827,955168,1062,0,0,984834,1401413558,4379966999,9003435968,526584,533281,0
membench,1,pmem,seq,500,42964.554688,1.283002117,2992096,52220815,1266583201,105679,210649,12074,2100576,51487659,15314364,52421919,107018188,0,6059,6266,0,904864,1351683844,4979237797,8950824534,102325,97824,407
membench,1,pmem,pgn,500,2383.483398,1.676674593,3415451,52354957,1283045939,661896,1473922,12082,2095930,1502948171,1466670843,54313991,114065852,0,6510,0,0,1069177,1375463597,6512789036,8689169246,1173088,103759,1070676
membench,1,pmem,rnd,500,2361.788330,1.682439160,2922109,51176223,1257807074,671085,1736650,13408,2166360,1499128344,1464179089,54689069,113902809,0,6201,0,0,1062032,1367212448,6534619461,8777081017,1166480,96421,1066501
membench,1,pmem,seq_prefetch,500,36890.839844,1.276185624,2991056,52260180,1274161109,109275,215788,10011,2113100,60411093,24240897,52308498,107219777,908809,10357,4976,0,1066449,1373244968,4955047077,8923800971,100062,97328,4
membench,1,pmem,pgn_prefetch,500,6293.028320,1.430566241,3085486,50325843,1246908803,107462,207320,18206,2139498,782884063,538247221,54171872,113295706,878253,1038,0,0,902486,1333014920,5553557395,8919151396,103750,102948,397
membench,1,pmem,rnd_prefetch,500,6093.325195,1.430320155,2994656,50730485,1249945133,106865,207343,17657,2139484,771164825,529792348,54414851,112431071,860852,1036,0,0,945549,1363669355,5544216659,8990602548,98230,95229,4
