exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42504.355469,0.991392097,4071155,50873598,1276179758,100306,190980,1379823,2044945,283993851,57193846,53601847,113589935,0,1091,0,0,20508,860306561,3846175965,6927221249,106770,101947,0
membench,1,dram,pgn,0,9998.600586,1.063071265,3335945,52281911,1261608698,1568151,1530518,1513142,2150605,291741530,252561973,53709686,109984904,0,1084,0,0,31289,874873643,4116100490,6748398957,1447368,1589218,0
membench,1,dram,rnd,0,9682.698242,1.068727207,3277252,50600116,1237031976,1783613,1759598,1549032,2185898,284273206,246777073,53502325,110258425,0,1090,0,0,27106,888190441,4144745946,6888178564,1282292,1426382,0
membench,1,dram,seq_prefetch,0,39028.960938,0.987224541,3958172,50751278,1277960146,104450,713073,1452780,2117477,49455261,12892749,53826314,110995819,0,1070,0,0,31140,864921443,3828113870,6873850342,101263,99570,0
membench,1,dram,pgn_prefetch,0,20480.052734,1.014538865,3277736,51665774,1268235195,103541,196829,1417010,2011814,209932084,173858940,51735775,106053458,948474,1134,6681,0,23092,883265907,3936164204,7006711418,104172,100248,0
membench,1,dram,rnd_prefetch,0,17920.505859,1.020065222,3161119,50771628,1297387742,108896,204546,1401760,1938496,203371563,169060450,52382260,112230485,1190324,998,6594,0,42563,875270752,3955709896,7059596322,110837,108149,0
membench,1,pmem,seq,0,30200.531250,1.158839706,3711552,51756076,1278222128,635572,753829,11112,2313902,53786536,14342755,53183844,112939715,0,7605,0,0,21942,843228730,4496751766,6876941152,95229,92083,249
membench,1,pmem,pgn,0,2402.396484,1.550465559,2980589,51763417,1268566992,106907,1204528,12385,2107691,1586201960,1549473567,52573168,107141373,0,1038,4240,0,52773,884956914,6018164195,6921460001,1114914,97406,1030901
membench,1,pmem,rnd,0,2380.663330,1.552701890,2957973,51560757,1284863874,100675,1198742,11139,2142569,1571563655,1533711408,51952638,109979094,0,1018,0,0,50461,883828301,6028325022,6988764402,1110481,94441,1023161
membench,1,pmem,seq_prefetch,0,29129.890625,1.172367652,3701056,51119750,1279382624,103842,208014,10512,2079773,324951720,85698713,54694318,112757590,0,1053,0,0,31274,861235530,4550266691,6926117563,99506,97309,0
membench,1,pmem,pgn_prefetch,0,4487.081543,1.355636246,3027094,51127144,1256122857,102832,200667,12469,2106203,899768419,842929722,54563481,113998024,749677,4008,0,0,35682,862522482,5259895989,6769497658,97561,96006,325
membench,1,pmem,rnd_prefetch,0,4349.792969,1.367054775,3020116,51307115,1266973800,105781,210472,11900,2091340,890551991,855777817,52117977,105351330,972071,1103,4912,0,36310,893277658,5301355173,6963789807,100923,97803,27
