exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42567.679688,0.989432468,4127505,49801587,1283410586,104107,196597,1324031,1993484,282198451,56892915,54470680,116531322,0,1033,0,0,27096,853006455,3827850137,6956909837,106888,103494,0
membench,1,dram,pgn,0,10001.799805,1.059790725,4388938,52752002,1277532690,1456377,972784,1521435,2097703,284158588,250115276,53542075,110148168,0,1059,0,0,29185,856340119,4101214651,6686494889,1543422,1591807,0
membench,1,dram,rnd,0,9549.000977,1.070186399,3263423,49914678,1258987374,1823615,1803342,1477864,2046227,284091832,248005309,54079689,116282274,0,1035,0,0,22672,875976230,4147574295,6921809482,1262868,1406027,0
membench,1,dram,seq_prefetch,0,39370.078125,0.985850743,4039045,51491860,1285317967,102035,697225,1517761,2144166,59058932,15205293,52889046,111305487,0,1085,0,0,41317,855550809,3813242314,6861404917,100204,99578,0
membench,1,dram,pgn_prefetch,0,20647.080078,1.009890390,3276167,51986131,1268992535,101184,195012,1449777,2040488,205125214,171030634,51344886,103415585,829131,1160,6768,0,26174,881130845,3909656223,6949196849,104905,100932,0
membench,1,dram,rnd_prefetch,0,18138.287109,1.019683533,3163672,52021101,1282658997,101882,192507,1448675,2003197,199814628,166702189,51479324,105156621,1183996,1108,6529,0,40185,880829897,3945551512,7021824834,99648,98976,0
membench,1,pmem,seq,0,29559.560547,1.162308011,3712695,50732108,1285080731,102364,473153,17227,2172812,173340203,33475652,53437475,112100102,0,5672,0,0,34896,866708656,4511970559,6823175731,99390,98469,259
membench,1,pmem,pgn,0,2403.927002,1.551438311,2993298,51674068,1267295440,108646,1209554,11791,2122491,1584780486,1549744263,52349774,106491882,0,1006,1033,0,48683,883642306,6024299829,6979731339,1099432,98523,1036050
membench,1,pmem,rnd,0,2383.250488,1.560894661,2983870,52132205,1269364744,110638,1204942,10417,2134621,1579442179,1544691166,52613592,106756707,0,1049,0,0,46019,884648314,6051005447,6972648715,1482798,98583,1029115
membench,1,pmem,seq_prefetch,0,28900.062500,1.169485644,3687776,50723777,1285873356,101527,201681,9840,2055809,319376142,79988571,54521886,111978270,0,1045,0,0,28255,871062469,4541175099,6927358733,98446,95229,8
