exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42408.820312,0.983678944,4059350,51185320,1283604579,683735,802398,1524474,2125696,48750882,13002186,53197970,111545317,0,1093,0,0,27566,861801968,3815213116,6843403271,101350,101474,0
membench,1,dram,pgn,0,9874.202148,1.068827864,3287397,49486240,1242278979,1878627,1840286,1466039,2072346,291146984,254761934,53665344,112992535,0,1056,0,0,14157,873539563,4141203049,6943960333,1155058,1302268,0
membench,1,dram,rnd,0,9523.173828,1.072703349,3250314,50611853,1242111316,1772380,1756776,1533980,2157943,283582316,247098669,53530352,111358140,0,1086,0,0,28233,884399709,4148392985,6865633703,1300895,1443252,0
membench,1,dram,seq_prefetch,0,39322.085938,0.992056054,3990246,50784738,1290345302,101739,196489,1361506,1972412,284350107,55174728,54710125,116959337,0,1058,0,0,17168,854272561,3846786100,6937902050,100542,100152,0
membench,1,dram,pgn_prefetch,0,20211.410156,1.015502397,3291345,51482263,1265081967,102201,197718,1426206,2017351,208417573,173400883,51711529,106277288,1231553,1075,6966,0,27643,882477919,3934839469,7048185288,104473,100186,0
membench,1,dram,rnd_prefetch,0,17742.136719,1.022950575,3136866,51273763,1268462742,95667,192523,1438611,2024056,206878057,171844766,51767098,108248435,1181038,1032,6053,0,34204,878212221,3957214141,7077340461,104058,99065,0
membench,1,pmem,seq,0,28949.425781,1.160866159,3657596,50966557,1289852224,421809,770033,12279,2234649,52355345,14347973,52908075,109201787,0,8625,0,0,21148,861720096,4505427191,6862990951,96194,93005,196
membench,1,pmem,pgn,0,2402.390869,1.551338144,2979633,51404585,1267175160,107475,1212552,12564,2143315,1585181525,1549930697,52629929,107460496,0,1006,0,0,45945,885830173,6023363205,6975148439,1096392,100239,1036104
membench,1,pmem,rnd,0,2385.644043,1.555769806,2979770,51836505,1274471120,109861,1202602,12166,2129977,1578172382,1542679188,52488076,106976823,0,1004,0,0,50953,882067296,6041357214,6983625072,1496696,103706,1029391
membench,1,pmem,seq_prefetch,0,27797.082031,1.174246007,3644599,51382005,1278082917,103534,205346,10817,2027494,328386307,92070195,54368859,112322892,0,1060,0,0,40959,865667757,4557568075,6909056882,100138,92872,4
membench,1,pmem,pgn_prefetch,0,4504.971191,1.363246281,3071067,51182797,1260410543,105657,206765,11044,2059361,903135571,867882696,51745743,106572611,967259,1109,4925,0,25316,898145647,5291852826,7034483563,105687,100251,599
membench,1,pmem,rnd_prefetch,0,4361.593750,1.355226398,2990550,51493499,1265465389,104334,206263,12259,2088990,881621916,845811589,54207836,109093928,788830,6279,0,0,34354,857930067,5259676993,6770032163,100231,100400,4
membench,1,dram,seq,500,43666.218750,1.118054903,2995671,51101282,1275572260,113249,214393,1411615,1972892,47275218,12855296,52831982,109725587,0,1009,0,0,891732,1292062620,4326284458,8772095156,344832,107845,0
membench,1,dram,pgn,500,10074.551758,1.192111128,2974428,51474510,1270509847,1133647,1244015,1454672,1993536,366080910,333180009,51737892,106884470,0,1129,6969,0,778843,1302094959,4620027765,8890815140,1118768,1191605,0
