exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42517.007812,0.993180355,4077690,50836619,1277118767,102852,194939,1390581,1999812,280435571,56347017,54121227,112481926,0,1059,0,0,15156,856239414,3825202161,6907613383,102380,99582,0
membench,1,dram,pgn,0,9994.602539,1.067880484,3312970,49827855,1248243020,1733262,1707688,1465978,2062796,289718971,252738677,53825571,113866455,0,1055,0,0,20112,873476882,4137250547,6893934423,1261926,1410276,0
membench,1,dram,rnd,0,9684.667969,1.071184318,3254702,49725133,1242404134,1685633,1895384,1438300,2081044,284045911,246941288,54042466,113387521,0,1070,0,0,14870,879419391,4155135716,6998902819,1143574,1289376,0
membench,1,dram,seq_prefetch,0,38467.457031,0.990628568,3975329,50671586,1290134454,101372,196339,1376838,2011256,277453588,55701245,53590527,116433528,0,1068,0,0,25102,857678718,3840191565,6923786435,100793,98060,0
membench,1,dram,pgn_prefetch,0,20280.273438,1.017508902,3236021,51501963,1276607550,99876,197571,1419513,1980476,209917379,174755693,51764363,108358257,1305936,1048,6825,0,30493,871574265,3940660746,7089727654,103427,101280,0
membench,1,dram,rnd_prefetch,0,17946.876953,1.019773196,3118987,51670037,1276520102,100148,195879,1414237,2004051,202436119,168706486,51965578,108418584,1191386,1076,6611,0,40180,883009162,3954143809,7024650119,103386,101684,0
membench,1,pmem,seq,0,30027.324219,1.160758789,3620699,51545624,1262677037,614106,742186,11461,2167551,49748304,13461528,53845418,112895054,0,9371,0,0,18140,854722583,4505304646,6773609395,102815,98900,202
membench,1,pmem,pgn,0,2397.305420,1.546944436,2947898,51708029,1270272842,104984,1195292,11172,2081452,1580580328,1545536703,52761858,111950090,0,6139,5206,0,55301,869806022,6001954130,6769672171,1126958,97343,1027216
membench,1,pmem,rnd,0,2379.983398,1.551633594,2937731,51497790,1276930259,108899,1200665,13877,2109009,1575498576,1538833620,52507680,111564719,0,1496,1022,0,54249,881180035,6024413130,6929398229,1124885,98249,1021556
membench,1,pmem,seq_prefetch,0,29609.453125,1.163244695,3651606,51184564,1280554349,101951,620612,16527,2162953,81141398,19092615,53646368,116275603,0,6280,0,0,33942,864045422,4515239543,6815876096,97782,95484,0
membench,1,pmem,pgn_prefetch,0,4487.142090,1.354081749,3052403,51313413,1264889980,107212,211201,11880,2070792,896263757,833960305,54631106,114459489,750554,9906,0,0,64809,864595668,5257272804,6733093228,102501,99666,762
membench,1,pmem,rnd_prefetch,0,4371.604004,1.357252207,2972146,51114088,1280697963,104153,205844,10204,2070508,886080871,848813646,53828721,112712408,779780,6314,0,0,30215,862576213,5270603889,6792009938,101080,100201,9
membench,1,dram,seq,500,43664.308594,1.119670126,2973914,52068168,1257074922,100175,205611,1445130,2072063,51969474,14272036,52597052,106361294,0,1059,21,0,1033552,1327716588,4343645410,8732645093,581911,587090,0
membench,1,dram,pgn,500,9839.614258,1.199916236,2968387,51894436,1259786342,1133042,1232086,1442574,2030236,378223657,342844863,51973114,105426677,0,1011,1354,0,908032,1296692995,4655922442,8795880798,985754,1056231,0
membench,1,dram,rnd,500,9553.378906,1.203631623,2950142,51646905,1264792403,1119415,1220187,1441814,2034841,373173692,338154325,52082368,107129560,0,1041,0,0,1065356,1323496511,4674056122,8833647657,1322318,1052913,0
membench,1,dram,seq_prefetch,500,40518.636719,1.114488851,3011547,51782893,1275656304,106047,203264,1453724,2043487,48945562,13484678,52458269,107057970,1000377,1038,0,0,917312,1319718964,4324044499,8802507547,104817,103911,0
membench,1,dram,pgn_prefetch,500,38602.585938,1.122379513,2974211,51901892,1273822735,108053,206800,1423640,2013771,67769519,31384515,52729188,108902106,1003011,1035,0,0,1026378,1327673052,4357788423,8808833448,554220,559918,0
membench,1,dram,rnd_prefetch,500,28576.328125,1.131592848,4144370,51622334,1287044640,108560,198660,1395827,2018707,67048434,30062279,53466348,110152659,955716,1043,0,0,983989,1368947034,4387805641,9026169149,514381,519684,0
membench,1,pmem,seq,500,42758.800781,1.292917760,3018874,51753297,1266062320,107498,215122,11022,2098921,51030915,15417043,52382177,106738504,0,1017,0,0,887588,1304274417,5019086543,8762353916,100757,101685,645
membench,1,pmem,pgn,500,2379.496338,1.681958806,2919090,50457444,1258627069,620206,1692399,12273,2144877,1505759143,1467439588,54164163,115658086,0,6214,0,0,1301954,1376179902,6531546830,8747495043,1167006,97048,1068087
membench,1,pmem,rnd,500,2359.926514,1.691091765,2984356,50205561,1251689960,106699,1732191,17411,2188042,1516259534,1473278453,53969090,111946963,0,1045,0,0,979324,1369319524,6568748446,8922377905,1146187,96116,1071441
membench,1,pmem,seq_prefetch,500,36627.351562,1.286869346,2989728,51864872,1282607658,106877,209949,10663,2101402,62101356,23729889,52332817,110921624,987903,6002,3054,0,1006056,1352520468,4996508169,8954605988,100440,98924,4
membench,1,pmem,pgn_prefetch,500,6317.997559,1.434830238,3091209,50486450,1241365647,107066,201419,11068,2073984,819877431,576185192,54949178,111843289,882158,1064,0,0,900794,1325986759,5571122691,8877726422,101794,98593,483
membench,1,pmem,rnd_prefetch,500,6069.139648,1.424469013,2976239,50730172,1257901166,299636,718226,11773,2163519,526990875,488964298,54294869,115736001,856956,6223,0,0,1044798,1394132171,5532167722,8966539942,95968,92863,13
membench,1,dram,seq,1000,43821.210938,1.248712839,3004466,50219542,1234266996,130778,727857,1545178,2113739,48812674,13458709,53199738,114294436,0,1047,0,0,918404,1773580436,4845944308,10886559422,100525,97546,0
membench,1,dram,pgn,1000,9981.932617,1.318180542,4117646,52614477,1287315918,1037798,1143780,1476914,2101496,342193729,306706323,53941499,108576245,0,1053,0,0,1002012,1885520421,5108140966,11037672407,1219701,1236227,0
membench,1,dram,rnd,1000,9632.983398,1.326498801,2971996,50985261,1252953559,1698423,1775558,1522797,2120431,342051600,306560925,53431626,109995569,0,1082,0,0,969945,1824993146,5135269846,10981840910,1159492,1204106,0
membench,1,dram,seq_prefetch,1000,40466.171875,1.240634570,3003331,51938186,1264931142,626349,744680,1493904,2084986,47968445,12936205,54200083,110415279,885954,6220,0,0,1045401,1928037675,4813736938,11207997487,94271,96111,0
membench,1,dram,pgn_prefetch,1000,44460.250000,1.245765770,3002148,51168932,1232624351,634124,749298,1548244,2200416,53776189,18459421,53515163,107784692,896081,1089,0,0,922232,1833794820,4833501332,11021718265,98602,93244,0
membench,1,dram,rnd_prefetch,1000,31231.455078,1.251030784,2968622,50308414,1251159630,100369,765299,1492786,2209484,54556874,18192568,54209788,110867316,871880,1082,0,0,964371,1867624165,4850300906,11133130708,100584,99554,0
membench,1,pmem,seq,1000,43436.714844,1.409629356,4149651,53719353,1275421924,582028,214935,12566,2138536,50405577,14548001,54176934,111746325,0,6194,0,0,1114090,1991165721,5464885394,11251466018,100249,99671,853
membench,1,pmem,pgn,1000,2397.305420,1.805278693,2932408,51600548,1280659471,106553,1200279,12105,2108125,1583415090,1546713208,52478590,111369219,0,8122,4967,0,1027549,1877171002,7009791906,10876578809,1121629,97645,1023028
membench,1,pmem,rnd,1000,2379.677490,1.824043972,2964982,51652099,1268117932,109803,1207339,12326,2124180,1592709318,1556755170,52373364,108036240,0,1036,0,0,1018688,1846363690,7078859329,10905202370,1495638,397575,1008067
