exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42470.058594,0.985504915,4108077,51107745,1284935341,103053,714039,1480357,2126267,54557903,14380775,53202143,112995508,0,1062,0,0,24820,856101494,3821499205,6890491791,101595,102205,0
membench,1,dram,pgn,0,9987.515625,1.074302104,3214909,49557487,1233314421,1691347,1909814,1452177,2069296,288904411,252614731,53860179,113893231,0,1080,0,0,16507,871826082,4149777080,7027301854,1052655,1199843,0
membench,1,dram,rnd,0,9598.218750,1.073797420,3258566,49531498,1240802973,1471612,1906023,1458083,2110035,284611883,247488783,53890362,113338716,0,1070,0,0,14853,881731768,4157774955,6996772333,1127152,1272033,0
membench,1,dram,seq_prefetch,0,39379.382812,0.995051378,3999719,51303943,1282732185,102361,197651,1395228,1999859,274336661,56024785,54288132,115106427,0,1079,0,0,15158,854942977,3859324384,6942802999,103829,99288,0
membench,1,dram,pgn_prefetch,0,20352.919922,1.016229082,3316813,51360636,1274297490,107179,200602,1410362,1987208,209506676,173913415,51759144,107776680,1208310,1073,6924,0,24799,878791283,3944300130,7040865165,106543,103932,0
membench,1,dram,rnd_prefetch,0,17922.753906,1.026875713,3065044,51476723,1278641217,103098,196733,1425379,1997301,205525080,170435408,51947952,110057011,1194838,1020,0,0,32480,872356446,3983762322,7099972296,108150,101985,0
membench,1,pmem,seq,0,31838.007812,1.175751888,3820530,51479740,1280201610,105905,209333,11028,2110992,312593423,78008551,54502689,113037278,0,1016,0,0,31337,862131406,4563528386,6921005424,99593,97988,759
membench,1,pmem,pgn,0,2402.015869,1.539370048,2934315,51156713,1282166308,109223,1200190,12474,2001899,1571884849,1535902180,52481949,108936143,0,7595,6744,0,19463,853043494,5971544616,6752924048,1120653,99838,1019452
membench,1,pmem,rnd,0,2382.325195,1.558397884,2986092,51677547,1279724377,105967,1203819,10715,2138701,1582468393,1545215545,52630846,109872063,0,989,0,0,49867,882095122,6050719903,6963571664,1523625,99872,1026979
membench,1,pmem,seq_prefetch,0,29662.146484,1.151781299,3682176,51488604,1274754918,685813,809322,12317,2177771,51021626,14195804,53042657,110881764,274973,8959,0,0,15256,856703525,4472038672,6794486233,98436,97553,0
membench,1,pmem,pgn_prefetch,0,4492.383301,1.346625198,3042800,51356078,1262850565,105734,208427,16973,2108049,957765881,703753430,55860515,112650894,752907,9507,0,0,21343,835524204,5226212240,6757118894,98960,97512,583
membench,1,pmem,rnd_prefetch,0,4367.498535,1.356314945,2962666,50962379,1270953512,104340,212005,11686,2013476,883185678,847848898,53931846,111552456,818655,6361,0,0,36299,875365771,5265696351,6729598709,98629,95600,4
membench,1,dram,seq,500,43618.597656,1.115685830,2990877,51737231,1267671840,104972,206428,1467197,2053408,47446329,12920725,52271693,105281106,0,1028,4056,0,883351,1307041185,4323606191,8783004538,103352,100436,0
