exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42495.328125,0.993153497,4101043,51142229,1282694520,98186,194808,1401109,1993839,277033011,56024921,54150787,115440150,0,1070,0,0,14889,853950386,3850241520,6946118389,101143,96002,0
membench,1,dram,pgn,0,9973.868164,1.062044179,3320924,52064961,1262547768,1585163,1539027,1544949,2144153,286414351,251434725,53254827,107787274,0,1072,0,0,28504,871166815,4116049886,6778670056,1408390,1551104,0
membench,1,dram,rnd,0,9700.356445,1.065168450,3257581,51148551,1263916877,1615337,1592375,1515184,2123898,279712333,245225543,53826319,108813465,0,1064,0,0,29710,871790718,4122863117,6800832706,1442578,1559318,0
membench,1,dram,seq_prefetch,0,39488.234375,0.985459330,4030956,50907212,1283560699,98581,702472,1426920,2086757,70961497,16999559,54039004,111510952,0,1062,0,0,27325,859902569,3815700177,6879437915,98836,99240,0
membench,1,dram,pgn_prefetch,0,20521.660156,1.009769067,3361079,51803990,1271466336,104475,201206,1437556,1995521,207247469,173078486,51714205,105401386,836335,1136,9514,0,44744,877683441,3919602639,6982685185,103387,100867,0
membench,1,dram,rnd_prefetch,0,18010.554688,1.016022921,3147075,51468184,1277861354,104369,199799,1416615,1995135,202492761,168083100,52034508,104536175,1188087,1093,6529,0,41518,883058432,3939725845,7039751545,103230,101243,0
membench,1,pmem,seq,0,28356.728516,1.180163866,3671363,51197166,1275655933,106583,208084,10939,2038865,131495088,126343125,53532300,111308450,0,1060,0,0,22097,858200320,4581989853,6953699733,102242,101055,471
membench,1,pmem,pgn,0,2405.766113,1.534764260,2943096,52104842,1276777727,110313,1201990,10659,2114744,1567795147,1530052599,54253738,107907094,0,9808,0,0,18261,841158299,5959288458,6745867704,1125707,101311,1021713
membench,1,pmem,rnd,0,2388.299316,1.547524737,2940797,51634198,1281741072,106892,1197638,11898,2124811,1569831249,1533972562,52363942,105695143,0,6051,5531,0,52946,875557141,6007774649,6830245963,1125033,97414,1026537
membench,1,pmem,seq_prefetch,0,29730.048828,1.159762328,3703463,50439573,1301742169,98603,749010,17166,2216701,52534782,13686869,52645381,107224102,0,6213,0,0,26005,872255652,4502840415,6875863491,96391,97286,0
membench,1,pmem,pgn_prefetch,0,4493.776367,1.353694397,3016654,50872825,1265004490,107156,208459,11865,2048722,900144807,860275332,54154537,113615372,774583,1600,11,0,41102,871080185,5255481764,6820514895,100701,98219,252
membench,1,pmem,rnd_prefetch,0,4368.395508,1.353827995,3027567,51349060,1288001115,103808,201464,11617,2168467,883221969,844595435,53783837,105796359,750470,6258,0,0,22817,850712930,5257406290,6882032279,96488,92956,4
membench,1,dram,seq,500,43727.316406,1.115225944,3006280,51817289,1270663891,105177,206517,1433567,2054640,49345683,13233974,52624116,106164305,0,1033,0,0,883925,1303848603,4318124477,8779258861,102951,101985,0
membench,1,dram,pgn,500,9930.289062,1.189816987,2989333,51263112,1263914801,1135423,1233088,1471116,2049305,369772579,336506118,51586997,105886640,0,1097,7037,0,792386,1314513787,4617437277,8903530471,1135887,1193053,0
membench,1,dram,rnd,500,9604.671875,1.195966282,2968980,51607348,1274159352,1111237,1222349,1452147,2051747,369032681,335081573,51984171,105513060,0,1130,6862,0,824395,1315102196,4632838109,8912948537,1116980,1175002,0
membench,1,dram,seq_prefetch,500,40376.308594,1.116283764,2991281,51869329,1277793625,106855,209232,1449492,2033576,46597134,12796958,52213190,106527171,1002028,1029,0,0,919862,1313167814,4323852312,8791328005,528864,102890,0
membench,1,dram,pgn_prefetch,500,39494.472656,1.115248810,2998383,52216350,1283334068,101627,198416,1451251,2053438,65649115,30532440,52503554,106068706,996259,1023,0,0,938801,1329013616,4326032312,8826986578,424085,100139,0
membench,1,dram,rnd_prefetch,500,28552.666016,1.127392605,3156816,52518583,1287996752,101712,198768,1476189,2043086,64129980,29342382,52814522,106309943,955014,1045,0,0,984337,1392539402,4362847434,8999141112,510691,518856,0
membench,1,pmem,seq,500,42769.769531,1.275353391,3012632,52060480,1273953884,105181,209833,11498,2110748,51267196,15284125,51775297,104897580,0,17386,8255,0,1086660,1384323156,4950569076,8955565597,100613,99013,263
membench,1,pmem,pgn,500,2381.649902,1.680366643,2918191,50875219,1266950783,612050,1684397,12660,2155700,1508272840,1471208412,54083558,115023072,0,6187,0,0,1052932,1373112410,6525476268,8751443044,1164998,93072,1070906
membench,1,pmem,rnd,500,2365.816650,1.679564987,2898045,53681448,1254581832,694077,1739263,10887,2183078,1495820816,1460538212,55009160,113565459,0,8773,0,0,1078255,1357798453,6522878369,8717620928,1164376,95158,1065121
membench,1,pmem,seq_prefetch,500,36234.511719,1.287792072,2973818,52180334,1272602905,109419,214798,11699,2079829,59125370,24358000,52737960,112199648,983151,6027,4801,0,1003577,1354724139,4995140450,8907475205,103158,100358,4
membench,1,pmem,pgn_prefetch,500,6329.594238,1.416554617,3025995,50871224,1257715205,631331,750746,12154,2142102,524538585,488010051,54397573,111645345,872653,6221,0,0,1077029,1400247862,5501661464,8904603958,99133,95491,575
membench,1,pmem,rnd_prefetch,500,6101.318359,1.414150332,2980741,52007853,1276405258,704518,825089,12285,2199483,519808542,483846623,54401907,110408204,867276,6998,0,0,1156689,1403334213,5490222766,8941977177,99005,97229,4
membench,1,dram,seq,1000,43861.574219,1.244254594,3003382,49591038,1231296919,678322,792582,1498907,2120816,49352725,12682426,54075556,111187088,0,1076,0,0,921618,1830171144,4829042258,11032484921,103705,101058,0
membench,1,dram,pgn,1000,9865.629883,1.330631707,2964691,49893307,1238454850,1684042,1765673,1487070,2097932,348811095,312829659,53683455,113235115,0,1063,0,0,957303,1817893644,5163144338,10887877982,1109055,1152826,0
membench,1,dram,rnd,1000,9533.251953,1.332812962,2928801,49752439,1245404636,1644675,1733197,1475107,2086973,346256206,309906242,53843631,113583460,0,1054,0,0,956360,1818457781,5170976042,10955676336,1134048,1177527,0
membench,1,dram,seq_prefetch,1000,40461.257812,1.254422848,3013370,50069329,1235307620,106424,202617,1409089,2063055,285691187,56012703,54012724,114068455,894460,1085,22,0,912313,1776971241,4864018564,10824606871,101931,101611,0
membench,1,dram,pgn_prefetch,1000,44567.253906,1.259993500,3011998,49826135,1234903933,103205,194229,1389665,2021060,289431348,63113521,54156376,113831646,898596,1045,0,0,915434,1783545038,4889161876,10719203563,102339,100225,0
membench,1,dram,rnd_prefetch,1000,31124.527344,1.256454780,2965375,50014485,1250068456,103693,196116,1432495,2027459,286651838,60896571,55178916,114235144,875383,1076,0,0,902323,1782247965,4878669845,10960703227,99819,98310,0
membench,1,pmem,seq,1000,43630.015625,1.403092205,4162575,53574747,1305544694,111319,219147,12682,2164934,51829085,14530948,53350643,107682938,0,7964,0,0,1189756,1999954741,5448282188,11285276503,333766,494936,806
membench,1,pmem,pgn,1000,2399.209229,1.811599545,2959292,51599904,1261322324,110219,1210842,12251,2142891,1590085922,1552560902,52656360,108912322,0,1099,4826,0,988097,1836337433,7035492975,10898431747,1107896,100585,1025593
membench,1,pmem,rnd,1000,2369.870361,1.812517356,2910053,51791068,1276571957,107565,1198891,13188,2134680,1586150135,1547486748,52791250,112755345,0,5360,6678,0,1022436,1860058489,7040515810,10911749699,1121206,96817,1021298
membench,1,pmem,seq_prefetch,1000,38722.167969,1.428151586,3087634,50430340,1237032042,104959,721567,16740,2214356,54863034,17997606,53909041,111059949,887681,1047,0,0,917297,1783966906,5542533296,10975843608,100020,94508,8
membench,1,pmem,pgn_prefetch,1000,11026.695312,1.494381804,4245643,53075981,1282817349,110932,213968,10969,2162709,322843167,286643258,53118462,109596139,959406,1032,0,0,984526,1832891192,5802744694,10998225525,100618,97399,891
membench,1,pmem,rnd_prefetch,1000,10275.063477,1.480857828,3515565,52661525,1306572037,105975,214378,12937,2115990,324322244,287341309,53256149,113027702,930451,10752,0,0,1167376,1997468197,5751309061,11105809005,524941,527883,382
membench,1,dram,seq,1500,43679.570312,1.370259296,2945420,50747580,1267905377,105308,204231,1461558,2034664,47804846,12964376,52469755,108125131,0,1101,6981,0,931833,2313494314,5317803245,12956519930,101506,101053,0
membench,1,dram,pgn,1500,9974.863281,1.458127919,2905066,50707393,1257259231,1111712,1220349,1419653,1997763,369421498,334004034,51950577,110373502,0,1073,6916,0,925550,2249954300,5659092983,12761940206,1070589,1103104,0
membench,1,dram,rnd,1500,9761.430664,1.463477967,2914667,51023391,1260820638,1112612,1215589,1426852,2004837,369423726,333691610,51933971,109977376,0,1032,6128,0,969467,2258703433,5678952724,12710216597,1041851,1073884,0
membench,1,dram,seq_prefetch,1500,40525.207031,1.383904155,2958833,51201322,1262520380,104464,198419,1427592,2024511,49691249,14029231,52595789,111152601,992927,1031,0,0,992405,2267434164,5371024535,12669611920,448330,100869,0
membench,1,dram,pgn_prefetch,1500,47016.785156,1.380279795,2950515,51379628,1265881439,109021,203577,1434298,2023618,49536551,14253248,52003538,111120054,999789,1061,4039,0,963066,2222847809,5357922848,12660203595,106835,106620,0
membench,1,dram,rnd_prefetch,1500,32320.619141,1.384767603,2915189,52200543,1281969764,104479,201962,1490776,2048230,48203052,12877288,52160902,111825801,993971,1021,0,0,1018619,2307623576,5366725448,12808600505,522389,526497,0
membench,1,pmem,seq,1500,43671.933594,1.536493816,2979614,50421841,1308852333,99357,200998,12050,2043375,53494700,14347700,52652958,108124411,0,10384,0,0,1052942,2449190612,5967133804,13175231063,96937,93581,117
membench,1,pmem,pgn,1500,2424.953857,1.930913157,4164156,53729351,1303363367,108741,1176682,13707,2229362,1530246422,1491319788,53191611,108034767,0,6114,0,0,1064055,2410330577,7501190117,13004920073,1150764,495756,1025463
membench,1,pmem,rnd,1500,2410.591064,1.932073002,4121760,53621821,1298246393,115346,1181979,13672,2142056,1520154792,1484443496,53798254,109671821,0,6156,0,0,1058869,2411023531,7504046416,12992531103,1149633,149284,1030851
membench,1,pmem,seq_prefetch,1500,40160.644531,1.545118377,2988315,51466759,1265250528,107540,209138,12168,2124688,49131815,14768027,52563152,108678659,998203,1110,5534,0,950048,2324187427,5999338626,12996344905,97013,95254,4
membench,1,pmem,pgn_prefetch,1500,26388.009766,1.560051831,3008878,51763025,1277312757,108232,211796,12256,2104007,115175078,79323568,52904177,109295336,979223,1039,0,0,1035831,2375995914,6059739694,12970845981,532605,530811,499
membench,1,pmem,rnd_prefetch,1500,21601.539062,1.555646904,2927791,52886692,1287627891,109684,213451,11477,2127558,108484342,73689272,53255042,108669774,959512,10765,0,0,1125644,2430991111,6042075579,12934464671,234867,98598,50
membench,1,dram,seq,2000,43754.101562,1.503522329,2959460,51812510,1255634846,688804,790729,1494355,2118802,49544862,13203992,54071471,107771364,0,1066,0,0,982266,2854420721,5822790923,15057680482,101476,100343,0
membench,1,dram,pgn,2000,9987.515625,1.588256697,4079990,52197652,1274398113,1597743,1182438,1460306,2046114,359383816,321674199,53303661,114191162,0,1041,0,0,994689,2819113238,6165101787,14936505369,1117954,1139135,0
membench,1,dram,rnd,2000,9541.984375,1.589435399,2859247,50780730,1259543331,1613249,1713049,1436327,2040886,357978946,321735256,53568811,113714727,0,1037,0,0,996142,2818670198,6170253858,14936140115,1107319,1131652,0
membench,1,dram,seq_prefetch,2000,40700.042969,1.512879731,2938713,49125365,1225192443,608407,715887,1475550,2088704,51980378,14731217,53889125,114724289,957305,1066,22,0,977694,2791740625,5868320522,14855394924,103447,99212,0
membench,1,dram,pgn_prefetch,2000,47303.691406,1.498224911,4107707,52904674,1284851119,545276,204998,1451278,2069517,49847442,13580937,54352977,108729729,954001,1057,0,0,1013424,2899272326,5814418787,15222853072,97318,95295,0
membench,1,dram,rnd_prefetch,2000,32126.449219,1.512258459,2903613,49441170,1262205456,110017,769575,1433196,2044405,49146346,13443966,54789570,115792215,946393,972,0,0,974612,2776304167,5868536819,14994334335,102560,100921,0
membench,1,pmem,seq,2000,43641.441406,1.675426112,4132734,52455671,1278005050,620624,210721,13647,2153945,51492205,14803577,53598955,113538236,0,1029,0,0,1016957,2895499316,6506257062,15242649610,94028,92004,136
membench,1,pmem,pgn,2000,2437.888672,2.062357177,2941457,51192278,1260486746,110657,1215724,11960,2135168,1571210482,1534803845,54444986,110045589,0,1112,0,0,1006003,2854970114,8012155592,14967847685,1122310,96314,1025189
membench,1,pmem,rnd,2000,2422.738770,2.057370021,2905698,51049415,1276563028,108897,1208750,13796,2100319,1573228021,1537647413,54988160,109744223,0,6259,0,0,1034448,2905930164,7991315153,15007475331,1122560,98909,1019475
membench,1,pmem,seq_prefetch,2000,40348.613281,1.673681702,4188190,52812527,1292833384,548417,213599,11941,2171134,52432012,14919031,53502020,109976548,948025,7990,0,0,1064464,2946041063,6501045379,15331127541,100328,97227,316
membench,1,pmem,pgn_prefetch,2000,29095.142578,1.679926477,3003079,52484243,1282448266,632927,751108,11201,2198766,103137611,64994365,53784296,109965920,932898,8772,0,0,1065783,2982672705,6522244828,15336567474,96577,94543,384
membench,1,pmem,rnd_prefetch,2000,22632.628906,1.687592972,2935159,49800727,1273376605,110698,759033,12662,2113914,102082745,65092263,53957408,109790117,922690,6214,0,0,1045413,2962916282,6553289941,15292593391,100588,98472,71
membench,1,dram,seq,2500,43798.175781,1.630611398,2908220,51281578,1263205161,109326,206581,1441547,2029321,47208885,12898955,52299398,106074485,0,1104,9429,0,987554,3298373183,6332150880,16949354017,103793,101003,0
membench,1,dram,pgn,2500,9991.506836,1.715044468,2870915,50042479,1249325783,1106198,1212143,1413403,1982737,361647419,327776133,53132503,113665106,0,1130,2857,0,974397,3263634861,6653756555,16854161716,1091472,1112805,0
membench,1,dram,rnd,2500,9551.462891,1.717555305,2876780,51143802,1266466665,1084124,1193878,1417669,2037570,369167741,333171075,53536383,107686317,0,1144,1429,0,978221,3324084188,6665368065,16990468460,1115894,1138535,0
membench,1,dram,seq_prefetch,2500,40559.722656,1.636481066,2919143,51505577,1280352995,100861,197693,1495431,2022929,45711956,13257683,51651437,112443314,1004101,1113,6889,0,973940,3204620493,6353135041,16792310783,95279,96000,0
membench,1,dram,pgn_prefetch,2500,47431.578125,1.629718637,2914906,50931716,1250767223,104013,199661,1419507,2036696,49621908,13291752,52664606,107055238,991645,1132,6660,0,961519,3240518862,6327275217,16835506915,100736,96335,0
membench,1,dram,rnd_prefetch,2500,32462.261719,1.645376001,2881923,51184732,1277258513,104614,206477,1472813,2034296,46715606,12865615,52004006,112422414,1000683,1033,0,0,1007067,3260144287,6378156102,16723363220,259102,100746,0
membench,1,pmem,seq,2500,43731.140625,1.799234138,2940194,51135729,1260533367,105662,207745,11996,2072214,49064201,13487960,53080391,110269341,0,6939,2905,0,1011951,3363700192,6987394253,17077020328,100345,98277,89
membench,1,pmem,pgn,2500,2449.785400,2.191489026,4147561,52465991,1284252654,108681,1197648,13702,2159989,1536192542,1498812875,53335384,109920203,0,1062,0,0,1037819,3385721952,8512478700,17047481777,1533758,506939,1015435
membench,1,pmem,rnd,2500,2429.336670,2.178729421,2919604,51972434,1299958850,108460,1183345,14186,2142530,1524206282,1485984211,53486969,108185258,0,6620,0,0,1074593,3441495277,8460212666,16996248675,1532732,532783,994810
membench,1,pmem,seq_prefetch,2500,40374.675781,1.804667574,2999345,51795044,1257064735,109483,208592,12389,2135420,49462411,14216774,52579462,107938948,970981,1104,7696,0,1012480,3314612174,7004083673,17006038152,97844,93894,0
membench,1,pmem,pgn_prefetch,2500,34485.136719,1.809525978,2982705,51798516,1262317187,107074,208729,12313,2130502,80168419,45076977,52621705,108255474,998326,1114,4502,0,976903,3273791186,7027944702,16924225829,99012,96903,298
membench,1,pmem,rnd_prefetch,2500,25936.972656,1.809776041,2967437,51923741,1296355407,107955,204253,13319,2195099,81532017,44105475,52168992,103637226,984706,8356,4841,0,1034642,3422819346,7030166126,17204009116,95059,91923,31
membench,1,dram,seq,3000,43803.933594,1.763177184,4073584,52386649,1270312469,664073,209057,1510037,2084903,49228944,13062391,53187146,113190698,0,1057,0,0,998143,3800842315,6844690591,19013020599,102954,99136,0
membench,1,dram,pgn,3000,9911.392578,1.843323534,4108508,53815240,1293839457,1072811,1191565,1492145,2057116,359168287,323116700,53155957,112988840,0,1036,0,0,1017714,3826258141,7160338556,19038372660,1119580,1519349,0
