exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42484.492188,0.991962179,4034379,50426189,1281723145,98406,201648,1367894,1975511,276761822,56630459,54907208,115208433,0,1069,0,0,14724,852067372,3849027354,6950237644,101843,100806,0
membench,1,dram,pgn,0,10115.723633,1.058681534,4359788,52537238,1278545929,1454798,981345,1490827,2102535,285454301,249380764,53731356,109814563,0,1057,0,0,29515,857822280,4102003786,6685979555,1558375,1597445,0
membench,1,dram,rnd,0,9806.805664,1.063590642,3281094,51378270,1263438734,1608647,1573942,1518909,2109214,279685103,244293365,53638227,110047816,0,1062,0,0,32184,870856898,4125642452,6817004368,1430397,1563241,0
membench,1,dram,seq_prefetch,0,38945.359375,0.989092267,4035248,50172637,1275668511,102079,201310,1354238,2010926,278601931,55982366,53946861,115091850,0,1088,0,0,25769,860692555,3838707600,6950589749,101932,98451,0
membench,1,dram,pgn_prefetch,0,20850.708984,1.010865409,3264610,51363450,1267704368,108801,199311,1385601,1993926,205956304,170612534,52069144,104670362,713512,1126,7204,0,27516,880523106,3916691023,6961875281,103102,100521,0
membench,1,dram,rnd_prefetch,0,17989.494141,1.012907616,3141022,51135594,1274546999,97957,192010,1418705,1977647,202814689,168604835,51760558,105935393,962925,1102,7023,0,33955,877016612,3924016552,6973439701,99411,98920,0
membench,1,pmem,seq,0,30795.761719,1.175645094,3785874,51427448,1279378266,104690,205575,10550,2068184,332404314,97818705,53913864,110700563,0,1072,0,0,26292,863128476,4556187493,6922697800,103156,97354,542
membench,1,pmem,pgn,0,2394.756348,1.548922632,2945136,51876986,1270481568,106314,1201569,12080,2079636,1583788534,1547545633,52754278,111059422,0,4336,5207,0,51728,871253329,6007496144,6829764771,1123228,96209,1023715
membench,1,pmem,rnd,0,2377.900635,1.554152673,2943549,51825304,1274298233,110705,1202749,12199,2089795,1579135106,1541777708,52608657,110171733,0,1019,0,0,52813,879921940,6032766512,6906913882,1290407,98608,1021489
membench,1,pmem,seq_prefetch,0,28255.771484,1.164891362,3601165,51902111,1270438377,101505,214802,17877,2146618,293268725,56434132,54218861,117762394,0,6296,0,0,36807,859050257,4522407828,6776793688,98373,94846,0
membench,1,pmem,pgn_prefetch,0,4486.558105,1.355274666,3036752,51583550,1260902921,106977,205860,12104,2092896,901431601,840762645,54596583,114224970,748695,6320,0,0,39716,860227545,5262107665,6734358721,102482,99464,343
membench,1,pmem,rnd_prefetch,0,4352.632812,1.359636116,2997005,51538753,1272850327,103949,205345,11906,2081938,886311298,850940220,54029686,113160954,810769,7197,0,0,26977,860981638,5276113883,6760081927,99590,97117,18
membench,1,dram,seq,500,43792.425781,1.122959018,2989383,51882271,1273197061,105238,207369,1473669,2037033,48033142,13296040,52034744,109043387,0,1019,0,0,1034033,1316012840,4353787099,8748505513,566157,563380,0
membench,1,dram,pgn,500,10007.304688,1.191289217,2984245,51452335,1259501976,1128803,1232907,1460676,2047801,366698337,332719951,51773423,105087695,0,1121,6685,0,775418,1309006118,4620077351,8894682029,1122963,1191950,0
membench,1,dram,rnd,500,9676.045898,1.196768136,2946947,52175541,1273108032,1111058,1226525,1512845,2068375,364896997,331248605,51336396,106455511,0,1099,6542,0,808250,1305846077,4645803952,8913359372,1114172,1181248,0
membench,1,dram,seq_prefetch,500,40377.937500,1.117721235,3010174,52083332,1269464173,105717,204877,1441466,2050461,48990657,13771198,52642946,104969022,1002796,1031,0,0,977454,1318035116,4332613243,8789174831,523616,100108,0
membench,1,dram,pgn_prefetch,500,38946.875000,1.120628322,2993772,52696871,1292946568,106411,203622,1462916,2014369,64408979,30465380,52420802,109367981,992881,1025,0,0,965163,1331822355,4335924347,8834728970,477957,106053,0
membench,1,dram,rnd_prefetch,500,28450.312500,1.130031582,4201111,52110070,1297703913,105080,203004,1426460,2025841,65175390,30250082,53179169,109826933,957400,1004,0,0,980806,1351350551,4372370796,9028551659,524772,526983,0
membench,1,pmem,seq,500,42511.582031,1.285733970,2993299,52177514,1271059397,105850,210506,11849,2077384,52000712,15561829,52347858,110831273,0,6117,5146,0,917249,1326609256,4990703373,8925751445,99631,96461,564
membench,1,pmem,pgn,500,2381.927734,1.689659797,2986569,50187366,1250351254,430033,1739768,10575,2187156,1507255526,1472066811,54141520,110063251,0,1016,0,0,981445,1363423139,6561149496,8879779036,1146052,97042,1075736
membench,1,pmem,rnd,500,2356.600830,1.689953088,2929758,50424648,1246815738,104517,1718518,18477,2181346,1508932255,1472311990,54210727,114819828,0,1066,0,0,996424,1368815732,6563910214,8867366339,1156341,96072,1067693
membench,1,pmem,seq_prefetch,500,37202.382812,1.298672190,3044908,52057609,1268325816,112475,220482,11098,2117646,54912998,21122437,52407216,106630099,993276,1025,0,0,1021197,1336817133,5034194074,8832723038,527082,529730,0
membench,1,pmem,pgn_prefetch,500,6313.569336,1.437466364,3074406,50436115,1246664677,105380,209223,9924,2054282,810833344,568813952,55299786,110582312,878977,1070,0,0,898589,1317719372,5563646575,8888853711,103520,98905,762
membench,1,pmem,rnd_prefetch,500,6073.341309,1.427209006,2982452,50240773,1257049507,102146,212335,18930,2134218,775060814,531561633,54104691,114911092,858664,1080,0,0,960642,1372436580,5542540262,8987392894,97199,94130,17
membench,1,dram,seq,1000,43838.496094,1.247309261,3006363,49375111,1222093838,646747,758091,1489577,2118538,51770564,13448428,54117547,111736312,0,1079,0,0,924425,1806041874,4835621601,10982426002,102267,98863,0
membench,1,dram,pgn,1000,9953.914062,1.322368876,4109069,52714208,1271145812,1622606,1146597,1484357,2092429,341533480,305479624,53674502,108681017,0,1077,0,0,973450,1860167179,5109228175,11001315904,1199093,1233692,0
membench,1,dram,rnd,1000,9630.664062,1.331125685,2928386,50444983,1239355403,1693596,1770874,1499321,2169908,343040181,306064745,53766591,104288696,0,1084,0,0,961895,1831346457,5155669504,10974935031,1146233,1189901,0
membench,1,dram,seq_prefetch,1000,40530.132812,1.243708899,3009678,50203758,1244680325,629020,738977,1498860,2127087,49165034,12975828,54064814,108753083,888134,1081,0,0,973203,1876053700,4812162025,11097954092,96535,95518,0
membench,1,dram,pgn_prefetch,1000,44571.222656,1.243784951,3005713,49490645,1228981904,639878,742231,1441040,2074310,56383908,18605849,54776633,110056371,894913,1054,0,0,918801,1816348142,4823970729,11013044996,100723,99705,0
membench,1,dram,rnd_prefetch,1000,31077.132812,1.252955142,2968492,49982293,1250183274,103257,197372,1436681,2082708,279099680,59746620,54344611,110564799,873048,1067,0,0,900975,1813464565,4862053291,11032833359,99947,96651,0
membench,1,pmem,seq,1000,43434.824219,1.418599303,3053273,50232881,1240545115,639152,753608,12479,2138630,52875204,14573786,53777241,110040941,0,1079,0,0,952719,1851591522,5507923226,11091577565,99420,97864,487
membench,1,pmem,pgn,1000,2402.160156,1.799812921,2935226,51616051,1267021461,110731,1202985,12083,2071981,1574404070,1539207962,54580030,110616416,0,17163,2480,0,1046297,1878479273,6978724740,10848201099,1118792,98765,1018841
membench,1,pmem,rnd,1000,2378.166504,1.811830512,2918735,51605379,1276897008,112501,1206937,11893,2113301,1578683899,1543172358,52812249,108797977,0,6162,4944,0,1021904,1877074108,7024634235,10892661305,1123876,99279,1019323
