exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42414.218750,0.986954495,4105061,51236232,1284773243,101465,727191,1457201,2092463,49384337,13209558,53628789,113827131,0,1064,0,0,38058,856902577,3823317443,6901973886,99881,98828,0
membench,1,dram,pgn,0,10004.101562,1.073660943,3265640,49662710,1239403201,1975105,1934507,1468202,2075463,291745583,254021229,53805274,114374712,0,1051,0,0,16005,871639716,4146471581,7005480640,1087124,1232992,0
membench,1,dram,rnd,0,9683.448242,1.073047529,3241875,49767275,1242495815,1476856,1957929,1437803,2089622,285732713,247720274,53871194,114331383,0,1083,22,0,16289,883793304,4164153102,7025390234,1085483,1227715,0
membench,1,dram,seq_prefetch,0,39240.308594,0.988224696,3999454,50379027,1282884184,105225,247134,1339712,2032967,260417643,48694570,54436755,114053010,0,1043,0,0,24751,863056292,3836969985,6930089477,104058,101830,0
membench,1,dram,pgn_prefetch,0,20451.570312,1.018706114,3327266,51494086,1274022354,107194,200278,1412135,1987395,208526378,172822872,51823780,108503585,1302521,1101,6908,0,28186,876779074,3951994052,7066599330,110171,104619,0
membench,1,dram,rnd_prefetch,0,18031.988281,1.021478881,3163779,52346432,1281409828,101654,198472,1512858,2040118,203416835,169062249,50855223,110596599,1194334,1063,6808,0,42786,877590338,3959019447,7044012755,100998,102095,0
membench,1,pmem,seq,0,31207.091797,1.159135185,3702893,50931556,1286662961,638135,760506,12114,2197421,53556677,14130647,53118833,112021543,0,8089,0,0,20791,861696226,4499308281,6846664718,98324,95855,360
membench,1,pmem,pgn,0,2396.426514,1.541731286,2912718,52068655,1270843629,105476,1201074,12195,2049037,1574586955,1539838693,53070337,113522054,0,10130,4918,0,26206,848861310,5982638081,6699825614,1123124,98654,1023896
membench,1,pmem,rnd,0,2379.615234,1.544560619,2888639,52283743,1264486828,116460,1202679,12196,2038364,1565391202,1531370548,53615898,116917459,0,6943,4919,0,20685,845464893,5996469173,6698065375,1123314,103311,1016490
membench,1,pmem,seq_prefetch,0,27429.574219,1.167173589,3584016,51013713,1280647673,101987,199673,17147,2065293,309326403,70679619,53922926,115514749,0,4905,0,0,39555,870673523,4530695270,6830996584,97435,95025,0
membench,1,pmem,pgn_prefetch,0,4474.032715,1.359788467,3049042,51613255,1257132861,103024,204024,11176,2087489,899888941,862636617,54245249,113833186,802415,4780,0,0,41103,867813835,5264220596,6805068376,100699,96543,885
membench,1,pmem,rnd_prefetch,0,4365.630371,1.358559396,3020396,51702137,1266991762,107119,208789,12718,2092197,885544855,849861857,53370350,108140980,847160,3572,361,0,41839,868400620,5275944873,6818635263,101190,98889,4
membench,1,dram,seq,500,43687.199219,1.125306201,3029960,51810774,1268571084,110277,219563,1460714,2046536,51899376,15912532,52120370,111422977,0,1643,870,0,1038054,1316449233,4356486664,8732237943,543732,544815,0
membench,1,dram,pgn,500,9835.549805,1.200582365,2966691,50881473,1266795631,1126588,1233741,1400383,1983367,378715474,343134674,52311041,109581351,0,1022,5397,0,894908,1286232191,4641290163,8822031870,1007440,1078864,0
membench,1,dram,rnd,500,9541.074219,1.202284087,2961493,51322197,1274061241,1116983,1225642,1461342,2040749,371683721,337444606,51734313,109457304,0,1018,0,0,925897,1301660453,4663150266,8850625681,1024717,1089160,0
membench,1,dram,seq_prefetch,500,40581.121094,1.118528939,2988335,51488850,1269731424,100184,202251,1408211,2037230,50144538,13300534,52730820,109145744,1004137,1042,0,0,994552,1310914873,4337841362,8790230771,533924,328633,0
membench,1,dram,pgn_prefetch,500,39240.308594,1.122774746,2965415,51395865,1270197721,103962,202145,1425488,2037859,67668933,31613182,52538304,108815979,1002784,1056,0,0,1018384,1344961123,4356622033,8804107532,533238,538408,0
membench,1,dram,rnd_prefetch,500,28582.861328,1.132436708,4173107,52271884,1285202844,105482,202557,1432371,2045525,67455521,30736031,53210402,110025980,957989,1033,0,0,980429,1359835895,4397494702,9002264694,540732,544109,0
membench,1,pmem,seq,500,42806.386719,1.279586966,2967625,51494307,1277411680,106003,213926,10272,2058821,50541922,15176001,52337456,107316530,0,7721,5703,0,1004345,1393882615,4968371342,8936070253,103189,103005,360
membench,1,pmem,pgn,500,2376.120850,1.679069086,2909822,52490386,1255663894,609720,1664830,10630,2145190,1505491046,1469659621,55047134,118421786,0,6209,0,0,1058631,1367155302,6520869573,8699668484,1165445,93608,1067528
membench,1,pmem,rnd,500,2359.592529,1.685005396,2906760,50534556,1251239906,635695,1721044,11377,2154734,1503256653,1466844052,54387180,116045612,0,4215,0,0,1036440,1370248652,6543934928,8794934315,1167129,98373,1066639
membench,1,pmem,seq_prefetch,500,36597.863281,1.287209567,2997408,52185628,1273841731,106044,210284,10654,2106585,59689173,23761421,52623637,111373614,983828,5997,2036,0,1006523,1343168476,4996457325,8895980329,101060,98199,0
membench,1,pmem,pgn_prefetch,500,6314.048340,1.422297236,3026256,50673222,1241800108,441350,715149,10999,2182944,528781522,492327302,54165027,115348087,872831,1066,0,0,966444,1362339802,5522435247,8950230469,97045,94548,288
membench,1,pmem,rnd_prefetch,500,6066.157715,1.426603648,2974014,51125835,1253334769,101977,767143,17598,2187547,528058851,491484959,54395773,115332769,857680,6236,0,0,1024517,1384773238,5538354308,8970835233,97275,93999,8
membench,1,dram,seq,1000,43731.140625,1.250989507,3004232,49999525,1229208113,338943,748000,1511070,2112073,49099936,13632786,53628107,114942292,0,1074,0,0,930029,1782838303,4856585248,10919451169,100196,98186,0
membench,1,dram,pgn,1000,9794.032227,1.327897829,2951892,51601409,1259652798,1618428,1706724,1496293,2097801,349140164,312775649,53513010,112009388,0,1072,0,0,963090,1825126936,5152382185,10966734660,1163726,1208465,0
membench,1,dram,rnd,1000,9484.156250,1.332445184,2958067,49091934,1231313341,1681704,1756918,1482356,2068629,348846592,312315732,53629960,113854273,0,1054,0,0,947310,1811110592,5160840535,10895524819,1103603,1148287,0
membench,1,dram,seq_prefetch,1000,40453.074219,1.251745700,3010558,49650826,1237357537,100244,710072,1432369,2076163,51291036,14445134,54220478,113282484,892532,1072,0,0,916995,1780910885,4858038453,10917249817,98814,92844,0
membench,1,dram,pgn_prefetch,1000,44312.492188,1.248598593,3022562,50052782,1233792956,97170,714448,1506043,2135389,53738702,18514431,53767198,114119067,897956,1058,0,0,916141,1773513708,4827805029,10840117731,100505,98837,0
membench,1,dram,rnd_prefetch,1000,30893.757812,1.259666999,2966188,50277360,1248355895,101549,194991,1403575,1982964,284619992,61256987,55315670,112812731,873260,1067,0,0,897560,1772349595,4887444914,10909840550,102608,99271,0
membench,1,pmem,seq,1000,43357.613281,1.419924515,3068634,50250879,1233895035,639395,760373,12756,2156691,50201072,14899115,53862194,111133118,0,1058,0,0,928248,1821304683,5512601516,11032714209,100830,94924,673
membench,1,pmem,pgn,1000,2394.337891,1.808941942,2918093,51180726,1270011359,104797,1203036,11826,2074336,1586321397,1550295174,52419600,111398816,0,2751,4864,0,1001992,1860225085,7026006802,10915554032,1124274,95949,1025341
membench,1,pmem,rnd,1000,2376.092773,1.814535915,2923772,51387917,1273322724,105439,1207343,11908,2110952,1584817401,1547846842,52488296,111253274,0,1068,2450,0,1006947,1851362080,7048271907,10921354309,1103762,98882,1022991
membench,1,pmem,seq_prefetch,1000,38188.343750,1.415959613,3033656,49995455,1252552838,617365,735575,11089,2139855,57421468,20004709,53914700,114778896,879448,1061,0,0,1006399,1903317014,5498750562,11216415546,100185,100501,0
membench,1,pmem,pgn_prefetch,1000,11000.737305,1.482840801,4192968,52243526,1293365897,102162,208436,13404,2146826,323637083,286522185,52973806,112018384,950142,2544,0,0,1076447,1938620628,5758837429,11135684238,488376,486925,842
membench,1,pmem,rnd_prefetch,1000,10354.861328,1.487459344,4148185,53346494,1296804354,106983,215667,11007,2114840,321974445,285605633,53590359,115445817,938038,6138,0,0,1057291,1935143131,5776992616,11198391760,246496,488079,414
membench,1,dram,seq,1500,43599.578125,1.374762932,2960767,51355479,1271017783,105548,201454,1436836,1989412,46619178,12810225,52108833,108356249,0,1009,4766,0,944854,2223665354,5329046695,12766400804,106065,103314,0
membench,1,dram,pgn,1500,9870.109375,1.458713620,2905485,50930089,1264673385,1101324,1211186,1417827,2012914,369848517,335306191,52014187,110156154,0,1092,6595,0,929093,2257431323,5655033564,12791458162,1079620,1112619,0
membench,1,dram,rnd,1500,9629.087891,1.461645735,2892834,50902485,1266521049,1104121,1217211,1448045,2033007,369479645,334954273,51966991,109638750,0,1106,6558,0,946502,2243542288,5659176590,12793066569,1068289,1104717,0
membench,1,dram,seq_prefetch,1500,40806.332031,1.374350282,2949840,51252127,1271086980,109948,204340,1384699,1994084,50595909,13430074,52959224,109123506,1001759,1115,6495,0,940235,2258753939,5326739012,12889392818,106053,102837,0
membench,1,dram,pgn_prefetch,1500,47623.585938,1.370541037,2957942,51018458,1262789399,109033,208541,1461061,2036015,48821309,12905773,52054561,109662075,1006184,1113,6954,0,910634,2273252279,5311619403,12908677749,102044,101375,0
membench,1,dram,rnd_prefetch,1500,32584.966797,1.382253949,2904246,51536543,1274666880,106700,206893,1442096,2005100,47062719,12956796,52606385,106959198,993160,1014,0,0,1008073,2301171094,5365535289,12828915919,551132,183959,0
membench,1,pmem,seq,1500,43679.570312,1.538291436,2970989,52356703,1257091361,109157,210836,12438,2139791,47245517,13194891,52853277,108017615,0,16148,8503,0,1038775,2411598075,5974616831,13063619282,99092,95627,230
membench,1,pmem,pgn,1500,2423.519775,1.943523418,2949598,52006200,1258332923,629574,1719379,11531,2166129,1539067820,1500390980,53345288,109990921,0,1037,0,0,1002332,2339781466,7546587541,12934157115,1116682,94581,1059299
membench,1,pmem,rnd,1500,2397.230713,1.937491236,4085761,53086080,1287208694,476382,1179974,14432,2128351,1529129783,1491891764,53826583,114783276,0,6177,0,0,1045846,2397994883,7524378036,12988733777,1144298,92520,1045300
membench,1,pmem,seq_prefetch,1500,40110.707031,1.548849563,3041390,51749832,1267726994,109904,211891,12566,2113672,53238793,16056748,52380242,108480570,1002548,1101,5929,0,952553,2282533149,6014452411,12904229241,104987,98862,0
membench,1,pmem,pgn_prefetch,1500,25527.134766,1.566295379,3014403,52014454,1284996198,106503,210717,10544,2146708,116162708,79894139,52962389,107426822,983908,1021,5,0,1007238,2375865559,6081907637,12975431492,523048,521524,146
membench,1,pmem,rnd_prefetch,1500,21559.623047,1.577114042,4209447,52329596,1289429216,111569,213850,10945,2137785,112215555,75249986,53108559,109849532,972101,1050,0,0,1004493,2344825116,6125652832,13155448147,427667,516821,362
membench,1,dram,seq,2000,43671.933594,1.507726283,2933963,49074128,1220877305,681371,794169,1465270,2069583,50521304,13582453,54046468,112971565,0,1030,0,0,973834,2791210846,5847702437,14851592352,104587,103698,0
membench,1,dram,pgn,2000,9960.357422,1.585955910,4067507,52485150,1275527044,1390251,1177314,1460130,2079358,356027889,319788933,53717718,112014227,0,1029,0,0,998085,2823701860,6152109375,14963072516,1125049,1146318,0
membench,1,dram,rnd,2000,9490.817383,1.581974443,4100229,52902657,1292050136,1063339,1170420,1521935,2113942,356942475,321454301,53238418,110826789,0,1053,0,0,997720,2869741460,6137457403,15111279786,1154321,1177889,0
membench,1,dram,seq_prefetch,2000,40632.238281,1.509017206,2965705,50655215,1234725701,613679,724483,1552305,2169964,50349183,13636845,53404506,110956204,954808,1069,0,0,987149,2797552728,5847418737,14932777788,105888,102027,0
membench,1,dram,pgn_prefetch,2000,47373.160156,1.498708880,4044662,52226253,1274412400,650613,244090,1460669,2091295,50904138,13412249,54128815,109838188,954248,1068,0,0,982387,2854434484,5809496519,15132255575,99240,97375,0
membench,1,dram,rnd_prefetch,2000,32155.373047,1.513264083,2916549,50108019,1273085080,417018,749020,1468099,2039113,47943499,13514591,54720074,117644435,947024,978,0,0,975755,2800033076,5873276473,15034372512,104223,101432,0
membench,1,pmem,seq,2000,43635.730469,1.666801738,4120624,53474045,1292752874,113877,220154,13547,2112862,48003690,13133549,54179858,111041253,0,9174,0,0,1152652,3021352783,6474509661,15327816801,517876,517848,340
membench,1,pmem,pgn,2000,2427.767822,2.055261713,2934544,51112211,1270297711,107560,1204505,12098,2125968,1759494016,1537389730,54933818,112947668,0,6229,0,0,1035163,2898269096,7982318157,15012186091,1122145,98391,1021440
