exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,dram,pgn,0,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,dram,rnd,0,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,dram,seq_prefetch,0,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,dram,pgn_prefetch,0,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,dram,rnd_prefetch,0,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,pmem,seq,0,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,pmem,pgn,0,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,pmem,rnd,0,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,pmem,seq_prefetch,0,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,pmem,pgn_prefetch,0,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,pmem,rnd_prefetch,0,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,dram,seq,500,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,dram,pgn,500,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,dram,rnd,500,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,dram,seq_prefetch,500,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,dram,pgn_prefetch,500,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,dram,rnd_prefetch,500,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,pmem,seq,500,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,pmem,pgn,500,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,pmem,rnd,500,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,pmem,seq_prefetch,500,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,pmem,pgn_prefetch,500,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,pmem,rnd_prefetch,500,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,dram,seq,1000,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,dram,pgn,1000,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,dram,rnd,1000,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,dram,seq_prefetch,1000,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,dram,pgn_prefetch,1000,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,dram,rnd_prefetch,1000,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,pmem,seq,1000,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,pmem,pgn,1000,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,pmem,rnd,1000,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,pmem,seq_prefetch,1000,,,,,,,,,,,,,,,,,,,,,,,,
membench,1,pmem,pgn_prefetch,1000,,,,,,,,,,,,,,,,,,,,,,,,
