exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42556.816406,0.984563810,4086845,50756953,1279332696,498875,786610,1519488,2120696,48286331,12493737,53465100,111214231,0,1084,0,0,30766,861286194,3815384802,6860852791,100249,99030,0
membench,1,dram,pgn,0,9918.765625,1.068613948,3365837,50520719,1232060802,1857968,1824651,1584516,2176399,289633962,253421386,53063855,110360993,0,1084,0,0,17184,873908302,4129617789,6928864809,1180747,1327451,0
membench,1,dram,rnd,0,9558.401367,1.069762592,3278755,49827725,1257065068,1814261,1791763,1508084,2059432,284124411,247208268,53884829,116707044,0,1035,0,0,21363,876001840,4145411680,6928037999,1266083,1408166,0
membench,1,dram,seq_prefetch,0,38875.714844,0.990487757,4012934,51317951,1267302885,101246,188867,1371260,2076009,284873215,55973471,54364616,109759550,0,1113,0,0,22812,879027672,3842329422,6905579400,105524,101591,0
membench,1,dram,pgn_prefetch,0,20411.496094,1.015216548,3332831,50666332,1283022770,106215,204941,1376651,1953918,208573046,173330820,52408333,109175661,1257118,1009,6587,0,25792,875637116,3938512082,7073109541,104951,103173,0
membench,1,dram,rnd_prefetch,0,17774.300781,1.023586143,3140770,51728735,1274398155,101387,195728,1469219,2044687,205166196,170548134,51802320,106501424,1180584,1033,6411,0,38526,885786842,3969911935,7085523067,105066,102298,0
membench,1,pmem,seq,0,28801.013672,1.172991411,3665296,51535879,1278145920,108706,205599,9294,2019417,324263990,90500484,54513368,113326125,0,1104,0,0,33382,866244283,4554459747,6897621216,102109,96170,220
membench,1,pmem,pgn,0,2399.335693,1.540473773,2956435,51471702,1284412077,107310,1196541,12724,2128010,1578539830,1540231311,52055415,107778866,0,7143,4975,0,23907,848115773,5983204665,6814224650,1124111,98412,1024903
membench,1,pmem,rnd,0,2379.032227,1.567041451,2972501,51735259,1275750975,104764,1204350,12592,2108057,1590365886,1554383534,52493762,110689672,0,1022,0,0,17540,865565075,6081236291,7006095058,1479565,522980,980532
membench,1,pmem,seq_prefetch,0,30086.951172,1.158417976,3653171,50420908,1297069528,673327,797507,12791,2074935,52776519,13936448,53029769,114343474,0,7247,0,0,19170,872453014,4498235205,6774948642,98053,99006,4
membench,1,pmem,pgn_prefetch,0,4486.336914,1.342044639,3056742,51597770,1265547439,105844,207681,19765,2162332,894966594,659446874,54521622,111678200,797845,11955,0,0,16023,840377958,5210042161,6728567085,100780,98313,894
membench,1,pmem,rnd_prefetch,0,4359.977051,1.356327209,2963860,51775324,1268505759,105580,207264,11339,2052634,882988165,848171194,54473711,113486861,772854,16000,0,0,41371,850078319,5265965317,6751604588,100734,97881,13
membench,1,dram,seq,500,43639.535156,1.115013857,2990774,51640934,1262527447,110608,208451,1461330,2066646,48735034,12693885,52260988,107524164,0,1033,0,0,889147,1300722272,4329912303,8760833132,271828,105701,0
membench,1,dram,pgn,500,9886.796875,1.198623711,2969125,51413403,1268474237,1130914,1241653,1425822,1996944,373600097,339571940,52028950,109551011,0,1005,6447,0,876475,1279875872,4647726680,8846498448,1026500,1097850,0
membench,1,dram,rnd,500,9663.329102,1.201773971,2940785,51077741,1269662370,1133626,1229661,1421911,1996974,368701581,334034582,52107278,110020566,0,1018,0,0,952403,1314081365,4663781817,8822088040,1085390,1037280,0
membench,1,dram,seq_prefetch,500,40438.351562,1.120766317,2982561,51882204,1277291178,106762,211464,1454748,2039644,48855259,13441937,52242105,110355482,1006007,1028,0,0,973728,1311322365,4351774368,8816592149,578458,104065,0
membench,1,dram,pgn_prefetch,500,38626.445312,1.123398285,2975545,52104745,1274997105,108879,207010,1475331,2051798,66773775,30924197,52124264,109141108,1004675,1047,0,0,1016453,1354640471,4357356955,8795480773,516039,522907,0
membench,1,dram,rnd_prefetch,500,28456.789062,1.134450611,4229491,52327974,1294148403,105784,200938,1475461,2043993,65348965,29834516,52707854,111202919,960079,1013,0,0,976299,1348634933,4399091182,9005943993,533447,539084,0
membench,1,pmem,seq,500,42611.214844,1.277170025,2988349,51431975,1288415340,104450,214223,13263,2013670,50672342,14882776,52020586,105825533,0,17331,7826,0,1061635,1398718775,4959507948,8932086235,101318,101384,369
membench,1,pmem,pgn,500,2376.973877,1.696390326,2977189,50498146,1243334232,100627,1247358,17376,2124203,1785732700,1541391988,54295689,113785611,0,1042,0,0,966731,1354430413,6587616098,8928189060,1098125,95479,1062113
membench,1,pmem,rnd,500,2361.007568,1.681460755,2897377,50574935,1250308724,635039,1710029,11741,2117514,1498862094,1463361476,54753770,115096541,0,6230,0,0,1052625,1376857183,6531523562,8745442820,1165913,99301,1066093
membench,1,pmem,seq_prefetch,500,36616.625000,1.295240870,3039915,52383764,1269165443,109041,211992,12394,2130196,62279359,23492872,52490708,110485320,989237,1024,0,0,986304,1344329171,5029255620,8838780326,523712,102490,4
membench,1,pmem,pgn_prefetch,500,6306.124512,1.435653960,3086449,50296203,1248916454,104352,203300,10338,2074556,842086290,591283010,54728530,112387434,881043,1048,0,0,899547,1321101492,5573483562,8910784515,103254,99747,417
membench,1,pmem,rnd_prefetch,500,6071.055664,1.440408501,3042092,50254806,1262337492,105043,202635,12204,2040909,726505303,621355955,54007527,113191263,862454,1091,0,0,884180,1319137740,5592020885,8949154563,105020,99988,121
membench,1,dram,seq,1000,43436.714844,1.245825237,2997494,49703371,1227843876,614079,729085,1469760,2083656,51869269,13897691,54436896,112048479,0,1083,0,0,923384,1833160965,4835217928,11032965747,100055,99399,0
membench,1,dram,pgn,1000,9784.352539,1.325478314,2961074,51436258,1261465438,1576255,1653201,1454453,2070099,350435138,313617299,54157247,112205675,0,1048,0,0,967667,1840981036,5146686194,10990860287,1175609,1218030,0
membench,1,dram,rnd,1000,9476.427734,1.332100919,2944253,49782112,1243760241,1684251,1763950,1480340,2066412,348432397,312263790,53743350,114119582,0,1053,0,0,958271,1817709174,5165360472,10939278120,1130745,1174936,0
membench,1,dram,seq_prefetch,1000,40671.898438,1.250015850,3021327,50354397,1230117798,105448,707200,1468951,2116657,74771292,18350515,53988857,111451968,892829,1076,0,0,912800,1781321697,4849789736,10854452784,104311,102858,0
membench,1,dram,pgn_prefetch,1000,44652.824219,1.242895892,3026761,50004287,1234802599,651706,755599,1516690,2111350,55331418,18438629,54024409,109044038,893995,1075,0,0,919589,1819294461,4816034559,11012905779,99358,99335,0
membench,1,dram,rnd_prefetch,1000,30968.380859,1.259026128,2969569,49707419,1242629761,105263,199724,1416452,2026464,281574952,60145208,55270969,112157522,877118,1089,0,0,892311,1772280111,4877077152,10864424234,104130,102209,0
membench,1,pmem,seq,1000,43504.742188,1.423695993,3081745,50442574,1238384700,607269,725277,10193,2161874,51263474,14643325,53790795,110061761,0,1061,0,0,951675,1799994213,5528629658,10980951198,103807,94997,235
membench,1,pmem,pgn,1000,2396.007324,1.801473427,2953762,51345190,1291163468,107747,1198688,14341,2105692,1582010500,1543876300,51919901,108092071,0,9086,1793,0,1045477,1884897897,6996038328,10932424828,1117394,95344,1019809
membench,1,pmem,rnd,1000,2374.146484,1.824195068,2968309,51596623,1281626959,107619,1207789,13769,2122370,1595928634,1558561792,52520040,111565720,0,981,0,0,1009010,1854514024,7082644447,10932055574,1098097,95485,1027136
membench,1,pmem,seq_prefetch,1000,38955.980469,1.411444679,3998576,52513404,1288955477,671568,318549,13159,2172778,58259839,19770549,53448074,111234941,879358,7781,0,0,1104697,1985486253,5479439441,11337485001,96946,95791,0
membench,1,pmem,pgn_prefetch,1000,10973.816406,1.497782276,4242357,51983425,1267939301,621941,210109,13109,2134033,322547334,286507539,53171447,112426219,962817,1040,0,0,978947,1825068339,5817040983,10865606137,102984,98237,528
membench,1,pmem,rnd_prefetch,1000,10323.646484,1.484994488,4190383,52418464,1301094271,105403,210510,11164,2154413,323829510,285792933,53047110,110348643,938800,6106,0,0,1077455,1944635568,5767780640,11242629699,511559,512917,339
membench,1,dram,seq,1500,43712.023438,1.374222592,2953503,51210273,1276855763,110234,206382,1443561,1990684,47794014,12827284,52491219,110886488,0,1072,6918,0,925252,2248605759,5335841337,12861729244,99894,100953,0
membench,1,dram,pgn,1500,9721.291016,1.457168199,2919687,51139038,1261137716,1106224,1217183,1433168,2039547,372905709,337704269,52149895,108355893,0,1102,4169,0,927837,2252147736,5645987085,12828207077,1085058,1118348,0
membench,1,dram,rnd,1500,9624.268555,1.451532626,2911298,50627414,1265346589,1104046,1211477,1441612,2016268,362325073,328006612,52075508,106503126,0,1082,7080,0,925947,2301857328,5638253001,12950415105,1121085,1153058,0
membench,1,dram,seq_prefetch,1500,40546.566406,1.380151555,2937221,50907423,1261116712,106321,199739,1400050,2006633,48829031,12844440,52684390,110183591,1005808,1034,0,0,996813,2272848771,5355324233,12669113570,559332,102174,0
membench,1,dram,pgn_prefetch,1500,47279.089844,1.376360853,2941234,51380768,1260312196,103980,197856,1434700,2040142,48275233,13186257,52243922,108198803,1012239,1042,4073,0,958213,2227283521,5345522197,12648789611,103442,100946,0
membench,1,dram,rnd_prefetch,1500,32242.464844,1.386543794,2895653,51599110,1267045712,104173,200782,1465457,2078571,48483312,12858102,52440024,107920770,995927,1060,0,0,1011625,2332591391,5378904132,12801931039,523719,528101,0
membench,1,pmem,seq,1500,40057.683594,1.562135196,2981084,51351767,1259551899,108473,210533,11651,2088646,57619186,21840904,52094414,109969699,0,1040,0,0,1027936,2331617448,6063507049,12603441992,540131,534833,4937
membench,1,pmem,pgn,1500,2423.349365,1.929676789,4123444,54524115,1286392693,112231,1182051,12733,2149199,1528260702,1490361864,53847706,113076374,0,11880,0,0,1079142,2406030585,7495578323,12952040623,1153154,511071,1023415
membench,1,pmem,rnd,1500,2403.470703,1.932699877,4077337,53362276,1285342630,113215,1183488,12173,2143835,1525240743,1486922634,54199076,114754531,0,5862,0,0,1044422,2398036643,7507653717,12974723971,1150446,96994,1036066
membench,1,pmem,seq_prefetch,1500,40191.308594,1.558571486,3023635,51379070,1262680121,105681,207119,12836,2111061,53629446,15968154,52018038,109393429,1009050,1022,0,0,1011827,2291953470,6051446195,12625780996,535722,198491,151
membench,1,pmem,pgn_prefetch,1500,26257.746094,1.557107146,2977443,51930542,1279258497,109574,212263,11454,2101338,115885604,80061993,52986411,111119450,978464,2128,0,0,1059140,2389217577,6046855373,13004971101,518761,101345,288
membench,1,pmem,rnd_prefetch,1500,21522.039062,1.577554631,4205368,53492594,1287094745,107145,208319,10629,2156182,110605971,75620975,52868788,111287227,971992,1007,0,0,1001250,2335613131,6125580926,13123963500,152650,506653,445
membench,1,dram,seq,2000,43798.175781,1.504798262,2926352,51155136,1258831514,706368,826474,1554180,2108195,48440341,13263076,53121726,111961530,0,1050,0,0,982997,2809767928,5844879325,15018807783,100271,97589,0
membench,1,dram,pgn,2000,9972.575195,1.576092360,4100512,53162114,1290487083,1063707,1175259,1474328,2082457,350713013,316590714,53550357,108557495,0,1039,0,0,1019849,2894053561,6117878981,15137778593,1323862,1589039,0
membench,1,dram,rnd,2000,9638.275391,1.581591689,4079086,53959602,1301172481,1055030,1172905,1531246,2097968,349339620,315504950,53138241,111362854,0,1053,0,0,1014889,2887673284,6136065084,15155353563,1164476,1432025,0
membench,1,dram,seq_prefetch,2000,40666.937500,1.501641112,2950573,52296969,1263267377,633245,738586,1508839,2117655,48694509,13025866,53769360,107946638,949125,1070,0,0,1005309,2879217984,5830233693,15155850680,100068,96103,0
membench,1,dram,pgn_prefetch,2000,47212.125000,1.497272815,4104790,52507476,1281212463,667705,203442,1454279,2089659,49872616,13178444,54290795,108103738,954769,1072,0,0,1015345,2887771915,5805959585,15197843774,99562,100392,0
membench,1,dram,rnd_prefetch,2000,32082.130859,1.508108401,2890565,50380405,1253112450,677441,786498,1466165,2068683,47957252,12763933,54220985,110479043,943666,1064,0,0,990089,2859305925,5849855618,15116769048,100490,99497,0
membench,1,pmem,seq,2000,43440.484375,1.663358720,4120383,53856511,1278374080,112957,215464,12273,2159004,50266636,14493408,54500706,114836055,0,10884,0,0,1107180,3014008383,6461384018,15320009959,495366,536104,339
