exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42407.023438,0.980458154,4063287,51095579,1274296093,621630,737180,1528667,2112797,49849889,13465568,53486313,112460751,0,5003,0,0,32952,862204725,3805883369,6806682794,93541,93041,0
membench,1,dram,pgn,0,10015.924805,1.063502204,3296580,48865845,1232963086,1779181,1731223,1406897,2052034,292920440,253098079,54548171,112557564,0,1084,0,0,22273,886315343,4125558765,6884980415,1281290,1427124,0
membench,1,dram,rnd,0,9584.236328,1.072732870,3257617,49881751,1245656680,1463093,1898706,1467891,2104849,283187691,248384575,53695970,114936838,0,1071,0,0,15126,876928466,4156820538,6977246784,1119015,1264782,0
membench,1,dram,seq_prefetch,0,39007.644531,0.996048810,4010140,50979657,1296146992,105810,531644,1455426,2073384,140321791,29056890,53545631,116145027,0,1042,0,0,23878,855136506,3832848318,6891553687,97682,97581,0
membench,1,dram,pgn_prefetch,0,20296.326172,1.014236926,3225633,51097971,1274843435,108867,201846,1366671,1950177,210120819,174501635,52157298,107592567,925084,1135,7445,0,24348,880573687,3934774928,6990652510,100525,99787,0
membench,1,dram,rnd_prefetch,0,17927.251953,1.023298895,3130179,51815083,1270958150,101704,192187,1438692,2027142,205584881,170492685,51793559,107348863,1189937,1033,6385,0,36780,883622082,3971024923,7097835720,103607,98743,0
membench,1,pmem,seq,0,32191.605469,1.158952299,3745921,51553397,1272111177,415313,782984,10780,2199321,49592712,13695753,53721088,111934294,0,6231,0,0,37973,857492973,4500067212,6788969810,96803,94849,218
membench,1,pmem,pgn,0,2408.025391,1.537319560,2980206,52034813,1273065879,113927,1199518,11512,2120053,1571248762,1535620833,52783603,107045350,0,9413,6780,0,22223,841308762,5960983861,6747885444,1128721,102713,1025058
membench,1,pmem,rnd,0,2387.592041,1.546203553,2919561,52752389,1257421709,116654,1200574,11825,2108296,1566408466,1532966649,53413542,109835345,0,6355,6564,0,44069,854564751,6003507669,6706915835,1121365,97415,1020397
membench,1,pmem,seq_prefetch,0,30013.804688,1.160716130,3688767,52038444,1268639401,351297,766127,11489,2239194,50198698,14486669,53953932,111745409,0,7210,0,0,28315,846989337,4505990033,6801628469,99515,97124,4
membench,1,pmem,pgn_prefetch,0,4498.020508,1.347904846,3066574,51464499,1263294664,105687,206826,10545,2049849,1025241264,763236530,55440797,112196158,753703,15913,0,0,30417,844680796,5228269644,6706500753,103542,99436,790
membench,1,pmem,rnd_prefetch,0,4364.487305,1.360891993,2975453,51989743,1261686051,107417,206422,10825,2073876,882185344,847967508,54552452,110497919,781763,6307,0,0,28929,851370994,5268786093,6722416825,102113,97459,13
membench,1,dram,seq,500,43660.496094,1.116535338,3002775,51582842,1267650570,109112,205515,1402779,2012496,50673781,13589413,52868359,109371476,0,1029,0,0,966026,1296802845,4333116464,8775300128,531123,102432,0
membench,1,dram,pgn,500,10009.308594,1.195098794,2982203,52401452,1248876183,1139189,1232022,1459621,2129923,374429790,337217970,52046017,100498033,0,1098,9226,0,846065,1286782063,4630676603,8821962167,1040537,1109844,0
membench,1,dram,rnd,500,9695.559570,1.192995872,2950658,51767962,1271421824,1115454,1221856,1440466,2039809,368278796,332482201,52210169,106563198,0,1133,6621,0,851132,1343550033,4630384231,8938257448,1176801,1183152,0
membench,1,dram,seq_prefetch,500,40584.417969,1.116764970,2971002,52214244,1271883099,110167,204113,1471122,2071945,49114615,13082944,52145508,109061160,1003183,1030,0,0,908995,1319278871,4336484732,8795777556,161779,99876,0
membench,1,dram,pgn_prefetch,500,39408.867188,1.117184337,2995063,52347843,1281447349,110868,208929,1505064,2050467,65766067,30820378,51824390,110280048,997838,1030,0,0,949684,1317115641,4331368109,8800013283,538671,103040,0
membench,1,dram,rnd_prefetch,500,28443.027344,1.129645286,2918105,52660063,1298263685,107766,205181,1472715,2030192,65679479,30476238,52721554,112315711,956207,1009,0,0,1097282,1410607442,4381691880,9019003429,556303,563989,0
membench,1,pmem,seq,500,42791.734375,1.283378197,2998592,52026116,1275362943,105175,214539,12045,2104657,52221436,15958842,52214475,109933374,0,6059,5633,0,908659,1352417645,4983045433,8963794309,103572,100802,494
membench,1,pmem,pgn,500,2381.269775,1.686787537,2991320,50077656,1247465433,374879,1737529,12088,2183878,1512999184,1476207268,53941348,109114680,0,1020,0,0,982907,1365857770,6549999131,8899821854,1140476,94543,1075791
membench,1,pmem,rnd,500,2357.845459,1.686786699,2941762,51674748,1261519692,645648,1703123,12753,2238600,1504021177,1465600017,54168785,113513669,0,6172,0,0,1064595,1361880444,6533429710,8843858603,1159361,91835,1062918
membench,1,pmem,seq_prefetch,500,36254.214844,1.295062247,3039561,51807803,1277339251,111076,218539,12186,2136063,62852719,26175269,52394130,106510949,990166,1033,0,0,984719,1347494856,5019247721,8861517795,517443,98888,0
membench,1,pmem,pgn_prefetch,500,6294.335449,1.419810248,3032589,50320817,1260355786,634108,751734,10763,2133892,527579451,489926759,53781810,114740067,869707,6236,0,0,1040788,1393941176,5513702802,8943686525,95069,94286,283
membench,1,pmem,rnd_prefetch,500,6077.845215,1.428748280,3041662,50680077,1254961917,106306,716693,18235,2182389,528807471,492026834,54125781,110757998,860583,1539,0,0,992533,1378020201,5548922768,8988050731,97634,93135,22
membench,1,dram,seq,1000,43660.496094,1.247619632,2985313,49674824,1220567310,633917,740440,1462535,2112906,52696721,13844051,54580677,111284893,0,1101,0,0,918207,1810935839,4839795830,10973071658,100465,99053,0
membench,1,dram,pgn,1000,9955.697266,1.326020978,3157806,50857937,1250034412,1613001,1596539,1407109,2035531,348622852,309784582,54568217,112047319,0,1076,0,0,963753,1840718177,5141280457,10985210525,1177883,1220178,0
membench,1,dram,rnd,1000,9491.448242,1.331381325,2942050,49615672,1244537081,1679597,1768913,1489589,2076608,347977063,311268025,53722525,113163377,0,1042,0,0,957530,1818461886,5169618472,10970349844,1146325,1191049,0
membench,1,dram,seq_prefetch,1000,40650.406250,1.246718725,3018441,50842151,1237245131,667626,776817,1517552,2129516,51068353,13551510,54191492,109674501,890742,1073,0,0,919472,1829254413,4841437988,11015143117,98085,96489,0
membench,1,dram,pgn_prefetch,1000,44249.742188,1.251119533,3018153,49998684,1229744674,220268,717810,1481847,2106837,56274613,19246815,54131009,111822460,898931,1063,0,0,920060,1787903137,4848739793,10909733389,100498,97425,0
membench,1,dram,rnd_prefetch,1000,31168.183594,1.257409781,2986890,50846140,1229129223,95450,198621,1509081,2107519,280955126,60477765,54265559,109577148,875006,1104,0,0,896003,1771173140,4876165614,10854482343,103731,95626,0
