exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42272.574219,0.991452947,4093234,50758351,1284747828,99700,197622,1375316,1976375,271672537,54336107,54932847,115584248,0,1068,0,0,14598,849981210,3837834810,6962724666,103658,101087,0
membench,1,dram,pgn,0,9924.967773,1.060604552,3373074,52254175,1270199600,1528895,1469674,1522048,2119170,286486752,251668924,53725677,110757875,0,1042,0,0,30046,859703141,4111716402,6738516231,1457685,1574764,0
membench,1,dram,rnd,0,9624.361328,1.064419538,3278102,50390000,1257515059,1675096,1642498,1484726,2090554,280765093,244327090,54072776,110007012,0,1063,0,0,46736,872978601,4124279385,6818908272,1429614,1544468,0
membench,1,dram,seq_prefetch,0,39251.089844,0.985302488,3981600,51073413,1284612759,305530,747659,1493489,2126202,48913455,12806581,53588392,111459067,0,1062,0,0,29894,859448991,3820543365,6854111907,99707,97598,0
membench,1,dram,pgn_prefetch,0,20481.730469,1.010415918,3312570,51587270,1271603439,103639,197955,1424013,2010696,207766949,173653564,51719571,104428680,837492,1105,6712,0,30111,876242585,3914443600,6947834005,105292,102218,0
membench,1,dram,rnd_prefetch,0,17984.640625,1.015647534,3143327,51989267,1278914377,106129,198643,1454214,1997103,200075011,166294381,51823313,104464068,935126,1090,7103,0,29381,877716839,3938413046,6949989052,101176,100358,0
membench,1,pmem,seq,0,28776.150391,1.165321818,3644913,51204045,1278301900,102503,205434,16312,2080052,317475459,69872907,53821570,116154608,0,2922,0,0,40822,867055038,4524453065,6836850385,99954,97688,255
membench,1,pmem,pgn,0,2399.744629,1.552570380,2997023,51751839,1272660557,109816,1208846,12270,2141640,1588034560,1551022942,52493394,107668484,0,1028,2736,0,56456,886510875,6028436516,6940982613,1099311,98784,1027315
membench,1,pmem,rnd,0,2380.215576,1.553219834,2942639,51755985,1282627690,104256,1197848,9785,2080510,1577037550,1540340913,52665613,111599049,0,5593,3448,0,57343,876148992,6027125381,6852534113,1123485,97775,1022682
membench,1,pmem,seq_prefetch,0,28511.958984,1.167425735,3657410,51586845,1267215251,106075,206299,16272,2124041,308451173,69706347,54634903,114808547,0,1088,0,0,33615,860804661,4533029775,6823919152,101039,95725,8
membench,1,pmem,pgn_prefetch,0,4478.841797,1.354989598,3045952,51120772,1262100882,103003,207408,11918,2054391,898088250,836220127,54627048,114744235,750186,6334,0,0,41978,863193746,5260249662,6737832198,99520,97497,478
membench,1,pmem,rnd_prefetch,0,4348.279785,1.352917776,2981000,51911973,1272857099,108195,209537,10920,2067023,1079431169,793485991,55065327,115559881,738293,11487,0,0,17499,848787210,5251794509,6766830003,99553,98485,4
membench,1,dram,seq,500,43591.976562,1.122638596,2978301,51571729,1271870758,108757,205695,1434695,2031315,49024511,13369566,52290575,108863649,0,1013,0,0,1031267,1325431930,4349629573,8759230558,539133,546492,0
