exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42500.746094,0.989622925,4101930,50235159,1278685197,104506,421474,1381209,2051571,183123587,36935548,54051778,114763648,0,1078,0,0,24117,862951905,3837655182,6938157981,104299,98809,0
membench,1,dram,pgn,0,9929.500977,1.059166622,4417637,52387762,1274408564,1415363,965141,1493607,2091690,285266679,249271180,53858684,110224546,0,1069,0,0,26496,855695778,4104397954,6678874962,1560250,1581990,0
membench,1,dram,rnd,0,9684.291992,1.065834814,3272335,51458345,1263319129,1652865,1633898,1567781,2143965,280866832,245409613,53075756,110097154,0,1070,0,0,35231,869634649,4133789724,6807333736,1423888,1555471,0
membench,1,dram,seq_prefetch,0,39106.800781,0.986874004,3987408,50666794,1285296979,106014,738641,1458729,2099005,49059984,12975349,53639178,112096230,0,1064,0,0,26565,859371155,3821626575,6875508186,99892,100240,0
membench,1,dram,pgn_prefetch,0,20597.746094,1.009115009,3290867,51503282,1273917448,106076,200057,1412727,1996914,207465530,172796790,52714243,106890294,544032,1171,1465,0,27449,872272028,3916304374,6901176468,102860,102596,0
membench,1,dram,rnd_prefetch,0,17722.326172,1.023111181,3139981,51860512,1287555008,100945,194328,1468271,2028710,201512087,168737701,51532875,108420655,1182380,1095,6609,0,46994,878728806,3967482214,7018705919,101889,100005,0
membench,1,pmem,seq,0,31377.470703,1.164261178,3777125,51109678,1286779366,104061,200878,17287,2191665,305794012,61685732,53254350,111963461,0,1057,0,0,34647,866473647,4516959111,6879547555,97810,93834,281
membench,1,pmem,pgn,0,2402.581299,1.541281444,2960084,51112067,1294229873,104554,1195901,11680,2069191,1575567790,1540160638,51988961,106039777,0,10073,5651,0,28980,857604844,5984652504,6792223927,1127789,96133,1029062
membench,1,pmem,rnd,0,2386.355713,1.549647110,2950538,51703764,1283692306,109629,1203250,10085,2069616,1570878707,1535504833,52524335,108312151,0,6107,4882,0,51260,871126849,6016810274,6794205539,1130195,101475,1027782
membench,1,pmem,seq_prefetch,0,27902.564453,1.163655786,3613179,51200672,1278594891,107996,236487,16666,2119088,269897841,51382730,53712563,112431671,0,6265,0,0,39389,867293580,4514972086,6788955755,98458,98748,8
membench,1,pmem,pgn_prefetch,0,4488.048340,1.346788079,3017415,51717791,1254915353,107972,213172,10490,2083537,980814607,718352889,56619589,115392831,752545,10585,0,0,22012,834726676,5226430576,6684577992,104778,100432,336
membench,1,pmem,rnd_prefetch,0,4361.764648,1.373341743,3040475,51057862,1274307391,105576,205385,11566,2089508,895044914,859344922,51786295,108543425,1049237,1088,6573,0,38836,901315675,5331777842,7118414113,103145,102838,173
membench,1,dram,seq,500,43612.890625,1.115507938,3012078,51521912,1265543365,107541,207010,1450851,2050491,48783371,13145400,52597308,106294081,0,1039,0,0,923603,1301803008,4325996358,8758979155,527173,103082,0
membench,1,dram,pgn,500,9913.848633,1.198458734,2963693,51200165,1268555424,1125553,1231380,1419840,1987061,373875296,338527749,52100567,110206817,0,1026,6852,0,1201357,1284390315,4648916800,8856886177,1048451,1119910,0
membench,1,dram,rnd,500,9674.080078,1.196852968,2970754,51548367,1279168008,1133659,1227937,1438814,2004283,370138376,334635367,52625591,107274444,0,1003,6495,0,864442,1294640687,4645576860,8878108144,1061693,1133035,0
membench,1,dram,seq_prefetch,500,40489.109375,1.123445621,2993056,51873133,1272164874,101173,198971,1443365,2036536,49866722,13513424,52346021,109081715,1008515,1047,0,0,1024189,1353269949,4358056440,8773203458,513587,519173,0
membench,1,dram,pgn_prefetch,500,38842.492188,1.115191588,2994283,51735693,1282042919,111805,208067,1440812,2033863,67897779,31471673,52786997,109762840,996477,4339,6534,0,961593,1331114210,4330368593,8955209111,104872,105161,0
membench,1,dram,rnd_prefetch,500,28355.121094,1.129844137,4202305,51777102,1300286700,109156,208066,1448195,2113695,65150279,29746992,52911574,113406647,956385,1009,0,0,975913,1342240804,4385970999,9025257856,539481,544894,0
membench,1,pmem,seq,500,42935.039062,1.286448398,2989933,52109409,1267845223,106322,214009,11343,2085153,51685060,15793631,52540142,111842671,0,1028,2040,0,899070,1302012458,4994228972,8823794056,101029,98022,679
membench,1,pmem,pgn,500,2382.427246,1.675478953,4121859,53503880,1317488347,111093,1157387,10840,2084364,1502640694,1503161797,53280383,110082181,0,17424,0,0,1099264,1380682791,6506499711,8740195843,1169204,100130,1042288
membench,1,pmem,rnd,500,2365.134277,1.680180043,2920098,49818005,1276283143,625641,1693776,12382,2182337,1499994789,1462600548,53701296,108774324,0,6186,0,0,1057433,1383055545,6524744709,8829891361,1163967,97014,1065507
membench,1,pmem,seq_prefetch,500,36515.007812,1.291860674,2981423,52186395,1275188213,105625,216159,13103,2081117,56050259,21140016,52807607,109097211,978740,4680,0,0,1040086,1365928218,5015007203,8859139906,228523,94485,0
membench,1,pmem,pgn_prefetch,500,6289.624512,1.428958035,3118892,50510863,1250698456,105262,204067,17988,2144637,777297632,537731746,53952910,112824764,876277,1037,0,0,923390,1335851104,5545976306,8940019967,101366,98138,656
