exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42491.714844,0.990904254,4109068,51258405,1278318883,102799,200301,1417093,2036699,284467641,57252851,54131999,112275863,0,1085,0,0,14136,855514797,3845355830,6935680067,106113,103739,0
membench,1,dram,pgn,0,9989.710938,1.062251139,4377039,52259211,1272254394,1490326,968621,1474361,2091578,286808200,250719717,53799197,108961535,0,1058,0,0,25258,860958134,4108927834,6695690514,1546634,1592898,0
membench,1,dram,rnd,0,9712.226562,1.070079043,3277460,50646062,1265794377,1710853,1692146,1606503,2108571,279041285,245921656,52484190,113655496,0,1050,0,0,22835,869549815,4145055412,6842298267,1348223,1493756,0
membench,1,dram,seq_prefetch,0,39123.632812,0.985018935,3980118,50685765,1279124986,347925,791090,1479963,2129663,49465113,13300071,53841634,111205251,0,1084,0,0,30959,863062549,3823209117,6849516854,98431,97504,0
membench,1,dram,pgn_prefetch,0,20528.822266,1.015562445,3348177,51267644,1278726842,104065,197000,1410895,1978186,208016888,173383000,51605007,107955757,1120858,1068,6969,0,22419,878131115,3941242551,7045231615,101527,100173,0
membench,1,dram,rnd_prefetch,0,17978.498047,1.018551799,3133010,51261924,1279946757,106665,195972,1425933,2003385,203544209,169253354,51890688,105757267,1112824,1093,6978,0,35088,877256848,3937989597,6993529745,103093,98711,0
membench,1,pmem,seq,0,29520.294922,1.165034155,3659164,51241740,1274484559,103014,295358,19197,2177716,242509254,45846549,53752679,116004702,0,3347,0,0,30468,859918386,4521592945,6814512160,97848,96523,228
membench,1,pmem,pgn,0,2402.477539,1.547445328,2989998,51983205,1272981078,108945,1205518,12017,2127929,1580951018,1545745185,52538184,108023723,0,8568,7921,0,65307,867393832,6008007391,6772330442,1128350,96981,1029606
membench,1,pmem,rnd,0,2390.017334,1.546272042,2931954,52233479,1264177785,109941,1200447,11311,2140107,1567212479,1533180123,53000231,108289067,0,6069,5213,0,49245,855217823,5996880563,6775162203,1124586,98837,1021313
membench,1,pmem,seq_prefetch,0,28065.447266,1.162156655,3576016,50902369,1277402337,634624,758971,10839,2124780,49694334,13083972,53934736,114178797,0,6445,0,0,16489,864040080,4502371233,6725612064,100617,101804,4
membench,1,pmem,pgn_prefetch,0,4498.668457,1.346320515,3049777,51283593,1261748999,104899,206184,12484,2135383,975837408,720343613,56025213,110990218,752135,8153,0,0,20823,832335114,5218615262,6730281723,102968,100656,519
membench,1,pmem,rnd_prefetch,0,4368.166504,1.364350172,2992208,51469375,1266277411,105392,207761,8974,2105822,885438613,851838574,52210267,108364453,899111,1101,5315,0,35887,874329561,5285544971,6878757292,101605,95229,4
membench,1,dram,seq,500,43550.214844,1.118310816,2999948,52083021,1266919309,107183,205639,1494100,2071731,48901772,13353715,51870253,108923955,0,1047,0,0,952305,1298096541,4336802881,8759083871,530042,103909,0
