exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42565.871094,0.992124159,4102319,51077814,1280750539,100349,196944,1417849,2077323,278177071,56163492,53553383,113603556,0,1092,0,0,22664,856044539,3835992886,6922151849,102055,97460,0
membench,1,dram,pgn,0,9864.267578,1.063099409,3295553,51387116,1266310537,1568941,1534105,1475010,2062512,289028288,253074830,54080167,112834424,0,1051,0,0,30458,862872743,4117117538,6762097025,1459987,1579238,0
membench,1,dram,rnd,0,9526.258789,1.063343472,3263888,51405580,1264439186,1558761,1526815,1547274,2129916,281272177,246703501,53717974,111890598,0,1040,0,0,28016,862672922,4125580774,6744241747,1510599,1536024,0
membench,1,dram,seq_prefetch,0,39260.335938,0.984749357,3984296,51394069,1284607829,539833,717223,1513494,2103895,48123101,13040115,53367857,110808924,0,1084,0,0,33816,858939579,3813460259,6847560145,97889,96718,0
membench,1,dram,pgn_prefetch,0,20276.162109,1.011610512,3259485,51708090,1275438156,110188,202766,1422644,1974736,208769967,174474853,51901459,107844963,707315,1116,7214,0,29507,870772813,3919787059,6921797779,100087,100898,0
membench,1,dram,rnd_prefetch,0,17949.453125,1.016926566,3169627,51610821,1270879073,105629,207297,1463375,2064983,204733945,168792147,51845931,105873624,1185536,1123,6531,0,40344,885921032,3946533084,7035286274,108595,103783,0
membench,1,pmem,seq,0,29161.320312,1.163500323,3646472,50992818,1286687863,100704,608796,18130,2196341,119580775,25853502,53246008,110719063,0,6249,0,0,42114,874869758,4514797530,6829684128,96732,92521,558
membench,1,pmem,pgn,0,2404.042725,1.549001268,2976687,51474104,1271992506,106738,1208018,12342,2119989,1582678928,1547591480,52563114,107993749,0,1005,4798,0,50498,882625378,6014516375,6907313407,1127947,99840,1032102
membench,1,pmem,rnd,0,2389.446289,1.546565134,2956266,51763439,1285114177,109859,1201689,12644,2155028,1569428415,1533288538,52369360,104714542,0,6071,6321,0,43497,858070176,6006914939,6823961196,1124543,100101,1023072
membench,1,pmem,seq_prefetch,0,28327.810547,1.162054754,3612931,51264402,1278915867,116333,713030,12264,2207387,49680341,13505995,53686242,110707778,0,6241,0,0,20557,855068639,4511518091,6810820050,94225,93367,0
membench,1,pmem,pgn_prefetch,0,4498.000488,1.361199054,3081015,51035674,1265637485,106417,212107,10722,2069680,902397075,866970852,52744291,107861652,878666,1100,2860,0,37739,887291951,5286199457,6953438716,102378,98339,485
membench,1,pmem,rnd_prefetch,0,4375.372070,1.369663794,3017186,51036110,1271197252,104397,208270,11598,2105154,892251962,856397976,51882860,106151226,1039323,1055,5300,0,55786,900667724,5317098338,7088225931,104986,102119,18
