exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,45154.882812,0.965703621,4469310,54113261,1127289702,109916,208234,1559233,2108998,50136805,13357178,53171701,112676813,0,10141,0,0,13993,865058566,3743136308,6251489380,99820,145309,0
membench,1,dram,pgn,0,10145.794922,1.041319456,3991524,53554629,1159459454,772487,878531,1536405,2102382,281575984,248070338,53450175,109260857,0,8483,0,0,13262,824218960,4031377276,6075859894,1653204,1525733,0
membench,1,dram,rnd,0,9868.745117,1.044273482,4054643,53860724,1162717523,848323,949983,1512991,2132307,277344797,241603453,53203011,108617911,0,10545,0,0,13240,832747215,4051708422,6084896100,1822855,1702766,0
membench,1,dram,seq_prefetch,0,41631.972656,0.965390782,4658512,53441482,1134968591,193830,210450,1513632,2162176,49349922,12686627,53569381,111169426,210480,7585,0,0,13204,858574424,3739705175,6248778690,100385,100164,0
membench,1,dram,pgn_prefetch,0,21026.957031,0.988993776,3312580,51701314,1137510749,106556,661164,1457708,2121222,101431954,22931099,54161058,111084327,418825,9931,0,0,13691,851813459,3837279207,6234673306,100892,100931,0
membench,1,dram,rnd_prefetch,0,17978.173828,0.997544855,3156421,51666770,1137146271,103332,195900,1484794,2075317,356563472,117641001,54845590,113537829,413935,8559,0,0,13533,856324924,3859448962,6271610997,97723,94903,0
membench,1,pmem,seq,0,28839.222656,1.134092078,3366450,54227815,1130638399,119204,219628,10675,2078252,110939240,81000178,51717581,104185827,0,1000,0,0,15550,857448176,4380582114,6282925144,554327,556599,484
membench,1,pmem,pgn,0,2398.921387,1.524347188,2935069,52220130,1137037853,107605,1122701,17161,2241826,1651419076,1477942753,53551708,109347177,0,999,0,0,17024,843946197,5899811372,6241085445,1052899,99952,1009709
membench,1,pmem,rnd,0,2383.511719,1.520158622,2918228,50952144,1166440880,106426,1179630,13417,2201998,1704728215,1514687549,53739232,110139197,0,1010,0,0,17251,847662189,5893865968,6179317117,1113891,106642,1006366
membench,1,pmem,seq_prefetch,0,31211.958984,1.143160363,4394197,53573188,1138119232,112117,215987,12758,2259587,50916904,13983078,52124036,105400106,1215849,1619,0,0,14960,859597761,4436436754,6267374537,95604,94632,255
membench,1,pmem,pgn_prefetch,0,4498.627930,1.322212652,4178571,53811629,1178439582,678931,215310,12560,2186154,780211316,782660951,51715925,109822080,1114352,1023,0,0,16259,842657168,5132633753,6173095303,97981,97301,184
membench,1,pmem,rnd_prefetch,0,4377.382812,1.339737878,3013675,51427105,1138708138,105837,474838,18368,2294744,746556279,619723655,53598917,107383208,961637,2237,0,0,16643,844871016,5200241779,6241975126,95677,95416,0
membench,1,dram,seq,500,46176.578125,1.096636880,2966128,51227071,1130013497,108744,203698,1434070,2097922,48515199,12601523,53044964,107750401,5,8983,2918,0,1101148,1388175601,4252278147,8390346431,99560,98344,0
membench,1,dram,pgn,500,10110.712891,1.174081122,2950747,51262410,1131502246,1115088,1208086,1442732,2003056,547636551,325001861,56173960,116409822,0,6480,0,0,1117104,1389701372,4557959072,8391275028,1183713,1179712,0
membench,1,dram,rnd,500,9845.523438,1.181000371,2941045,51406842,1134158383,1117378,1221105,1461678,2038798,364338010,330057852,53917816,113163912,0,9032,0,0,1021624,1392567847,4583380217,8403255357,1177709,1176985,0
membench,1,dram,seq_prefetch,500,42027.402344,1.100005559,2953943,51815040,1139921789,108011,208169,1401544,2097527,49052583,12977433,52723821,109131606,865305,7227,6691,0,1053471,1388697601,4261387667,8408471336,102914,101539,0
membench,1,dram,pgn_prefetch,500,39630.644531,1.102523524,2972692,52546329,1141033921,107613,197188,1490467,2091300,64204342,30288495,52279906,109452475,860290,10732,6704,0,1079948,1379530995,4273175403,8366846210,103480,101721,0
membench,1,dram,rnd_prefetch,500,28680.414062,1.109018054,2943478,52522719,1156255696,107844,208335,1507862,2074740,65936438,30551688,52663664,111033547,1028853,6018,6880,0,1103497,1366146602,4303130568,8374604175,107050,105886,0
membench,1,pmem,seq,500,45118.210938,1.249372437,2989853,51981169,1139238610,318299,771068,10575,2136769,51841100,16256583,52276245,106671238,0,1031,0,0,1076649,1384688769,4846151325,8398434838,104495,102200,437
membench,1,pmem,pgn,500,2380.192871,1.659387691,4187318,53555736,1167935494,107589,1136129,11620,2266305,1495084818,1457114608,52308975,108025493,5,1822,0,0,1097169,1360575587,6445533988,8227423549,1520273,508762,972622
membench,1,pmem,rnd,500,2362.893066,1.673244434,4137906,53453393,1158132591,629919,1147431,13885,2238868,1499547657,1460809812,54086208,114129125,5,8247,0,0,1100492,1368672301,6492735005,8223515541,1151429,98917,1048115
membench,1,pmem,seq_prefetch,500,37808.613281,1.273134726,3024236,52024063,1143629915,108139,211863,11695,2177329,62923904,27151253,52783816,109338650,912177,3847,1439,0,1065878,1375060628,4940332813,8378168025,100706,99499,0
membench,1,pmem,pgn_prefetch,500,6405.000977,1.392486104,4147370,53637442,1183156937,107019,213831,11807,2164650,546773132,537984224,50690004,103455580,1133762,951,0,0,1147743,1390228982,5399564457,8271992263,521075,522979,494
membench,1,pmem,rnd_prefetch,500,6072.234863,1.404945780,4185097,54490861,1178441729,108698,215325,12275,2250761,526801562,488031218,52549220,109362897,1032516,3351,0,0,1143439,1398372398,5456280337,8394700101,96079,94258,347
membench,1,dram,seq,1000,46061.726562,1.229978547,4129602,53724784,1163827623,112045,207788,1463384,2102742,49824306,13062322,54256138,112974024,0,10159,0,0,1152039,1996138544,4765825681,10735576399,98986,95773,0
membench,1,dram,pgn,1000,9895.014648,1.302037922,2932901,53073066,1167287213,1015470,1123438,1505600,2134408,345038878,308784286,53255180,107659907,0,4675,0,0,1165623,1936681756,5045784973,10396880968,1521553,1496294,0
membench,1,dram,rnd,1000,9857.752930,1.302943326,4002772,53099466,1167198511,1027651,1132188,1523411,2059758,333858973,299347668,53840527,109834913,0,7803,0,0,1168061,1971455892,5050911247,10508513609,1575725,1550023,0
membench,1,dram,seq_prefetch,1000,42344.175781,1.222722403,4145091,53569628,1171815788,108990,207382,1504808,2136420,49431692,13073136,53790012,109010709,968909,8275,0,0,1184153,1987002235,4742070301,10711175123,495385,500346,0
membench,1,dram,pgn_prefetch,1000,46257.750000,1.216948430,4146519,53652148,1171703090,112761,217703,1498344,2104123,52725935,18789039,53174886,106244887,1018463,4743,0,0,1183337,1986766222,4717569792,10575789166,545441,554582,0
membench,1,dram,rnd_prefetch,1000,31482.181641,1.227870513,4118857,55051451,1186704398,110782,211561,1532879,2155510,55812436,18917444,52825714,106760341,1035488,3143,0,0,1157207,1972004631,4762844100,10679468676,98028,509694,0
membench,1,pmem,seq,1000,45890.503906,1.384890382,2908058,53227866,1168082232,107854,213556,11862,2155838,50220945,14642969,50905391,105722887,0,994,0,0,1160003,1916507268,5378374570,10277296173,528383,300257,83
