exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42800.890625,0.985657424,4108331,50633305,1277858858,104370,717404,1435751,2108192,50829488,13536183,53783377,113597929,0,1057,0,0,23143,859626155,3824816924,6909960935,100904,100674,0
membench,1,dram,pgn,0,9991.008789,1.064778320,3310554,48543226,1239500122,1757976,1707668,1402898,2035823,291095936,252841479,54576671,114387725,0,1041,0,0,23490,875957181,4130851190,6918906936,1254201,1399972,0
membench,1,dram,rnd,0,9603.565430,1.070577997,3259326,49622847,1244866600,1733933,1905952,1463046,2079918,285306043,247865491,54040576,114663784,0,1069,0,0,15077,877946418,4146394738,6981164284,1174085,1317190,0
membench,1,dram,seq_prefetch,0,39251.089844,0.988624743,4011842,51399546,1289256535,106070,201019,1434929,2087777,280141636,55641626,53127736,113808866,0,1088,0,0,25953,856598735,3829673233,6898135339,104625,100680,0
membench,1,dram,pgn_prefetch,0,20360.378906,1.016850233,3309442,51975378,1273731936,105378,198898,1453607,2018726,209108723,174984523,51327524,106320027,1302447,1096,6546,0,32358,873325877,3933415915,7050834517,104963,106301,0
membench,1,dram,rnd_prefetch,0,17878.533203,1.020770278,3161659,52141568,1287945611,101809,197503,1507323,2015652,199334896,167590711,51011322,108767978,1188914,993,6414,0,36226,875134166,3962228512,7069909460,105127,101569,0
membench,1,pmem,seq,0,31669.623047,1.177702920,3686136,51385054,1276311629,103059,201835,10535,2061962,109182257,108407824,53357235,110622742,0,1069,0,0,16954,859359820,4571377834,6977767743,104849,101575,434
membench,1,pmem,pgn,0,2397.805420,1.556422263,2990698,51725471,1265031168,107055,1208010,12541,2100018,1592024103,1555577363,52298045,109522550,0,1026,0,0,44999,887207954,6042343147,6972091307,1453634,101347,1030214
membench,1,pmem,rnd,0,2391.063232,1.546809884,2952234,51902838,1278257308,108055,1199130,13619,2114267,1568482428,1533098328,52889397,108008541,0,6113,5214,0,52476,862062969,6006002236,6779535652,1122992,97199,1022371
membench,1,pmem,seq_prefetch,0,29712.384766,1.152019701,3658388,51355588,1279355364,663653,778849,12294,2184139,50326015,13540997,53211790,111336447,157072,17276,0,0,15954,856725139,4472029762,6801196389,100993,98320,8
membench,1,pmem,pgn_prefetch,0,4487.383789,1.363460162,3080152,51480405,1257297376,105422,206001,11804,2085641,905031186,869160395,51939596,108037115,940009,1110,5325,0,33221,895006253,5294757844,7001638806,102709,98204,545
membench,1,pmem,rnd_prefetch,0,4362.811035,1.355054393,2970013,50457274,1289345838,104033,210601,12631,1971537,882913588,847600082,53826660,111044010,768306,7220,0,0,22220,869490169,5262492124,6769048560,99655,100999,4
membench,1,dram,seq,500,43457.476562,1.114000931,2984349,51959180,1273835163,106184,208167,1491423,2056903,47015918,12840319,51957728,105994171,0,1027,0,0,870907,1298303632,4314999578,8750693446,103920,100638,0
membench,1,dram,pgn,500,9980.637695,1.195275843,2990938,50025676,1276851668,1126139,1227823,1364935,1937836,372727859,337682328,52861285,111009703,0,1077,6610,0,770874,1297843772,4633814178,8914684112,1114690,1184391,0
membench,1,dram,rnd,500,9585.797852,1.199865825,2968889,51570520,1272633596,1120741,1226069,1463846,2043277,371333953,336023903,51950045,110501750,0,1016,5785,0,886733,1293300075,4653160298,8874583544,1049079,1119321,0
membench,1,dram,seq_prefetch,500,40306.328125,1.120060579,3026721,52857178,1276733627,101430,202866,1556842,2108445,47494147,13487566,51313045,108630558,1002317,1032,0,0,975234,1310412385,4338884866,8781752646,536008,134341,0
membench,1,dram,pgn_prefetch,500,39258.792969,1.124845618,2962143,51592512,1276318495,105701,200813,1431760,2015920,66516269,31802152,52411578,109566485,1004864,1048,0,0,1019488,1364850991,4367144808,8806425253,527682,533496,0
membench,1,dram,rnd_prefetch,500,28514.400391,1.130273201,4228827,53165357,1285987347,104444,201643,1588485,2092579,64468576,29818282,51656109,110681290,955002,1047,0,0,988413,1346990513,4381814125,8973573310,536981,543391,0
membench,1,pmem,seq,500,42828.386719,1.284105066,2972777,52703698,1248362100,110426,216415,12092,2111432,51098723,16042911,53229787,113785436,0,6128,6628,0,924860,1361067734,4985300028,8903109036,105333,98427,527
membench,1,pmem,pgn,500,2384.512207,1.675717138,4126341,51578519,1326286899,661213,1144278,14223,2070764,1506275672,1465820334,52646821,105872842,0,6445,0,0,1077811,1388079478,6508226756,8845687698,1165078,94467,1068792
membench,1,pmem,rnd,500,2353.677734,1.699154131,2973179,50382561,1244468520,106157,1245187,11548,2082317,1823209375,1576872588,54943756,113600221,0,1050,0,0,958056,1355765710,6599625308,8974815746,1094287,96917,1052838
membench,1,pmem,seq_prefetch,500,37076.859375,1.282618967,2993427,51851662,1278786648,108885,214270,12679,2074328,57737404,21115778,52343929,106837856,986020,7104,5507,0,1088676,1378333063,4980747305,8931873689,102024,100531,0
membench,1,pmem,pgn_prefetch,500,6283.143555,1.427641144,3074886,50562161,1245546585,104723,681209,18998,2189020,570556748,502164172,54027065,114221066,874912,1053,0,0,911041,1351768162,5544258166,8941914566,102358,97836,272
membench,1,pmem,rnd_prefetch,500,6081.245117,1.421954255,3010643,50527927,1264906798,625232,737050,12810,2212978,525709060,487631789,53833341,108761898,855505,6179,0,0,1060178,1399073399,5522716841,9011642687,100144,97581,35
membench,1,dram,seq,1000,43476.371094,1.251291678,3002125,49848570,1228049564,102949,660496,1446481,2088108,77572399,19200286,53871218,113431568,0,1043,0,0,915513,1779307399,4845302335,10822425778,105444,102901,0
membench,1,dram,pgn,1000,9852.604492,1.326676536,2944528,50075949,1243069895,1634182,1711182,1493165,2102502,347904632,311873747,53526278,112135411,0,1049,0,0,957163,1817766036,5144406636,10916418796,1134410,1178218,0
membench,1,dram,rnd,1000,9560.046875,1.329578426,2952213,50688780,1260702783,1622111,1714160,1527250,2099142,344326778,308677386,53338471,114295395,0,1063,0,0,958433,1827304266,5157967945,10984678017,1160399,1201850,0
membench,1,dram,seq_prefetch,1000,40482.550781,1.253590068,3004243,50461517,1244420969,156745,766661,1473570,2092558,48514748,13455933,53916941,114842421,895508,1040,0,0,921717,1787785968,4865671598,10952425692,99024,94768,0
membench,1,dram,pgn_prefetch,1000,44218.441406,1.251221106,3018270,49929087,1235878020,97438,696161,1454502,2090721,57036456,19660492,53982772,114389434,898069,1066,0,0,914866,1778775214,4851616937,10833978030,97240,94376,0
membench,1,dram,rnd_prefetch,1000,31205.140625,1.260954163,2971853,50638014,1249108132,101380,194510,1436852,2003774,280555794,60559251,54694718,113314889,877173,1068,0,0,896954,1771351313,4882503584,10861357602,104551,99446,0
membench,1,pmem,seq,1000,43536.941406,1.410519251,3789785,52728356,1269230887,652570,408708,14005,2171807,49806751,14397719,54012434,111361308,0,6188,0,0,1070885,1950319678,5476123077,11285851021,95024,93495,687
membench,1,pmem,pgn,1000,2401.594482,1.803272083,2919395,50825214,1274732569,111287,1216475,13303,2059770,1579662936,1543426850,52460079,106946200,10,5398,5260,0,1008278,1871191702,6994746446,10873385562,1120778,100033,1022178
membench,1,pmem,rnd,1000,2377.369385,1.824416185,2966469,51509420,1270369345,106582,1204292,11505,2137717,1595176569,1558301352,52561669,109887668,0,1004,0,0,1023423,1846984329,7085819390,10922740716,1493826,229955,1016987
membench,1,pmem,seq_prefetch,1000,38701.187500,1.412211635,3053474,52249325,1271358086,634329,749392,12625,2139491,53746749,18187231,54123570,110594092,878525,6186,0,0,1078006,1959405912,5484485914,11289343862,98191,98070,4
membench,1,pmem,pgn_prefetch,1000,10840.813477,1.476324630,2936859,52857517,1289649376,108963,208794,13275,2096424,316585549,281211454,53427068,108927607,949062,8710,0,0,1156643,1938754127,5728705875,10955367159,513934,96243,295
membench,1,pmem,rnd_prefetch,1000,10324.711914,1.493235818,4199511,53363594,1293678524,110033,212106,12935,2166055,324479300,288630282,53201346,111499861,941914,1036,0,0,982242,1881309516,5798378387,11122130255,98675,96131,304
membench,1,dram,seq,1500,43790.503906,1.376117174,2964220,51876726,1272336202,104063,200933,1482661,2014040,47888732,13065286,52122862,110811579,0,988,4067,0,950361,2215099575,5337145700,12730028774,103942,102148,0
membench,1,dram,pgn,1500,9892.566406,1.453071676,2925452,50983611,1249245586,1112609,1217327,1478273,2074410,366396432,330941489,51911889,106402197,0,1158,7355,0,924998,2269430580,5627223608,12824857724,1100824,1133276,0
membench,1,dram,rnd,1500,9539.891602,1.459697199,2900432,51208969,1263030085,1098601,1214851,1426941,2032406,370555739,334277933,52249196,109301446,0,1086,6632,0,939317,2255939225,5669831809,12864421130,1088634,1119363,0
membench,1,dram,seq_prefetch,1500,40671.898438,1.376950974,2936454,49911493,1250817228,115199,208239,1361117,1992915,50470413,13003384,53212778,110171765,1002733,1064,0,0,976375,2250946448,5347469164,12688134849,108614,104955,0
membench,1,dram,pgn_prefetch,1500,47296.976562,1.376809029,2943793,50748183,1263990146,109519,207183,1412584,2000666,49097235,13300512,52599800,109657265,1011626,999,0,0,965513,2230007684,5335098605,12587143832,105914,103619,0
membench,1,dram,rnd_prefetch,1500,32487.574219,1.383308045,2922243,52408502,1279240642,101573,203524,1582070,2102863,46080253,12681568,50969240,109866718,992880,1053,0,0,1005843,2296478786,5365080668,12822289988,517579,139087,0
membench,1,pmem,seq,1500,43771.335938,1.541555891,2944003,51413843,1265778371,103734,205140,11458,2091180,50496532,14127118,52234047,110298011,0,2949,6352,0,969122,2341820301,5986706408,13049010467,97006,92277,253
membench,1,pmem,pgn,1500,2419.971680,1.939794650,3559260,52470502,1271571308,635305,1437574,12589,2130985,1532296395,1496987158,53383568,109270836,0,1062,0,0,1003183,2356044381,7533772872,12942323723,1130020,92148,1057918
membench,1,pmem,rnd,1500,2395.318604,1.932836436,4105721,52321945,1321485135,104456,1176229,14895,2122284,1528407256,1488981493,52865275,110527766,0,6147,0,0,1060352,2425405663,7508227127,13057185092,1144711,92729,1034407
membench,1,pmem,seq_prefetch,1500,40218.789062,1.544629640,3013300,51684806,1265357913,107237,214113,11973,2103727,49715394,14155826,52375691,106858664,997060,2884,5933,0,959319,2321265822,5997794880,12993115029,100730,97869,4
membench,1,pmem,pgn_prefetch,1500,26211.632812,1.566972806,3006030,51924264,1279991878,109469,215009,11549,2148380,116551863,79697079,52710135,107150130,983920,1044,0,0,1018315,2370819511,6085890994,12969104376,523580,521673,740
membench,1,pmem,rnd_prefetch,1500,21389.917969,1.563137928,2958939,52402097,1303950477,107470,210658,12107,2152179,114829807,76166605,52800718,110305956,962806,13616,0,0,1127219,2477810454,6071028096,13179793873,525366,526412,36
